Trace2,,,
Freq,,Amp,
2000000000,Hz,-53.996, dBm
2000833333,Hz,-53.994, dBm
2001666666,Hz,-54.014, dBm
2002499999,Hz,-53.984, dBm
2003333332,Hz,-54.02, dBm
2004166665,Hz,-53.998, dBm
2004999998,Hz,-54.018, dBm
2005833331,Hz,-53.986, dBm
2006666664,Hz,-54.02, dBm
2007499997,Hz,-54.026, dBm
2008333330,Hz,-54.024, dBm
2009166663,Hz,-54.052, dBm
2009999996,Hz,-54.028, dBm
2010833329,Hz,-54.044, dBm
2011666662,Hz,-54.058, dBm
2012499995,Hz,-54.052, dBm
2013333328,Hz,-54.06, dBm
2014166661,Hz,-54.064, dBm
2014999994,Hz,-54.04, dBm
2015833327,Hz,-54.072, dBm
2016666660,Hz,-54.076, dBm
2017499993,Hz,-54.09, dBm
2018333326,Hz,-54.082, dBm
2019166659,Hz,-54.098, dBm
2019999992,Hz,-54.074, dBm
2020833325,Hz,-54.076, dBm
2021666658,Hz,-54.088, dBm
2022499991,Hz,-54.096, dBm
2023333324,Hz,-54.094, dBm
2024166657,Hz,-54.098, dBm
2024999990,Hz,-54.106, dBm
2025833323,Hz,-54.116, dBm
2026666656,Hz,-54.12, dBm
2027499989,Hz,-54.096, dBm
2028333322,Hz,-54.098, dBm
2029166655,Hz,-54.094, dBm
2029999988,Hz,-54.1, dBm
2030833321,Hz,-54.112, dBm
2031666654,Hz,-54.134, dBm
2032499987,Hz,-54.108, dBm
2033333320,Hz,-54.124, dBm
2034166653,Hz,-54.102, dBm
2034999986,Hz,-54.102, dBm
2035833319,Hz,-54.122, dBm
2036666652,Hz,-54.108, dBm
2037499985,Hz,-54.102, dBm
2038333318,Hz,-54.1, dBm
2039166651,Hz,-54.108, dBm
2039999984,Hz,-54.102, dBm
2040833317,Hz,-54.106, dBm
2041666650,Hz,-54.1, dBm
2042499983,Hz,-54.082, dBm
2043333316,Hz,-54.086, dBm
2044166649,Hz,-54.08, dBm
2044999982,Hz,-54.058, dBm
2045833315,Hz,-54.052, dBm
2046666648,Hz,-54.062, dBm
2047499981,Hz,-54.036, dBm
2048333314,Hz,-54.026, dBm
2049166647,Hz,-54.022, dBm
2049999980,Hz,-54.006, dBm
2050833313,Hz,-54, dBm
2051666646,Hz,-53.996, dBm
2052499979,Hz,-53.986, dBm
2053333312,Hz,-53.966, dBm
2054166645,Hz,-53.984, dBm
2054999978,Hz,-53.97, dBm
2055833311,Hz,-53.94, dBm
2056666644,Hz,-53.93, dBm
2057499977,Hz,-53.942, dBm
2058333310,Hz,-53.908, dBm
2059166643,Hz,-53.902, dBm
2059999976,Hz,-53.886, dBm
2060833309,Hz,-53.876, dBm
2061666642,Hz,-53.856, dBm
2062499975,Hz,-53.864, dBm
2063333308,Hz,-53.848, dBm
2064166641,Hz,-53.84, dBm
2064999974,Hz,-53.818, dBm
2065833307,Hz,-53.814, dBm
2066666640,Hz,-53.792, dBm
2067499973,Hz,-53.776, dBm
2068333306,Hz,-53.78, dBm
2069166639,Hz,-53.758, dBm
2069999972,Hz,-53.75, dBm
2070833305,Hz,-53.738, dBm
2071666638,Hz,-53.718, dBm
2072499971,Hz,-53.72, dBm
2073333304,Hz,-53.678, dBm
2074166637,Hz,-53.7, dBm
2074999970,Hz,-53.672, dBm
2075833303,Hz,-53.64, dBm
2076666636,Hz,-53.636, dBm
2077499969,Hz,-53.632, dBm
2078333302,Hz,-53.604, dBm
2079166635,Hz,-53.588, dBm
2079999968,Hz,-53.598, dBm
2080833301,Hz,-53.588, dBm
2081666634,Hz,-53.54, dBm
2082499967,Hz,-53.544, dBm
2083333300,Hz,-53.526, dBm
2084166633,Hz,-53.5, dBm
2084999966,Hz,-53.51, dBm
2085833299,Hz,-53.48, dBm
2086666632,Hz,-53.478, dBm
2087499965,Hz,-53.456, dBm
2088333298,Hz,-53.442, dBm
2089166631,Hz,-53.432, dBm
2089999964,Hz,-53.418, dBm
2090833297,Hz,-53.418, dBm
2091666630,Hz,-53.398, dBm
2092499963,Hz,-53.376, dBm
2093333296,Hz,-53.356, dBm
2094166629,Hz,-53.38, dBm
2094999962,Hz,-53.34, dBm
2095833295,Hz,-53.314, dBm
2096666628,Hz,-53.312, dBm
2097499961,Hz,-53.302, dBm
2098333294,Hz,-53.258, dBm
2099166627,Hz,-53.26, dBm
2099999960,Hz,-53.248, dBm
2100833293,Hz,-53.234, dBm
