Freq,,Amp,,
"          2000000000",Hz,"              -53.01"," dBm",
"          2000833333",Hz,-53.004," dBm",
"          2001666666",Hz,-52.984," dBm",
"          2002499999",Hz,-53.016," dBm",
"          2003333332",Hz,-52.992000000000004," dBm",
"          2004166665",Hz,-53," dBm",
"          2004999998",Hz,-53.017999999999994," dBm",
"          2005833331",Hz,-53.010000000000005," dBm",
"          2006666664",Hz,-53.00600000000001," dBm",
"          2007499997",Hz,-53.001999999999995," dBm",
"          2008333330",Hz,-52.998000000000005," dBm",
"          2009166663",Hz,-52.977999999999994," dBm",
"          2009999996",Hz,-53.001999999999995," dBm",
"          2010833329",Hz,-53.02," dBm",
"          2011666662",Hz,-53," dBm",
"          2012499995",Hz,-53.00600000000001," dBm",
"          2013333328",Hz,-52.995999999999995," dBm",
"          2014166661",Hz,-52.986000000000004," dBm",
"          2014999994",Hz,-52.99400000000001," dBm",
"          2015833327",Hz,-53.004," dBm",
"          2016666660",Hz,-52.98," dBm",
"          2017499993",Hz,-52.996," dBm",
"          2018333326",Hz,-52.988," dBm",
"          2019166659",Hz,-52.984," dBm",
"          2019999992",Hz,-52.989999999999995," dBm",
"          2020833325",Hz,-53.00599999999999," dBm",
"          2021666658",Hz,-52.99399999999999," dBm",
"          2022499991",Hz,-52.986000000000004," dBm",
"          2023333324",Hz,-52.98," dBm",
"          2024166657",Hz,-52.970000000000006," dBm",
"          2024999990",Hz,-52.967999999999996," dBm",
"          2025833323",Hz,-52.96400000000001," dBm",
"          2026666656",Hz,-52.992," dBm",
"          2027499989",Hz,-52.95," dBm",
"          2028333322",Hz,-52.952," dBm",
"          2029166655",Hz,-52.959999999999994," dBm",
"          2029999988",Hz,-52.96199999999999," dBm",
"          2030833321",Hz,-52.936," dBm",
"          2031666654",Hz,-52.924," dBm",
"          2032499987",Hz,-52.928," dBm",
"          2033333320",Hz,-52.934000000000005," dBm",
"          2034166653",Hz,-52.922000000000004," dBm",
"          2034999986",Hz,-52.912," dBm",
"          2035833319",Hz,-52.90599999999999," dBm",
"          2036666652",Hz,-52.89399999999999," dBm",
"          2037499985",Hz,-52.88199999999999," dBm",
"          2038333318",Hz,-52.891999999999996," dBm",
"          2039166651",Hz,-52.88399999999999," dBm",
"          2039999984",Hz,-52.86200000000001," dBm",
"          2040833317",Hz,-52.846000000000004," dBm",
"          2041666650",Hz,-52.848," dBm",
"          2042499983",Hz,-52.836," dBm",
"          2043333316",Hz,-52.848," dBm",
"          2044166649",Hz,-52.81," dBm",
"          2044999982",Hz,-52.802," dBm",
"          2045833315",Hz,-52.788," dBm",
"          2046666648",Hz,-52.774," dBm",
"          2047499981",Hz,-52.762," dBm",
"          2048333314",Hz,-52.74400000000001," dBm",
"          2049166647",Hz,-52.727999999999994," dBm",
"          2049999980",Hz,-52.714," dBm",
"          2050833313",Hz,-52.694," dBm",
"          2051666646",Hz,-52.678," dBm",
"          2052499979",Hz,-52.67999999999999," dBm",
"          2053333312",Hz,-52.646," dBm",
"          2054166645",Hz,-52.652," dBm",
"          2054999978",Hz,-52.634," dBm",
"          2055833311",Hz,-52.614," dBm",
"          2056666644",Hz,-52.589999999999996," dBm",
"          2057499977",Hz,-52.568000000000005," dBm",
"          2058333310",Hz,-52.556000000000004," dBm",
"          2059166643",Hz,-52.516," dBm",
"          2059999976",Hz,-52.524," dBm",
"          2060833309",Hz,-52.483999999999995," dBm",
"          2061666642",Hz,-52.476," dBm",
"          2062499975",Hz,-52.45399999999999," dBm",
"          2063333308",Hz,-52.438," dBm",
"          2064166641",Hz,-52.416," dBm",
"          2064999974",Hz,-52.386," dBm",
"          2065833307",Hz,-52.378," dBm",
"          2066666640",Hz,-52.364," dBm",
"          2067499973",Hz,-52.343999999999994," dBm",
"          2068333306",Hz,-52.33," dBm",
"          2069166639",Hz,-52.288," dBm",
"          2069999972",Hz,-52.278," dBm",
"          2070833305",Hz,-52.258," dBm",
"          2071666638",Hz,-52.24400000000001," dBm",
"          2072499971",Hz,-52.218," dBm",
"          2073333304",Hz,-52.19," dBm",
"          2074166637",Hz,-52.178," dBm",
"          2074999970",Hz,-52.164," dBm",
"          2075833303",Hz,-52.128," dBm",
"          2076666636",Hz,-52.116," dBm",
"          2077499969",Hz,-52.076," dBm",
"          2078333302",Hz,-52.056000000000004," dBm",
"          2079166635",Hz,-52.04600000000001," dBm",
"          2079999968",Hz,-52.02," dBm",
"          2080833301",Hz,-51.998000000000005," dBm",
"          2081666634",Hz,-51.974000000000004," dBm",
"          2082499967",Hz,-51.952," dBm",
"          2083333300",Hz,-51.912," dBm",
"          2084166633",Hz,-51.914," dBm",
"          2084999966",Hz,-51.906000000000006," dBm",
"          2085833299",Hz,-51.872," dBm",
"          2086666632",Hz,-51.85," dBm",
"          2087499965",Hz,-51.827999999999996," dBm",
"          2088333298",Hz,-51.791999999999994," dBm",
"          2089166631",Hz,-51.75600000000001," dBm",
"          2089999964",Hz,-51.74399999999999," dBm",
"          2090833297",Hz,-51.73599999999999," dBm",
"          2091666630",Hz,-51.698," dBm",
"          2092499963",Hz,-51.66799999999999," dBm",
"          2093333296",Hz,-51.668000000000006," dBm",
"          2094166629",Hz,-51.634," dBm",
"          2094999962",Hz,-51.604," dBm",
"          2095833295",Hz,-51.568," dBm",
"          2096666628",Hz,-51.553999999999995," dBm",
"          2097499961",Hz,-51.522000000000006," dBm",
"          2098333294",Hz,-51.489999999999995," dBm",
"          2099166627",Hz,-51.46600000000001," dBm",
"          2099999960",Hz,-51.472," dBm",
"          2100833293",Hz,-51.419999999999995," dBm",
"          2101666626",Hz,-51.41799999999999," dBm",
"          2102499959",Hz,-51.372," dBm",
"          2103333292",Hz,-51.354," dBm",
"          2104166625",Hz,-51.334," dBm",
"          2104999958",Hz,-51.29799999999999," dBm",
"          2105833291",Hz,-51.279999999999994," dBm",
"          2106666624",Hz,-51.238," dBm",
"          2107499957",Hz,-51.236000000000004," dBm",
"          2108333290",Hz,-51.18600000000001," dBm",
"          2109166623",Hz,-51.182," dBm",
"          2109999956",Hz,-51.162," dBm",
"          2110833289",Hz,-51.114," dBm",
"          2111666622",Hz,-51.09," dBm",
"          2112499955",Hz,-51.068," dBm",
"          2113333288",Hz,-51.046," dBm",
"          2114166621",Hz,-51.032000000000004," dBm",
"          2114999954",Hz,-50.994," dBm",
"          2115833287",Hz,-50.976," dBm",
"          2116666620",Hz,-50.948," dBm",
"          2117499953",Hz,-50.914," dBm",
"          2118333286",Hz,-50.906," dBm",
"          2119166619",Hz,-50.870000000000005," dBm",
"          2119999952",Hz,-50.836000000000006," dBm",
"          2120833285",Hz,-50.826," dBm",
"          2121666618",Hz,-50.788," dBm",
"          2122499951",Hz,-50.763999999999996," dBm",
"          2123333284",Hz,-50.730000000000004," dBm",
"          2124166617",Hz,-50.712," dBm",
"          2124999950",Hz,-50.69," dBm",
"          2125833283",Hz,-50.65," dBm",
"          2126666616",Hz,-50.629999999999995," dBm",
"          2127499949",Hz,-50.605999999999995," dBm",
"          2128333282",Hz,-50.574," dBm",
"          2129166615",Hz,-50.568," dBm",
"          2129999948",Hz,-50.519999999999996," dBm",
"          2130833281",Hz,-50.486000000000004," dBm",
"          2131666614",Hz,-50.44799999999999," dBm",
"          2132499947",Hz,-50.442," dBm",
"          2133333280",Hz,-50.404," dBm",
"          2134166613",Hz,-50.378," dBm",
"          2134999946",Hz,-50.342," dBm",
"          2135833279",Hz,-50.312," dBm",
"          2136666612",Hz,-50.285999999999994," dBm",
"          2137499945",Hz,-50.272," dBm",
"          2138333278",Hz,-50.239999999999995," dBm",
"          2139166611",Hz,-50.218," dBm",
"          2139999944",Hz,-50.19," dBm",
"          2140833277",Hz,-50.160000000000004," dBm",
"          2141666610",Hz,-50.134," dBm",
"          2142499943",Hz,-50.10600000000001," dBm",
"          2143333276",Hz,-50.078," dBm",
"          2144166609",Hz,-50.048," dBm",
"          2144999942",Hz,-50.016000000000005," dBm",
"          2145833275",Hz,-49.986," dBm",
"          2146666608",Hz,-49.94199999999999," dBm",
"          2147499941",Hz,-49.916000000000004," dBm",
"          2148333274",Hz,-49.9," dBm",
"          2149166607",Hz,-49.872," dBm",
"          2149999940",Hz,-49.838," dBm",
"          2150833273",Hz,-49.808," dBm",
"          2151666606",Hz,-49.78," dBm",
"          2152499939",Hz,-49.748000000000005," dBm",
"          2153333272",Hz,-49.712," dBm",
