Trace2,,,
Freq,,Amp,
2000000000,Hz,-73.604, dBm
2000833333,Hz,-73.603, dBm
2001666666,Hz,-73.607, dBm
2002499999,Hz,-73.614, dBm
2003333332,Hz,-73.62, dBm
2004166665,Hz,-73.615, dBm
2004999998,Hz,-73.599, dBm
2005833331,Hz,-73.631, dBm
2006666664,Hz,-73.635, dBm
2007499997,Hz,-73.63, dBm
2008333330,Hz,-73.631, dBm
2009166663,Hz,-73.632, dBm
2009999996,Hz,-73.626, dBm
2010833329,Hz,-73.624, dBm
2011666662,Hz,-73.632, dBm
2012499995,Hz,-73.632, dBm
2013333328,Hz,-73.636, dBm
2014166661,Hz,-73.627, dBm
2014999994,Hz,-73.624, dBm
2015833327,Hz,-73.623, dBm
2016666660,Hz,-73.621, dBm
2017499993,Hz,-73.62, dBm
2018333326,Hz,-73.621, dBm
2019166659,Hz,-73.63, dBm
2019999992,Hz,-73.629, dBm
2020833325,Hz,-73.624, dBm
2021666658,Hz,-73.614, dBm
2022499991,Hz,-73.626, dBm
2023333324,Hz,-73.614, dBm
2024166657,Hz,-73.634, dBm
2024999990,Hz,-73.62, dBm
2025833323,Hz,-73.624, dBm
2026666656,Hz,-73.616, dBm
2027499989,Hz,-73.618, dBm
2028333322,Hz,-73.617, dBm
2029166655,Hz,-73.619, dBm
2029999988,Hz,-73.618, dBm
2030833321,Hz,-73.624, dBm
2031666654,Hz,-73.616, dBm
2032499987,Hz,-73.608, dBm
2033333320,Hz,-73.609, dBm
2034166653,Hz,-73.614, dBm
2034999986,Hz,-73.627, dBm
2035833319,Hz,-73.61, dBm
2036666652,Hz,-73.604, dBm
2037499985,Hz,-73.616, dBm
2038333318,Hz,-73.602, dBm
2039166651,Hz,-73.616, dBm
2039999984,Hz,-73.602, dBm
2040833317,Hz,-73.601, dBm
2041666650,Hz,-73.605, dBm
2042499983,Hz,-73.588, dBm
2043333316,Hz,-73.579, dBm
2044166649,Hz,-73.561, dBm
2044999982,Hz,-73.548, dBm
2045833315,Hz,-73.555, dBm
2046666648,Hz,-73.541, dBm
2047499981,Hz,-73.534, dBm
2048333314,Hz,-73.526, dBm
2049166647,Hz,-73.515, dBm
2049999980,Hz,-73.507, dBm
2050833313,Hz,-73.5, dBm
2051666646,Hz,-73.485, dBm
2052499979,Hz,-73.475, dBm
2053333312,Hz,-73.462, dBm
2054166645,Hz,-73.469, dBm
2054999978,Hz,-73.453, dBm
2055833311,Hz,-73.454, dBm
2056666644,Hz,-73.438, dBm
2057499977,Hz,-73.419, dBm
2058333310,Hz,-73.415, dBm
2059166643,Hz,-73.404, dBm
2059999976,Hz,-73.389, dBm
2060833309,Hz,-73.37, dBm
2061666642,Hz,-73.37, dBm
2062499975,Hz,-73.359, dBm
2063333308,Hz,-73.354, dBm
2064166641,Hz,-73.332, dBm
2064999974,Hz,-73.33, dBm
2065833307,Hz,-73.312, dBm
2066666640,Hz,-73.297, dBm
2067499973,Hz,-73.289, dBm
2068333306,Hz,-73.281, dBm
2069166639,Hz,-73.276, dBm
2069999972,Hz,-73.262, dBm
2070833305,Hz,-73.252, dBm
2071666638,Hz,-73.234, dBm
2072499971,Hz,-73.225, dBm
2073333304,Hz,-73.206, dBm
2074166637,Hz,-73.21, dBm
2074999970,Hz,-73.193, dBm
2075833303,Hz,-73.196, dBm
2076666636,Hz,-73.177, dBm
2077499969,Hz,-73.16, dBm
2078333302,Hz,-73.149, dBm
2079166635,Hz,-73.117, dBm
2079999968,Hz,-73.123, dBm
2080833301,Hz,-73.132, dBm
2081666634,Hz,-73.105, dBm
2082499967,Hz,-73.096, dBm
2083333300,Hz,-73.073, dBm
2084166633,Hz,-73.054, dBm
2084999966,Hz,-73.056, dBm
2085833299,Hz,-73.061, dBm
2086666632,Hz,-73.029, dBm
2087499965,Hz,-73.031, dBm
2088333298,Hz,-73.004, dBm
2089166631,Hz,-72.997, dBm
2089999964,Hz,-72.996, dBm
2090833297,Hz,-72.999, dBm
2091666630,Hz,-72.979, dBm
2092499963,Hz,-72.965, dBm
2093333296,Hz,-72.956, dBm
2094166629,Hz,-72.925, dBm
2094999962,Hz,-72.93, dBm
2095833295,Hz,-72.919, dBm
2096666628,Hz,-72.912, dBm
2097499961,Hz,-72.898, dBm
2098333294,Hz,-72.898, dBm
2099166627,Hz,-72.869, dBm
2099999960,Hz,-72.864, dBm
2100833293,Hz,-72.854, dBm
2101666626,Hz,-72.831, dBm
2102499959,Hz,-72.83, dBm
2103333292,Hz,-72.82, dBm
2104166625,Hz,-72.823, dBm
2104999958,Hz,-72.791, dBm
2105833291,Hz,-72.797, dBm
2106666624,Hz,-72.785, dBm
2107499957,Hz,-72.776, dBm
2108333290,Hz,-72.765, dBm
2109166623,Hz,-72.752, dBm
2109999956,Hz,-72.734, dBm
2110833289,Hz,-72.731, dBm
2111666622,Hz,-72.718, dBm
2112499955,Hz,-72.709, dBm
2113333288,Hz,-72.707, dBm
2114166621,Hz,-72.7, dBm
2114999954,Hz,-72.705, dBm
2115833287,Hz,-72.673, dBm
2116666620,Hz,-72.676, dBm
2117499953,Hz,-72.656, dBm
2118333286,Hz,-72.654, dBm
2119166619,Hz,-72.638, dBm
2119999952,Hz,-72.641, dBm
2120833285,Hz,-72.619, dBm
2121666618,Hz,-72.609, dBm
2122499951,Hz,-72.605, dBm
2123333284,Hz,-72.61, dBm
2124166617,Hz,-72.6, dBm
2124999950,Hz,-72.594, dBm
2125833283,Hz,-72.594, dBm
2126666616,Hz,-72.591, dBm
2127499949,Hz,-72.573, dBm
2128333282,Hz,-72.579, dBm
2129166615,Hz,-72.584, dBm
2129999948,Hz,-72.563, dBm
2130833281,Hz,-72.586, dBm
2131666614,Hz,-72.594, dBm
2132499947,Hz,-72.59, dBm
2133333280,Hz,-72.579, dBm
2134166613,Hz,-72.584, dBm
2134999946,Hz,-72.602, dBm
2135833279,Hz,-72.62, dBm
2136666612,Hz,-72.601, dBm
2137499945,Hz,-72.609, dBm
2138333278,Hz,-72.615, dBm
2139166611,Hz,-72.619, dBm
2139999944,Hz,-72.638, dBm
2140833277,Hz,-72.617, dBm
2141666610,Hz,-72.635, dBm
2142499943,Hz,-72.626, dBm
2143333276,Hz,-72.637, dBm
2144166609,Hz,-72.658, dBm
2144999942,Hz,-72.651, dBm
2145833275,Hz,-72.651, dBm
2146666608,Hz,-72.638, dBm
2147499941,Hz,-72.667, dBm
2148333274,Hz,-72.649, dBm
2149166607,Hz,-72.645, dBm
2149999940,Hz,-72.65, dBm
2150833273,Hz,-72.649, dBm
2151666606,Hz,-72.637, dBm
2152499939,Hz,-72.651, dBm
2153333272,Hz,-72.653, dBm
2154166605,Hz,-72.672, dBm
2154999938,Hz,-72.669, dBm
2155833271,Hz,-72.672, dBm
2156666604,Hz,-72.657, dBm
2157499937,Hz,-72.663, dBm
2158333270,Hz,-72.671, dBm
2159166603,Hz,-72.666, dBm
2159999936,Hz,-72.665, dBm
2160833269,Hz,-72.663, dBm
2161666602,Hz,-72.661, dBm
2162499935,Hz,-72.67, dBm
2163333268,Hz,-72.668, dBm
2164166601,Hz,-72.663, dBm
2164999934,Hz,-72.659, dBm
2165833267,Hz,-72.663, dBm
2166666600,Hz,-72.658, dBm
2167499933,Hz,-72.653, dBm
2168333266,Hz,-72.653, dBm
2169166599,Hz,-72.64, dBm
2169999932,Hz,-72.649, dBm
2170833265,Hz,-72.642, dBm
2171666598,Hz,-72.638, dBm
2172499931,Hz,-72.637, dBm
2173333264,Hz,-72.634, dBm
2174166597,Hz,-72.625, dBm
2174999930,Hz,-72.607, dBm
2175833263,Hz,-72.61, dBm
2176666596,Hz,-72.62, dBm
2177499929,Hz,-72.623, dBm
2178333262,Hz,-72.597, dBm
2179166595,Hz,-72.61, dBm
2179999928,Hz,-72.605, dBm
2180833261,Hz,-72.598, dBm
2181666594,Hz,-72.591, dBm
2182499927,Hz,-72.585, dBm
2183333260,Hz,-72.577, dBm
2184166593,Hz,-72.585, dBm
2184999926,Hz,-72.571, dBm
2185833259,Hz,-72.572, dBm
2186666592,Hz,-72.56, dBm
2187499925,Hz,-72.548, dBm
2188333258,Hz,-72.556, dBm
2189166591,Hz,-72.532, dBm
2189999924,Hz,-72.54, dBm
2190833257,Hz,-72.515, dBm
2191666590,Hz,-72.51, dBm
2192499923,Hz,-72.506, dBm
2193333256,Hz,-72.496, dBm
2194166589,Hz,-72.48, dBm
2194999922,Hz,-72.47, dBm
2195833255,Hz,-72.459, dBm
2196666588,Hz,-72.444, dBm
2197499921,Hz,-72.439, dBm
2198333254,Hz,-72.436, dBm
2199166587,Hz,-72.429, dBm
2199999920,Hz,-72.406, dBm
2200833253,Hz,-72.406, dBm
2201666586,Hz,-72.4, dBm
2202499919,Hz,-72.391, dBm
2203333252,Hz,-72.373, dBm
2204166585,Hz,-72.371, dBm
2204999918,Hz,-72.361, dBm
2205833251,Hz,-72.339, dBm
2206666584,Hz,-72.337, dBm
2207499917,Hz,-72.333, dBm
2208333250,Hz,-72.321, dBm
2209166583,Hz,-72.302, dBm
2209999916,Hz,-72.285, dBm
2210833249,Hz,-72.279, dBm
2211666582,Hz,-72.27, dBm
2212499915,Hz,-72.263, dBm
2213333248,Hz,-72.252, dBm
2214166581,Hz,-72.223, dBm
2214999914,Hz,-72.218, dBm
2215833247,Hz,-72.207, dBm
2216666580,Hz,-72.198, dBm
2217499913,Hz,-72.169, dBm
2218333246,Hz,-72.16, dBm
2219166579,Hz,-72.155, dBm
2219999912,Hz,-72.131, dBm
2220833245,Hz,-72.107, dBm
2221666578,Hz,-72.101, dBm
2222499911,Hz,-72.094, dBm
2223333244,Hz,-72.059, dBm
2224166577,Hz,-72.062, dBm
2224999910,Hz,-72.027, dBm
2225833243,Hz,-72.024, dBm
2226666576,Hz,-71.993, dBm
2227499909,Hz,-71.998, dBm
2228333242,Hz,-71.975, dBm
2229166575,Hz,-71.949, dBm
2229999908,Hz,-71.941, dBm
2230833241,Hz,-71.929, dBm
2231666574,Hz,-71.92, dBm
2232499907,Hz,-71.89, dBm
2233333240,Hz,-71.891, dBm
2234166573,Hz,-71.873, dBm
2234999906,Hz,-71.844, dBm
2235833239,Hz,-71.83, dBm
2236666572,Hz,-71.8, dBm
2237499905,Hz,-71.783, dBm
2238333238,Hz,-71.786, dBm
2239166571,Hz,-71.744, dBm
2239999904,Hz,-71.73, dBm
2240833237,Hz,-71.712, dBm
2241666570,Hz,-71.696, dBm
2242499903,Hz,-71.665, dBm
2243333236,Hz,-71.656, dBm
2244166569,Hz,-71.634, dBm
2244999902,Hz,-71.617, dBm
2245833235,Hz,-71.604, dBm
2246666568,Hz,-71.582, dBm
2247499901,Hz,-71.566, dBm
2248333234,Hz,-71.551, dBm
2249166567,Hz,-71.536, dBm
2249999900,Hz,-71.496, dBm
2250833233,Hz,-71.57, dBm
2251666566,Hz,-71.559, dBm
2252499899,Hz,-71.54, dBm
2253333232,Hz,-71.533, dBm
2254166565,Hz,-71.516, dBm
2254999898,Hz,-71.51, dBm
2255833231,Hz,-71.502, dBm
2256666564,Hz,-71.497, dBm
2257499897,Hz,-71.482, dBm
2258333230,Hz,-71.472, dBm
2259166563,Hz,-71.475, dBm
2259999896,Hz,-71.469, dBm
2260833229,Hz,-71.466, dBm
2261666562,Hz,-71.467, dBm
2262499895,Hz,-71.466, dBm
2263333228,Hz,-71.478, dBm
2264166561,Hz,-71.48, dBm
2264999894,Hz,-71.476, dBm
2265833227,Hz,-71.479, dBm
2266666560,Hz,-71.496, dBm
2267499893,Hz,-71.517, dBm
2268333226,Hz,-71.517, dBm
2269166559,Hz,-71.526, dBm
2269999892,Hz,-71.551, dBm
2270833225,Hz,-71.56, dBm
2271666558,Hz,-71.589, dBm
2272499891,Hz,-71.607, dBm
2273333224,Hz,-71.618, dBm
2274166557,Hz,-71.624, dBm
2274999890,Hz,-71.661, dBm
2275833223,Hz,-71.701, dBm
2276666556,Hz,-71.7, dBm
2277499889,Hz,-71.729, dBm
2278333222,Hz,-71.744, dBm
2279166555,Hz,-71.76, dBm
2279999888,Hz,-71.787, dBm
2280833221,Hz,-71.806, dBm
2281666554,Hz,-71.837, dBm
2282499887,Hz,-71.852, dBm
2283333220,Hz,-71.877, dBm
2284166553,Hz,-71.881, dBm
2284999886,Hz,-71.919, dBm
2285833219,Hz,-71.943, dBm
2286666552,Hz,-71.97, dBm
2287499885,Hz,-71.987, dBm
2288333218,Hz,-72, dBm
2289166551,Hz,-72.013, dBm
2289999884,Hz,-72.047, dBm
2290833217,Hz,-72.062, dBm
2291666550,Hz,-72.08, dBm
2292499883,Hz,-72.091, dBm
2293333216,Hz,-72.116, dBm
2294166549,Hz,-72.128, dBm
2294999882,Hz,-72.134, dBm
2295833215,Hz,-72.169, dBm
2296666548,Hz,-72.186, dBm
2297499881,Hz,-72.188, dBm
2298333214,Hz,-72.217, dBm
2299166547,Hz,-72.223, dBm
2299999880,Hz,-72.243, dBm
2300833213,Hz,-72.268, dBm
2301666546,Hz,-72.273, dBm
2302499879,Hz,-72.293, dBm
