Trace2,
Freq,,Amp,,
          2000000000,Hz,              -53.67, dBm,
          2000833333,Hz,              -53.74, dBm,
          2001666666,Hz,              -53.71, dBm,
          2002499999,Hz,              -53.72, dBm,
          2003333332,Hz,              -53.73, dBm,
          2004166665,Hz,              -53.72, dBm,
          2004999998,Hz,              -53.72, dBm,
          2005833331,Hz,              -53.75, dBm,
          2006666664,Hz,              -53.73, dBm,
          2007499997,Hz,              -53.76, dBm,
          2008333330,Hz,              -53.77, dBm,
          2009166663,Hz,              -53.74, dBm,
          2009999996,Hz,              -53.75, dBm,
          2010833329,Hz,              -53.79, dBm,
          2011666662,Hz,              -53.76, dBm,
          2012499995,Hz,              -53.80, dBm,
          2013333328,Hz,              -53.79, dBm,
          2014166661,Hz,              -53.80, dBm,
          2014999994,Hz,              -53.80, dBm,
          2015833327,Hz,              -53.76, dBm,
          2016666660,Hz,              -53.75, dBm,
          2017499993,Hz,              -53.78, dBm,
          2018333326,Hz,              -53.78, dBm,
          2019166659,Hz,              -53.80, dBm,
          2019999992,Hz,              -53.77, dBm,
          2020833325,Hz,              -53.81, dBm,
          2021666658,Hz,              -53.81, dBm,
          2022499991,Hz,              -53.78, dBm,
          2023333324,Hz,              -53.79, dBm,
          2024166657,Hz,              -53.80, dBm,
          2024999990,Hz,              -53.80, dBm,
          2025833323,Hz,              -53.78, dBm,
          2026666656,Hz,              -53.84, dBm,
          2027499989,Hz,              -53.79, dBm,
          2028333322,Hz,              -53.81, dBm,
          2029166655,Hz,              -53.81, dBm,
          2029999988,Hz,              -53.82, dBm,
          2030833321,Hz,              -53.79, dBm,
          2031666654,Hz,              -53.82, dBm,
          2032499987,Hz,              -53.76, dBm,
          2033333320,Hz,              -53.80, dBm,
          2034166653,Hz,              -53.82, dBm,
          2034999986,Hz,              -53.75, dBm,
          2035833319,Hz,              -53.79, dBm,
          2036666652,Hz,              -53.79, dBm,
          2037499985,Hz,              -53.78, dBm,
          2038333318,Hz,              -53.78, dBm,
          2039166651,Hz,              -53.80, dBm,
          2039999984,Hz,              -53.81, dBm,
          2040833317,Hz,              -53.77, dBm,
          2041666650,Hz,              -53.79, dBm,
          2042499983,Hz,              -53.75, dBm,
          2043333316,Hz,              -53.77, dBm,
          2044166649,Hz,              -53.75, dBm,
          2044999982,Hz,              -53.72, dBm,
          2045833315,Hz,              -53.72, dBm,
          2046666648,Hz,              -53.69, dBm,
          2047499981,Hz,              -53.72, dBm,
          2048333314,Hz,              -53.69, dBm,
          2049166647,Hz,              -53.71, dBm,
          2049999980,Hz,              -53.68, dBm,
          2050833313,Hz,              -53.64, dBm,
          2051666646,Hz,              -53.63, dBm,
          2052499979,Hz,              -53.63, dBm,
          2053333312,Hz,              -53.62, dBm,
          2054166645,Hz,              -53.61, dBm,
          2054999978,Hz,              -53.58, dBm,
          2055833311,Hz,              -53.57, dBm,
          2056666644,Hz,              -53.56, dBm,
          2057499977,Hz,              -53.54, dBm,
          2058333310,Hz,              -53.55, dBm,
          2059166643,Hz,              -53.55, dBm,
          2059999976,Hz,              -53.52, dBm,
          2060833309,Hz,              -53.52, dBm,
          2061666642,Hz,              -53.49, dBm,
          2062499975,Hz,              -53.48, dBm,
          2063333308,Hz,              -53.47, dBm,
          2064166641,Hz,              -53.45, dBm,
          2064999974,Hz,              -53.46, dBm,
          2065833307,Hz,              -53.42, dBm,
          2066666640,Hz,              -53.39, dBm,
          2067499973,Hz,              -53.41, dBm,
          2068333306,Hz,              -53.38, dBm,
          2069166639,Hz,              -53.38, dBm,
          2069999972,Hz,              -53.37, dBm,
          2070833305,Hz,              -53.32, dBm,
          2071666638,Hz,              -53.34, dBm,
          2072499971,Hz,              -53.30, dBm,
          2073333304,Hz,              -53.30, dBm,
          2074166637,Hz,              -53.28, dBm,
          2074999970,Hz,              -53.27, dBm,
          2075833303,Hz,              -53.23, dBm,
          2076666636,Hz,              -53.23, dBm,
          2077499969,Hz,              -53.20, dBm,
          2078333302,Hz,              -53.16, dBm,
          2079166635,Hz,              -53.17, dBm,
          2079999968,Hz,              -53.15, dBm,
          2080833301,Hz,              -53.17, dBm,
          2081666634,Hz,              -53.14, dBm,
          2082499967,Hz,              -53.12, dBm,
          2083333300,Hz,              -53.09, dBm,
          2084166633,Hz,              -53.06, dBm,
          2084999966,Hz,              -53.07, dBm,
          2085833299,Hz,              -53.04, dBm,
          2086666632,Hz,              -53.04, dBm,
