Trace2,,,
Freq,,Amp,
2000000000,Hz,-53.83, dBm
2000833333,Hz,-53.832, dBm
2001666666,Hz,-53.808, dBm
2002499999,Hz,-53.828, dBm
2003333332,Hz,-53.844, dBm
2004166665,Hz,-53.826, dBm
2004999998,Hz,-53.858, dBm
2005833331,Hz,-53.846, dBm
2006666664,Hz,-53.862, dBm
2007499997,Hz,-53.86, dBm
2008333330,Hz,-53.83, dBm
2009166663,Hz,-53.844, dBm
2009999996,Hz,-53.85, dBm
2010833329,Hz,-53.862, dBm
2011666662,Hz,-53.866, dBm
2012499995,Hz,-53.872, dBm
2013333328,Hz,-53.87, dBm
2014166661,Hz,-53.862, dBm
2014999994,Hz,-53.88, dBm
2015833327,Hz,-53.894, dBm
2016666660,Hz,-53.88, dBm
2017499993,Hz,-53.87, dBm
2018333326,Hz,-53.898, dBm
2019166659,Hz,-53.898, dBm
2019999992,Hz,-53.886, dBm
2020833325,Hz,-53.892, dBm
2021666658,Hz,-53.886, dBm
2022499991,Hz,-53.91, dBm
2023333324,Hz,-53.884, dBm
2024166657,Hz,-53.884, dBm
2024999990,Hz,-53.888, dBm
2025833323,Hz,-53.886, dBm
2026666656,Hz,-53.874, dBm
2027499989,Hz,-53.886, dBm
2028333322,Hz,-53.886, dBm
2029166655,Hz,-53.888, dBm
2029999988,Hz,-53.876, dBm
2030833321,Hz,-53.882, dBm
2031666654,Hz,-53.88, dBm
2032499987,Hz,-53.884, dBm
2033333320,Hz,-53.892, dBm
2034166653,Hz,-53.88, dBm
2034999986,Hz,-53.88, dBm
2035833319,Hz,-53.89, dBm
2036666652,Hz,-53.886, dBm
2037499985,Hz,-53.878, dBm
2038333318,Hz,-53.866, dBm
2039166651,Hz,-53.862, dBm
2039999984,Hz,-53.864, dBm
2040833317,Hz,-53.864, dBm
2041666650,Hz,-53.84, dBm
2042499983,Hz,-53.838, dBm
2043333316,Hz,-53.842, dBm
2044166649,Hz,-53.82, dBm
2044999982,Hz,-53.816, dBm
2045833315,Hz,-53.774, dBm
2046666648,Hz,-53.79, dBm
2047499981,Hz,-53.776, dBm
2048333314,Hz,-53.78, dBm
2049166647,Hz,-53.748, dBm
2049999980,Hz,-53.736, dBm
2050833313,Hz,-53.74, dBm
2051666646,Hz,-53.73, dBm
2052499979,Hz,-53.708, dBm
2053333312,Hz,-53.708, dBm
2054166645,Hz,-53.686, dBm
2054999978,Hz,-53.684, dBm
2055833311,Hz,-53.666, dBm
2056666644,Hz,-53.662, dBm
2057499977,Hz,-53.634, dBm
2058333310,Hz,-53.63, dBm
2059166643,Hz,-53.618, dBm
2059999976,Hz,-53.602, dBm
2060833309,Hz,-53.604, dBm
2061666642,Hz,-53.56, dBm
2062499975,Hz,-53.56, dBm
2063333308,Hz,-53.546, dBm
2064166641,Hz,-53.536, dBm
2064999974,Hz,-53.512, dBm
2065833307,Hz,-53.52, dBm
2066666640,Hz,-53.494, dBm
2067499973,Hz,-53.482, dBm
2068333306,Hz,-53.462, dBm
2069166639,Hz,-53.446, dBm
2069999972,Hz,-53.426, dBm
2070833305,Hz,-53.412, dBm
2071666638,Hz,-53.422, dBm
2072499971,Hz,-53.398, dBm
2073333304,Hz,-53.374, dBm
2074166637,Hz,-53.344, dBm
2074999970,Hz,-53.346, dBm
2075833303,Hz,-53.342, dBm
2076666636,Hz,-53.312, dBm
2077499969,Hz,-53.276, dBm
2078333302,Hz,-53.282, dBm
2079166635,Hz,-53.264, dBm
2079999968,Hz,-53.226, dBm
2080833301,Hz,-53.238, dBm
2081666634,Hz,-53.218, dBm
2082499967,Hz,-53.2, dBm
2083333300,Hz,-53.178, dBm
2084166633,Hz,-53.152, dBm
2084999966,Hz,-53.16, dBm
2085833299,Hz,-53.126, dBm
2086666632,Hz,-53.11, dBm
2087499965,Hz,-53.104, dBm
2088333298,Hz,-53.086, dBm
2089166631,Hz,-53.066, dBm
2089999964,Hz,-53.05, dBm
2090833297,Hz,-53.032, dBm
2091666630,Hz,-53.006, dBm
2092499963,Hz,-52.992, dBm
2093333296,Hz,-52.986, dBm
2094166629,Hz,-52.958, dBm
2094999962,Hz,-52.956, dBm
2095833295,Hz,-52.954, dBm
2096666628,Hz,-52.912, dBm
2097499961,Hz,-52.912, dBm
2098333294,Hz,-52.884, dBm
2099166627,Hz,-52.874, dBm
2099999960,Hz,-52.86, dBm
2100833293,Hz,-52.842, dBm
2101666626,Hz,-52.822, dBm
2102499959,Hz,-52.802, dBm
2103333292,Hz,-52.786, dBm
2104166625,Hz,-52.76, dBm
2104999958,Hz,-52.778, dBm
2105833291,Hz,-52.73, dBm
2106666624,Hz,-52.726, dBm
2107499957,Hz,-52.708, dBm
2108333290,Hz,-52.69, dBm
2109166623,Hz,-52.654, dBm
2109999956,Hz,-52.656, dBm
2110833289,Hz,-52.624, dBm
2111666622,Hz,-52.624, dBm
2112499955,Hz,-52.606, dBm
2113333288,Hz,-52.584, dBm
2114166621,Hz,-52.576, dBm
2114999954,Hz,-52.544, dBm
2115833287,Hz,-52.524, dBm
2116666620,Hz,-52.522, dBm
2117499953,Hz,-52.498, dBm
2118333286,Hz,-52.498, dBm
2119166619,Hz,-52.466, dBm
2119999952,Hz,-52.444, dBm
2120833285,Hz,-52.432, dBm
2121666618,Hz,-52.4, dBm
2122499951,Hz,-52.39, dBm
2123333284,Hz,-52.396, dBm
2124166617,Hz,-52.374, dBm
2124999950,Hz,-52.356, dBm
2125833283,Hz,-52.328, dBm
2126666616,Hz,-52.308, dBm
2127499949,Hz,-52.306, dBm
2128333282,Hz,-52.294, dBm
2129166615,Hz,-52.27, dBm
2129999948,Hz,-52.26, dBm
2130833281,Hz,-52.224, dBm
2131666614,Hz,-52.22, dBm
