Freq,,Amp,,
"          2000000000",Hz,"              -52.86"," dBm",
"          2000833333",Hz,-52.831999999999994," dBm",
"          2001666666",Hz,-52.84000000000001," dBm",
"          2002499999",Hz,-52.855999999999995," dBm",
"          2003333332",Hz,-52.848," dBm",
"          2004166665",Hz,-52.84599999999999," dBm",
"          2004999998",Hz,-52.848," dBm",
"          2005833331",Hz,-52.838," dBm",
"          2006666664",Hz,-52.854," dBm",
"          2007499997",Hz,-52.848," dBm",
"          2008333330",Hz,-52.84599999999999," dBm",
"          2009166663",Hz,-52.83200000000001," dBm",
"          2009999996",Hz,-52.84400000000001," dBm",
"          2010833329",Hz,-52.831999999999994," dBm",
"          2011666662",Hz,-52.824," dBm",
"          2012499995",Hz,-52.83200000000001," dBm",
"          2013333328",Hz,-52.838," dBm",
"          2014166661",Hz,-52.81600000000001," dBm",
"          2014999994",Hz,-52.83," dBm",
"          2015833327",Hz,-52.81," dBm",
"          2016666660",Hz,-52.836," dBm",
"          2017499993",Hz,-52.803999999999995," dBm",
"          2018333326",Hz,-52.80800000000001," dBm",
"          2019166659",Hz,-52.812," dBm",
"          2019999992",Hz,-52.794000000000004," dBm",
"          2020833325",Hz,-52.815999999999995," dBm",
"          2021666658",Hz,-52.8," dBm",
"          2022499991",Hz,-52.786," dBm",
"          2023333324",Hz,-52.794," dBm",
"          2024166657",Hz,-52.775999999999996," dBm",
"          2024999990",Hz,-52.786," dBm",
"          2025833323",Hz,-52.774," dBm",
"          2026666656",Hz,-52.762," dBm",
"          2027499989",Hz,-52.778," dBm",
"          2028333322",Hz,-52.763999999999996," dBm",
"          2029166655",Hz,-52.754000000000005," dBm",
"          2029999988",Hz,-52.763999999999996," dBm",
"          2030833321",Hz,-52.754," dBm",
"          2031666654",Hz,-52.75599999999999," dBm",
"          2032499987",Hz,-52.722," dBm",
"          2033333320",Hz,-52.717999999999996," dBm",
"          2034166653",Hz,-52.715999999999994," dBm",
"          2034999986",Hz,-52.696000000000005," dBm",
"          2035833319",Hz,-52.70400000000001," dBm",
"          2036666652",Hz,-52.71," dBm",
"          2037499985",Hz,-52.694," dBm",
"          2038333318",Hz,-52.678," dBm",
"          2039166651",Hz,-52.67," dBm",
"          2039999984",Hz,-52.653999999999996," dBm",
"          2040833317",Hz,-52.646," dBm",
"          2041666650",Hz,-52.65200000000001," dBm",
"          2042499983",Hz,-52.61," dBm",
"          2043333316",Hz,-52.604," dBm",
"          2044166649",Hz,-52.6," dBm",
"          2044999982",Hz,-52.56999999999999," dBm",
"          2045833315",Hz,-52.55800000000001," dBm",
"          2046666648",Hz,-52.541999999999994," dBm",
"          2047499981",Hz,-52.524," dBm",
"          2048333314",Hz,-52.49799999999999," dBm",
"          2049166647",Hz,-52.498000000000005," dBm",
"          2049999980",Hz,-52.468," dBm",
"          2050833313",Hz,-52.462," dBm",
"          2051666646",Hz,-52.45399999999999," dBm",
"          2052499979",Hz,-52.422000000000004," dBm",
"          2053333312",Hz,-52.424," dBm",
"          2054166645",Hz,-52.388," dBm",
"          2054999978",Hz,-52.372," dBm",
"          2055833311",Hz,-52.358000000000004," dBm",
"          2056666644",Hz,-52.343999999999994," dBm",
"          2057499977",Hz,-52.324," dBm",
"          2058333310",Hz,-52.288," dBm",
"          2059166643",Hz,-52.272000000000006," dBm",
"          2059999976",Hz,-52.258," dBm",
"          2060833309",Hz,-52.24000000000001," dBm",
"          2061666642",Hz,-52.20799999999999," dBm",
"          2062499975",Hz,-52.184000000000005," dBm",
"          2063333308",Hz,-52.178," dBm",
"          2064166641",Hz,-52.132000000000005," dBm",
"          2064999974",Hz,-52.11199999999999," dBm",
"          2065833307",Hz,-52.112," dBm",
"          2066666640",Hz,-52.1," dBm",
"          2067499973",Hz,-52.068," dBm",
"          2068333306",Hz,-52.044," dBm",
"          2069166639",Hz,-52.022000000000006," dBm",
"          2069999972",Hz,-52.001999999999995," dBm",
"          2070833305",Hz,-51.970000000000006," dBm",
"          2071666638",Hz,-51.952," dBm",
"          2072499971",Hz,-51.944," dBm",
"          2073333304",Hz,-51.9," dBm",
"          2074166637",Hz,-51.891999999999996," dBm",
"          2074999970",Hz,-51.86," dBm",
"          2075833303",Hz,-51.848," dBm",
"          2076666636",Hz,-51.812," dBm",
"          2077499969",Hz,-51.788," dBm",
"          2078333302",Hz,-51.760000000000005," dBm",
"          2079166635",Hz,-51.746," dBm",
"          2079999968",Hz,-51.71," dBm",
"          2080833301",Hz,-51.7," dBm",
"          2081666634",Hz,-51.66600000000001," dBm",
"          2082499967",Hz,-51.662," dBm",
"          2083333300",Hz,-51.612," dBm",
"          2084166633",Hz,-51.608000000000004," dBm",
"          2084999966",Hz,-51.568000000000005," dBm",
"          2085833299",Hz,-51.548," dBm",
"          2086666632",Hz,-51.517999999999994," dBm",
"          2087499965",Hz,-51.50599999999999," dBm",
"          2088333298",Hz,-51.477999999999994," dBm",
"          2089166631",Hz,-51.462," dBm",
"          2089999964",Hz,-51.410000000000004," dBm",
"          2090833297",Hz,-51.410000000000004," dBm",
"          2091666630",Hz,-51.378," dBm",
"          2092499963",Hz,-51.354," dBm",
"          2093333296",Hz,-51.312," dBm",
"          2094166629",Hz,-51.294000000000004," dBm",
"          2094999962",Hz,-51.262," dBm",
"          2095833295",Hz,-51.246," dBm",
"          2096666628",Hz,-51.212," dBm",
"          2097499961",Hz,-51.194," dBm",
"          2098333294",Hz,-51.16," dBm",
"          2099166627",Hz,-51.152," dBm",
"          2099999960",Hz,-51.116," dBm",
"          2100833293",Hz,-51.096000000000004," dBm",
"          2101666626",Hz,-51.056," dBm",
"          2102499959",Hz,-51.038," dBm",
"          2103333292",Hz,-51.017999999999994," dBm",
"          2104166625",Hz,-50.976000000000006," dBm",
"          2104999958",Hz,-50.95," dBm",
"          2105833291",Hz,-50.92400000000001," dBm",
"          2106666624",Hz,-50.89399999999999," dBm",
"          2107499957",Hz,-50.878," dBm",
"          2108333290",Hz,-50.85799999999999," dBm",
"          2109166623",Hz,-50.818," dBm",
"          2109999956",Hz,-50.778," dBm",
"          2110833289",Hz,-50.75," dBm",
"          2111666622",Hz,-50.738," dBm",
"          2112499955",Hz,-50.714000000000006," dBm",
"          2113333288",Hz,-50.678," dBm",
"          2114166621",Hz,-50.64999999999999," dBm",
"          2114999954",Hz,-50.638," dBm",
"          2115833287",Hz,-50.589999999999996," dBm",
"          2116666620",Hz,-50.552," dBm",
"          2117499953",Hz,-50.548," dBm",
"          2118333286",Hz,-50.513999999999996," dBm",
"          2119166619",Hz,-50.489999999999995," dBm",
"          2119999952",Hz,-50.452000000000005," dBm",
"          2120833285",Hz,-50.432," dBm",
"          2121666618",Hz,-50.4," dBm",
"          2122499951",Hz,-50.374," dBm",
"          2123333284",Hz,-50.36," dBm",
"          2124166617",Hz,-50.30200000000001," dBm",
"          2124999950",Hz,-50.294," dBm",
"          2125833283",Hz,-50.25599999999999," dBm",
"          2126666616",Hz,-50.215999999999994," dBm",
"          2127499949",Hz,-50.2," dBm",
"          2128333282",Hz,-50.194," dBm",
"          2129166615",Hz,-50.14399999999999," dBm",
"          2129999948",Hz,-50.117999999999995," dBm",
"          2130833281",Hz,-50.06400000000001," dBm",
"          2131666614",Hz,-50.048," dBm",
"          2132499947",Hz,-50.034," dBm",
"          2133333280",Hz,-49.977999999999994," dBm",
"          2134166613",Hz,-49.95," dBm",
"          2134999946",Hz,-49.91600000000001," dBm",
"          2135833279",Hz,-49.904," dBm",
"          2136666612",Hz,-49.878," dBm",
"          2137499945",Hz,-49.855999999999995," dBm",
"          2138333278",Hz,-49.8," dBm",
"          2139166611",Hz,-49.772," dBm",
"          2139999944",Hz,-49.748000000000005," dBm",
"          2140833277",Hz,-49.722," dBm",
"          2141666610",Hz,-49.67," dBm",
"          2142499943",Hz,-49.666," dBm",
"          2143333276",Hz,-49.626000000000005," dBm",
"          2144166609",Hz,-49.582," dBm",
"          2144999942",Hz,-49.58," dBm",
"          2145833275",Hz,-49.53," dBm",
"          2146666608",Hz,-49.5," dBm",
"          2147499941",Hz,-49.486000000000004," dBm",
"          2148333274",Hz,-49.45," dBm",
"          2149166607",Hz,-49.418," dBm",
"          2149999940",Hz,-49.384," dBm",
"          2150833273",Hz,-49.342," dBm",
"          2151666606",Hz,-49.32," dBm",
"          2152499939",Hz,-49.274," dBm",
"          2153333272",Hz,-49.248000000000005," dBm",
"          2154166605",Hz,-49.222," dBm",
"          2154999938",Hz,-49.178000000000004," dBm",
"          2155833271",Hz,-49.168," dBm",
"          2156666604",Hz,-49.12," dBm",
"          2157499937",Hz,-49.08," dBm",
"          2158333270",Hz,-49.06400000000001," dBm",
"          2159166603",Hz,-49.035999999999994," dBm",
"          2159999936",Hz,-48.99399999999999," dBm",
"          2160833269",Hz,-48.942," dBm",
"          2161666602",Hz,-48.91799999999999," dBm",
"          2162499935",Hz,-48.89399999999999," dBm",
"          2163333268",Hz,-48.858000000000004," dBm",
"          2164166601",Hz,-48.81999999999999," dBm",
"          2164999934",Hz,-48.786," dBm",
"          2165833267",Hz,-48.730000000000004," dBm",
"          2166666600",Hz,-48.704," dBm",
"          2167499933",Hz,-48.674," dBm",
"          2168333266",Hz,-48.626," dBm",
