Sig,Std Dev
9.328632290299027e-07,1.4384428366195286e-09
8.927696657345115e-07,1.3375297306966497e-09
1.0156701806384813e-06,1.645240570378799e-09
9.208240907216171e-07,1.5043635740027854e-09
9.25314189512399e-07,1.6649980630823202e-09
8.802210501462128e-07,1.5704457159342537e-09
9.707929581423847e-07,1.5845989425132331e-09
1.0160205071698081e-06,1.6303367200513684e-09
9.293815767426806e-07,1.4690410615596235e-09
8.872879315412694e-07,1.5424280411094913e-09
8.946867727988146e-07,1.253497991587189e-09
9.303587196430531e-07,1.3518693422287657e-09
1.1091203808147696e-06,1.7008597562070585e-09
1.0455324998177659e-06,1.6213139325976273e-09
1.163323863606202e-06,2.05077747682528e-09
1.067489479301101e-06,1.4596755701755304e-09
1.095273640132794e-06,1.688052794370693e-09
1.0263655148377197e-06,1.6149381662662994e-09
9.857129316657765e-07,1.3518576916518507e-09
1.0200977147040048e-06,1.7408581595717301e-09
1.0422806168829132e-06,1.6991909307177963e-09
1.0726344029586308e-06,1.6235732507508767e-09
1.0084501939570676e-06,1.9671325493948777e-09
1.0294313994641312e-06,2.003536787492694e-09
1.2920999005123592e-06,1.8340318023734102e-09
9.89254053340773e-07,1.6061395344334215e-09
1.1569947979310546e-06,1.6724498815667184e-09
1.090182795202142e-06,1.7152594735052215e-09
1.113758558807521e-06,1.8733343050625152e-09
1.2610847806021527e-06,1.9200943385565384e-09
1.1695360162935509e-06,1.8000855602522878e-09
1.123483489212887e-06,1.8597496034034373e-09
1.3110762495072558e-06,1.6356582389999903e-09
1.2708593131736113e-06,1.8155679508543007e-09
1.224992585087633e-06,1.9692315059378233e-09
1.1146829032868526e-06,1.7592609259015082e-09
1.365955974742422e-06,2.188421567197999e-09
1.1103471111875378e-06,1.7111368039156238e-09
1.1835787789212733e-06,2.11543396300219e-09
1.2285935423142427e-06,2.3525959928578086e-09
1.16272830582905e-06,2.0698917820705454e-09
1.3870572637167223e-06,2.4564592291890736e-09
1.424046180749149e-06,2.354146655179526e-09
1.3691673447509553e-06,2.0278061060279255e-09
1.1074161857876438e-06,1.9114833954054682e-09
1.4466065749832282e-06,2.493460824995801e-09
1.2161404663073255e-06,1.9235758525186392e-09
1.4663056938234035e-06,2.3313047144970953e-09
1.4374427560161666e-06,2.4109949746549975e-09
1.347022079221129e-06,2.229263273777585e-09
1.5173981803909733e-06,2.495406361226245e-09
1.464055142763836e-06,2.1696208565063997e-09
1.3331505329888946e-06,2.1605917616371938e-09
1.5794100209604149e-06,2.422524585794948e-09
1.2055600607822249e-06,2.112214278545745e-09
1.3842270907650072e-06,2.1999644330258416e-09
1.3444061807827344e-06,2.2819371051654857e-09
1.5525745157031114e-06,2.407011931322358e-09
1.6127143987236962e-06,2.265323757178531e-09
1.5995197820645787e-06,2.7245662852137027e-09
1.6014747212426067e-06,2.813684016020439e-09
1.4313869455593962e-06,2.294669057157782e-09
1.4562733432862314e-06,2.789713164570431e-09
1.475655249718508e-06,2.92205273861611e-09
1.6177621283741654e-06,2.571690419970452e-09
1.2197132107172338e-06,1.8330203412902374e-09
1.6939848837311755e-06,2.638749574508766e-09
1.7681094298843198e-06,2.6103974769793e-09
1.4792433576270983e-06,2.339777271071553e-09
1.5286643190914016e-06,2.4212563077842105e-09
1.6149820336988263e-06,2.812020402141503e-09
1.5652106957536914e-06,2.6278207667131656e-09
1.5285389708890699e-06,2.349838128049691e-09
1.4702004932688067e-06,2.3015792812452877e-09
1.6106448457582133e-06,2.414983461098966e-09
1.380975899384713e-06,2.384352811588485e-09
1.614277753671329e-06,2.4549536006055347e-09
1.6795404814061495e-06,2.530302201808164e-09
1.7204003497311592e-06,2.776077531921485e-09
1.7363841656812456e-06,2.8095539266473427e-09
1.5240497190182864e-06,2.52960775890045e-09
1.5289187088704792e-06,2.6804057580925943e-09
1.328032361768507e-06,2.5511614431975766e-09
1.6141112726215764e-06,2.928786796727135e-09
1.6027990847769719e-06,2.873589815899353e-09
1.7291679542358465e-06,2.63789070865845e-09
1.7329883344470026e-06,2.968542362244951e-09
1.8596060900175785e-06,3.14310123516082e-09
1.6872503845793565e-06,3.235150034403787e-09
1.8912797129286413e-06,2.548687356812348e-09
1.6918672209693624e-06,2.479774856064454e-09
1.815332961618744e-06,2.9677789233861797e-09
1.6349413488889787e-06,2.5145851843085958e-09
1.5121186378954816e-06,2.4050006263249966e-09
1.620138205834685e-06,3.140697117950171e-09
1.6155048636487188e-06,2.671598868254712e-09
1.6987209136277523e-06,2.9593263285564593e-09
1.4958804506855925e-06,2.5547910202641767e-09
1.4147906640025324e-06,2.2912958507878234e-09
1.553662008771696e-06,2.6637041812676074e-09
1.5242694562394015e-06,2.4218241770863248e-09
1.5817186816404744e-06,2.306525988443076e-09
1.7293531261441334e-06,3.0958501705067155e-09
1.6669279408925485e-06,2.74676242408106e-09
1.6383407089072239e-06,2.731826404847368e-09
1.6294502438024172e-06,2.49593299208141e-09
1.651487384484234e-06,2.3347102430013623e-09
1.438123720586531e-06,2.0121689775633783e-09
1.4542022517488235e-06,2.149005737092626e-09
1.5504955400398588e-06,2.3436008395424075e-09
1.498071647734009e-06,2.319725985198301e-09
1.7272409191540972e-06,2.783658723054123e-09
1.3663790955664404e-06,2.0971979867431146e-09
1.409396858181335e-06,2.2067696074681635e-09
1.6807123968276394e-06,2.812255231111709e-09
1.4912282405432793e-06,2.3751638710761222e-09
1.606337487442266e-06,2.6738463050261044e-09
1.4166194421013311e-06,2.0975493478323677e-09
1.3323645389842583e-06,2.1009053447874673e-09
1.3456323031574152e-06,2.024708083238011e-09
1.3523620444136364e-06,1.9265375933869477e-09
1.4142967576026834e-06,2.2930750537147016e-09
1.3954011184142303e-06,1.9177028114255407e-09
1.1996009941701767e-06,2.2841425443377013e-09
1.5139489490724815e-06,2.5611450286776616e-09
1.4080685937365195e-06,2.204723112547729e-09
1.4712697357542748e-06,2.547083209418968e-09
1.3273783345110041e-06,1.9948095358823306e-09
1.3038439806343713e-06,2.052387478533768e-09
1.3545990810109812e-06,2.1663490684477413e-09
1.1462030933225563e-06,1.8489275497925462e-09
1.1836090481481412e-06,2.1172522587406755e-09
1.221516557460037e-06,1.913700405836713e-09
1.2257827391723144e-06,1.913833738062619e-09
1.1104948086839823e-06,2.2515096717559773e-09
1.1267084679199907e-06,2.003609591633763e-09
1.298634520970495e-06,1.975948091352604e-09
1.1244173149464296e-06,2.2867258141901328e-09
1.1362458180642729e-06,2.2810156765975297e-09
