Trace2,
Freq,,Amp,,
          1001000000,Hz,              -69.57, dBm,
          1001596666,Hz,              -69.53, dBm,
          1002193332,Hz,              -69.52, dBm,
          1002789998,Hz,              -69.53, dBm,
          1003386664,Hz,              -69.53, dBm,
          1003983330,Hz,              -69.52, dBm,
          1004579996,Hz,              -69.54, dBm,
          1005176662,Hz,              -69.53, dBm,
          1005773328,Hz,              -69.53, dBm,
          1006369994,Hz,              -69.51, dBm,
          1006966660,Hz,              -69.54, dBm,
          1007563326,Hz,              -69.51, dBm,
          1008159992,Hz,              -69.54, dBm,
          1008756658,Hz,              -69.56, dBm,
          1009353324,Hz,              -69.51, dBm,
          1009949990,Hz,              -69.54, dBm,
          1010546656,Hz,              -69.52, dBm,
          1011143322,Hz,              -69.53, dBm,
          1011739988,Hz,              -69.54, dBm,
          1012336654,Hz,              -69.51, dBm,
          1012933320,Hz,              -69.52, dBm,
          1013529986,Hz,              -69.54, dBm,
          1014126652,Hz,              -69.51, dBm,
          1014723318,Hz,              -69.50, dBm,
          1015319984,Hz,              -69.52, dBm,
          1015916650,Hz,              -69.52, dBm,
          1016513316,Hz,              -69.51, dBm,
          1017109982,Hz,              -69.51, dBm,
          1017706648,Hz,              -69.54, dBm,
          1018303314,Hz,              -69.53, dBm,
          1018899980,Hz,              -69.52, dBm,
          1019496646,Hz,              -69.52, dBm,
          1020093312,Hz,              -69.53, dBm,
          1020689978,Hz,              -69.50, dBm,
          1021286644,Hz,              -69.51, dBm,
          1021883310,Hz,              -69.53, dBm,
          1022479976,Hz,              -69.52, dBm,
          1023076642,Hz,              -69.51, dBm,
          1023673308,Hz,              -69.52, dBm,
          1024269974,Hz,              -69.52, dBm,
          1024866640,Hz,              -69.53, dBm,
          1025463306,Hz,              -69.51, dBm,
          1026059972,Hz,              -69.50, dBm,
          1026656638,Hz,              -69.54, dBm,
          1027253304,Hz,              -69.53, dBm,
          1027849970,Hz,              -69.53, dBm,
          1028446636,Hz,              -69.53, dBm,
          1029043302,Hz,              -69.52, dBm,
          1029639968,Hz,              -69.51, dBm,
          1030236634,Hz,              -69.52, dBm,
          1030833300,Hz,              -69.52, dBm,
          1031429966,Hz,              -69.53, dBm,
          1032026632,Hz,              -69.52, dBm,
          1032623298,Hz,              -69.53, dBm,
          1033219964,Hz,              -69.53, dBm,
          1033816630,Hz,              -69.53, dBm,
          1034413296,Hz,              -69.50, dBm,
          1035009962,Hz,              -69.53, dBm,
          1035606628,Hz,              -69.54, dBm,
          1036203294,Hz,              -69.51, dBm,
          1036799960,Hz,              -69.51, dBm,
          1037396626,Hz,              -69.54, dBm,
          1037993292,Hz,              -69.52, dBm,
          1038589958,Hz,              -69.53, dBm,
          1039186624,Hz,              -69.52, dBm,
          1039783290,Hz,              -69.49, dBm,
          1040379956,Hz,              -69.53, dBm,
          1040976622,Hz,              -69.54, dBm,
          1041573288,Hz,              -69.51, dBm,
          1042169954,Hz,              -69.49, dBm,
          1042766620,Hz,              -69.51, dBm,
          1043363286,Hz,              -69.50, dBm,
          1043959952,Hz,              -69.47, dBm,
          1044556618,Hz,              -69.49, dBm,
          1045153284,Hz,              -69.49, dBm,
          1045749950,Hz,              -69.51, dBm,
          1046346616,Hz,              -69.52, dBm,
          1046943282,Hz,              -69.51, dBm,
          1047539948,Hz,              -69.52, dBm,
          1048136614,Hz,              -69.50, dBm,
          1048733280,Hz,              -69.49, dBm,
          1049329946,Hz,              -69.51, dBm,
          1049926612,Hz,              -69.48, dBm,
          1050523278,Hz,              -69.48, dBm,
          1051119944,Hz,              -69.48, dBm,
          1051716610,Hz,              -69.49, dBm,
          1052313276,Hz,              -69.48, dBm,
          1052909942,Hz,              -69.51, dBm,
          1053506608,Hz,              -69.48, dBm,
          1054103274,Hz,              -69.49, dBm,
          1054699940,Hz,              -69.48, dBm,
          1055296606,Hz,              -69.48, dBm,
          1055893272,Hz,              -69.47, dBm,
          1056489938,Hz,              -69.46, dBm,
          1057086604,Hz,              -69.46, dBm,
          1057683270,Hz,              -69.47, dBm,
          1058279936,Hz,              -69.45, dBm,
          1058876602,Hz,              -69.44, dBm,
          1059473268,Hz,              -69.43, dBm,
          1060069934,Hz,              -69.44, dBm,
          1060666600,Hz,              -69.42, dBm,
          1061263266,Hz,              -69.43, dBm,
          1061859932,Hz,              -69.43, dBm,
          1062456598,Hz,              -69.42, dBm,
          1063053264,Hz,              -69.44, dBm,
          1063649930,Hz,              -69.44, dBm,
          1064246596,Hz,              -69.43, dBm,
          1064843262,Hz,              -69.40, dBm,
          1065439928,Hz,              -69.39, dBm,
          1066036594,Hz,              -69.40, dBm,
          1066633260,Hz,              -69.39, dBm,
          1067229926,Hz,              -69.39, dBm,
          1067826592,Hz,              -69.39, dBm,
          1068423258,Hz,              -69.37, dBm,
          1069019924,Hz,              -69.36, dBm,
          1069616590,Hz,              -69.36, dBm,
          1070213256,Hz,              -69.36, dBm,
          1070809922,Hz,              -69.34, dBm,
          1071406588,Hz,              -69.34, dBm,
          1072003254,Hz,              -69.32, dBm,
          1072599920,Hz,              -69.32, dBm,
          1073196586,Hz,              -69.32, dBm,
          1073793252,Hz,              -69.29, dBm,
          1074389918,Hz,              -69.33, dBm,
          1074986584,Hz,              -69.32, dBm,
          1075583250,Hz,              -69.29, dBm,
          1076179916,Hz,              -69.28, dBm,
          1076776582,Hz,              -69.26, dBm,
          1077373248,Hz,              -69.29, dBm,
          1077969914,Hz,              -69.30, dBm,
          1078566580,Hz,              -69.24, dBm,
          1079163246,Hz,              -69.26, dBm,
          1079759912,Hz,              -69.25, dBm,
          1080356578,Hz,              -69.23, dBm,
          1080953244,Hz,              -69.20, dBm,
          1081549910,Hz,              -69.21, dBm,
          1082146576,Hz,              -69.21, dBm,
          1082743242,Hz,              -69.23, dBm,
          1083339908,Hz,              -69.23, dBm,
          1083936574,Hz,              -69.19, dBm,
          1084533240,Hz,              -69.19, dBm,
          1085129906,Hz,              -69.17, dBm,
          1085726572,Hz,              -69.15, dBm,
          1086323238,Hz,              -69.15, dBm,
          1086919904,Hz,              -69.16, dBm,
          1087516570,Hz,              -69.12, dBm,
          1088113236,Hz,              -69.14, dBm,
          1088709902,Hz,              -69.15, dBm,
          1089306568,Hz,              -69.14, dBm,
          1089903234,Hz,              -69.07, dBm,
          1090499900,Hz,              -69.10, dBm,
          1091096566,Hz,              -69.11, dBm,
          1091693232,Hz,              -69.12, dBm,
          1092289898,Hz,              -69.07, dBm,
          1092886564,Hz,              -69.07, dBm,
          1093483230,Hz,              -69.07, dBm,
          1094079896,Hz,              -69.08, dBm,
          1094676562,Hz,              -69.04, dBm,
          1095273228,Hz,              -69.05, dBm,
          1095869894,Hz,              -69.03, dBm,
          1096466560,Hz,              -69.03, dBm,
          1097063226,Hz,              -69.01, dBm,
          1097659892,Hz,              -68.98, dBm,
          1098256558,Hz,              -68.99, dBm,
          1098853224,Hz,              -69.00, dBm,
          1099449890,Hz,              -68.95, dBm,
          1100046556,Hz,              -68.96, dBm,
          1100643222,Hz,              -68.96, dBm,
          1101239888,Hz,              -68.94, dBm,
          1101836554,Hz,              -68.91, dBm,
          1102433220,Hz,              -68.92, dBm,
          1103029886,Hz,              -68.92, dBm,
          1103626552,Hz,              -68.91, dBm,
          1104223218,Hz,              -68.87, dBm,
          1104819884,Hz,              -68.88, dBm,
          1105416550,Hz,              -68.87, dBm,
          1106013216,Hz,              -68.85, dBm,
          1106609882,Hz,              -68.85, dBm,
          1107206548,Hz,              -68.85, dBm,
          1107803214,Hz,              -68.83, dBm,
          1108399880,Hz,              -68.82, dBm,
          1108996546,Hz,              -68.81, dBm,
          1109593212,Hz,              -68.80, dBm,
          1110189878,Hz,              -68.79, dBm,
          1110786544,Hz,              -68.79, dBm,
          1111383210,Hz,              -68.78, dBm,
