Trace1,,,
Freq,,Amp,
2000000000,Hz,-54.208, dBm
2000833333,Hz,-54.218, dBm
2001666666,Hz,-54.21, dBm
2002499999,Hz,-54.238, dBm
2003333332,Hz,-54.232, dBm
2004166665,Hz,-54.262, dBm
2004999998,Hz,-54.26, dBm
2005833331,Hz,-54.244, dBm
2006666664,Hz,-54.246, dBm
2007499997,Hz,-54.252, dBm
2008333330,Hz,-54.254, dBm
2009166663,Hz,-54.254, dBm
2009999996,Hz,-54.282, dBm
2010833329,Hz,-54.276, dBm
2011666662,Hz,-54.304, dBm
2012499995,Hz,-54.302, dBm
2013333328,Hz,-54.302, dBm
2014166661,Hz,-54.304, dBm
2014999994,Hz,-54.284, dBm
2015833327,Hz,-54.308, dBm
2016666660,Hz,-54.32, dBm
2017499993,Hz,-54.32, dBm
2018333326,Hz,-54.32, dBm
2019166659,Hz,-54.334, dBm
2019999992,Hz,-54.34, dBm
2020833325,Hz,-54.328, dBm
2021666658,Hz,-54.346, dBm
2022499991,Hz,-54.312, dBm
2023333324,Hz,-54.336, dBm
2024166657,Hz,-54.38, dBm
2024999990,Hz,-54.352, dBm
2025833323,Hz,-54.34, dBm
2026666656,Hz,-54.356, dBm
2027499989,Hz,-54.336, dBm
2028333322,Hz,-54.336, dBm
2029166655,Hz,-54.346, dBm
2029999988,Hz,-54.366, dBm
2030833321,Hz,-54.364, dBm
2031666654,Hz,-54.376, dBm
2032499987,Hz,-54.378, dBm
2033333320,Hz,-54.376, dBm
2034166653,Hz,-54.372, dBm
2034999986,Hz,-54.37, dBm
2035833319,Hz,-54.372, dBm
2036666652,Hz,-54.36, dBm
2037499985,Hz,-54.39, dBm
2038333318,Hz,-54.34, dBm
2039166651,Hz,-54.372, dBm
2039999984,Hz,-54.386, dBm
2040833317,Hz,-54.362, dBm
2041666650,Hz,-54.356, dBm
2042499983,Hz,-54.346, dBm
2043333316,Hz,-54.332, dBm
2044166649,Hz,-54.328, dBm
2044999982,Hz,-54.346, dBm
2045833315,Hz,-54.316, dBm
2046666648,Hz,-54.316, dBm
2047499981,Hz,-54.32, dBm
2048333314,Hz,-54.316, dBm
2049166647,Hz,-54.3, dBm
2049999980,Hz,-54.284, dBm
2050833313,Hz,-54.306, dBm
2051666646,Hz,-54.27, dBm
2052499979,Hz,-54.252, dBm
2053333312,Hz,-54.226, dBm
2054166645,Hz,-54.242, dBm
2054999978,Hz,-54.244, dBm
2055833311,Hz,-54.214, dBm
2056666644,Hz,-54.212, dBm
2057499977,Hz,-54.228, dBm
2058333310,Hz,-54.218, dBm
2059166643,Hz,-54.168, dBm
2059999976,Hz,-54.192, dBm
2060833309,Hz,-54.178, dBm
2061666642,Hz,-54.154, dBm
2062499975,Hz,-54.172, dBm
2063333308,Hz,-54.134, dBm
2064166641,Hz,-54.154, dBm
2064999974,Hz,-54.128, dBm
2065833307,Hz,-54.126, dBm
2066666640,Hz,-54.104, dBm
2067499973,Hz,-54.09, dBm
2068333306,Hz,-54.076, dBm
2069166639,Hz,-54.062, dBm
2069999972,Hz,-54.06, dBm
2070833305,Hz,-54.05, dBm
2071666638,Hz,-54.038, dBm
2072499971,Hz,-54.042, dBm
2073333304,Hz,-54.016, dBm
2074166637,Hz,-54.006, dBm
2074999970,Hz,-53.972, dBm
2075833303,Hz,-53.982, dBm
2076666636,Hz,-53.972, dBm
2077499969,Hz,-53.93, dBm
2078333302,Hz,-53.936, dBm
2079166635,Hz,-53.908, dBm
2079999968,Hz,-53.914, dBm
2080833301,Hz,-53.91, dBm
2081666634,Hz,-53.926, dBm
2082499967,Hz,-53.892, dBm
2083333300,Hz,-53.874, dBm
2084166633,Hz,-53.88, dBm
2084999966,Hz,-53.84, dBm
2085833299,Hz,-53.848, dBm
2086666632,Hz,-53.836, dBm
2087499965,Hz,-53.822, dBm
2088333298,Hz,-53.818, dBm
2089166631,Hz,-53.786, dBm
2089999964,Hz,-53.816, dBm
2090833297,Hz,-53.764, dBm
2091666630,Hz,-53.772, dBm
2092499963,Hz,-53.748, dBm
2093333296,Hz,-53.746, dBm
2094166629,Hz,-53.722, dBm
2094999962,Hz,-53.712, dBm
2095833295,Hz,-53.692, dBm
2096666628,Hz,-53.706, dBm
2097499961,Hz,-53.694, dBm
2098333294,Hz,-53.674, dBm
2099166627,Hz,-53.664, dBm
2099999960,Hz,-53.638, dBm
2100833293,Hz,-53.634, dBm
2101666626,Hz,-53.628, dBm
2102499959,Hz,-53.61, dBm
2103333292,Hz,-53.618, dBm
2104166625,Hz,-53.608, dBm
2104999958,Hz,-53.61, dBm
2105833291,Hz,-53.596, dBm
2106666624,Hz,-53.582, dBm
2107499957,Hz,-53.55, dBm
2108333290,Hz,-53.572, dBm
2109166623,Hz,-53.518, dBm
2109999956,Hz,-53.53, dBm
2110833289,Hz,-53.516, dBm
2111666622,Hz,-53.512, dBm
2112499955,Hz,-53.522, dBm
2113333288,Hz,-53.484, dBm
2114166621,Hz,-53.468, dBm
2114999954,Hz,-53.468, dBm
2115833287,Hz,-53.43, dBm
2116666620,Hz,-53.474, dBm
2117499953,Hz,-53.44, dBm
2118333286,Hz,-53.434, dBm
2119166619,Hz,-53.448, dBm
2119999952,Hz,-53.426, dBm
2120833285,Hz,-53.42, dBm
2121666618,Hz,-53.41, dBm
2122499951,Hz,-53.396, dBm
2123333284,Hz,-53.382, dBm
2124166617,Hz,-53.374, dBm
2124999950,Hz,-53.36, dBm
2125833283,Hz,-53.352, dBm
2126666616,Hz,-53.328, dBm
2127499949,Hz,-53.322, dBm
2128333282,Hz,-53.296, dBm
2129166615,Hz,-53.328, dBm
2129999948,Hz,-53.288, dBm
2130833281,Hz,-53.296, dBm
2131666614,Hz,-53.294, dBm
2132499947,Hz,-53.28, dBm
2133333280,Hz,-53.274, dBm
2134166613,Hz,-53.272, dBm
2134999946,Hz,-53.268, dBm
2135833279,Hz,-53.24, dBm
2136666612,Hz,-53.236, dBm
2137499945,Hz,-53.242, dBm
2138333278,Hz,-53.234, dBm
2139166611,Hz,-53.212, dBm
2139999944,Hz,-53.214, dBm
2140833277,Hz,-53.194, dBm
2141666610,Hz,-53.186, dBm
2142499943,Hz,-53.172, dBm
2143333276,Hz,-53.162, dBm
2144166609,Hz,-53.174, dBm
2144999942,Hz,-53.158, dBm
2145833275,Hz,-53.146, dBm
2146666608,Hz,-53.158, dBm
2147499941,Hz,-53.142, dBm
2148333274,Hz,-53.144, dBm
2149166607,Hz,-53.136, dBm
2149999940,Hz,-53.112, dBm
2150833273,Hz,-53.108, dBm
2151666606,Hz,-53.096, dBm
2152499939,Hz,-53.104, dBm
2153333272,Hz,-53.108, dBm
2154166605,Hz,-53.076, dBm
2154999938,Hz,-53.09, dBm
2155833271,Hz,-53.086, dBm
2156666604,Hz,-53.06, dBm
2157499937,Hz,-53.064, dBm
2158333270,Hz,-53.07, dBm
2159166603,Hz,-53.04, dBm
2159999936,Hz,-53.056, dBm
2160833269,Hz,-53.058, dBm
2161666602,Hz,-53.03, dBm
2162499935,Hz,-53.006, dBm
2163333268,Hz,-53.014, dBm
2164166601,Hz,-53.028, dBm
2164999934,Hz,-53.012, dBm
2165833267,Hz,-52.98, dBm
2166666600,Hz,-52.992, dBm
2167499933,Hz,-52.976, dBm
2168333266,Hz,-52.976, dBm
2169166599,Hz,-52.97, dBm
2169999932,Hz,-52.948, dBm
2170833265,Hz,-52.944, dBm
2171666598,Hz,-52.928, dBm
2172499931,Hz,-52.898, dBm
2173333264,Hz,-52.914, dBm
2174166597,Hz,-52.904, dBm
2174999930,Hz,-52.9, dBm
2175833263,Hz,-52.878, dBm
2176666596,Hz,-52.834, dBm
2177499929,Hz,-52.846, dBm
2178333262,Hz,-52.856, dBm
2179166595,Hz,-52.85, dBm
2179999928,Hz,-52.844, dBm
2180833261,Hz,-52.824, dBm
2181666594,Hz,-52.808, dBm
2182499927,Hz,-52.774, dBm
2183333260,Hz,-52.754, dBm
2184166593,Hz,-52.766, dBm
2184999926,Hz,-52.752, dBm
2185833259,Hz,-52.714, dBm
2186666592,Hz,-52.736, dBm
2187499925,Hz,-52.694, dBm
2188333258,Hz,-52.66, dBm
2189166591,Hz,-52.65, dBm
2189999924,Hz,-52.644, dBm
2190833257,Hz,-52.628, dBm
2191666590,Hz,-52.63, dBm
2192499923,Hz,-52.6, dBm
2193333256,Hz,-52.59, dBm
2194166589,Hz,-52.56, dBm
2194999922,Hz,-52.55, dBm
2195833255,Hz,-52.52, dBm
2196666588,Hz,-52.542, dBm
2197499921,Hz,-52.464, dBm
2198333254,Hz,-52.44, dBm
2199166587,Hz,-52.436, dBm
2199999920,Hz,-52.398, dBm
2200833253,Hz,-52.4, dBm
2201666586,Hz,-52.346, dBm
2202499919,Hz,-52.324, dBm
2203333252,Hz,-52.312, dBm
2204166585,Hz,-52.32, dBm
2204999918,Hz,-52.272, dBm
2205833251,Hz,-52.24, dBm
2206666584,Hz,-52.198, dBm
2207499917,Hz,-52.21, dBm
2208333250,Hz,-52.166, dBm
2209166583,Hz,-52.134, dBm
2209999916,Hz,-52.108, dBm
2210833249,Hz,-52.084, dBm
2211666582,Hz,-52.038, dBm
2212499915,Hz,-52, dBm
2213333248,Hz,-51.996, dBm
2214166581,Hz,-51.93, dBm
2214999914,Hz,-51.94, dBm
2215833247,Hz,-51.882, dBm
2216666580,Hz,-51.866, dBm
2217499913,Hz,-51.86, dBm
2218333246,Hz,-51.782, dBm
2219166579,Hz,-51.746, dBm
2219999912,Hz,-51.714, dBm
2220833245,Hz,-51.7, dBm
2221666578,Hz,-51.694, dBm
2222499911,Hz,-51.616, dBm
2223333244,Hz,-51.586, dBm
2224166577,Hz,-51.548, dBm
2224999910,Hz,-51.518, dBm
2225833243,Hz,-51.456, dBm
2226666576,Hz,-51.464, dBm
2227499909,Hz,-51.394, dBm
2228333242,Hz,-51.346, dBm
2229166575,Hz,-51.328, dBm
2229999908,Hz,-51.268, dBm
2230833241,Hz,-51.226, dBm
2231666574,Hz,-51.19, dBm
2232499907,Hz,-51.172, dBm
2233333240,Hz,-51.114, dBm
2234166573,Hz,-51.088, dBm
2234999906,Hz,-51.056, dBm
2235833239,Hz,-50.998, dBm
2236666572,Hz,-50.952, dBm
2237499905,Hz,-50.932, dBm
2238333238,Hz,-50.878, dBm
2239166571,Hz,-50.826, dBm
2239999904,Hz,-50.8, dBm
2240833237,Hz,-50.764, dBm
2241666570,Hz,-50.74, dBm
2242499903,Hz,-50.714, dBm
2243333236,Hz,-50.666, dBm
2244166569,Hz,-50.6, dBm
2244999902,Hz,-50.572, dBm
2245833235,Hz,-50.546, dBm
2246666568,Hz,-50.516, dBm
2247499901,Hz,-50.478, dBm
2248333234,Hz,-50.432, dBm
2249166567,Hz,-50.39, dBm
2249999900,Hz,-50.354, dBm
2250833233,Hz,-50.336, dBm
2251666566,Hz,-50.294, dBm
2252499899,Hz,-50.278, dBm
2253333232,Hz,-50.248, dBm
2254166565,Hz,-50.228, dBm
2254999898,Hz,-50.186, dBm
2255833231,Hz,-50.158, dBm
2256666564,Hz,-50.166, dBm
2257499897,Hz,-50.1, dBm
2258333230,Hz,-50.082, dBm
2259166563,Hz,-50.104, dBm
2259999896,Hz,-50.054, dBm
2260833229,Hz,-50.024, dBm
2261666562,Hz,-50.048, dBm
2262499895,Hz,-50.006, dBm
2263333228,Hz,-50.004, dBm
2264166561,Hz,-50.004, dBm
2264999894,Hz,-49.984, dBm
2265833227,Hz,-49.976, dBm
2266666560,Hz,-49.974, dBm
2267499893,Hz,-49.952, dBm
2268333226,Hz,-49.962, dBm
2269166559,Hz,-49.938, dBm
2269999892,Hz,-49.954, dBm
2270833225,Hz,-49.97, dBm
2271666558,Hz,-49.94, dBm
2272499891,Hz,-49.972, dBm
2273333224,Hz,-49.968, dBm
2274166557,Hz,-49.99, dBm
2274999890,Hz,-49.986, dBm
2275833223,Hz,-49.984, dBm
2276666556,Hz,-50.024, dBm
2277499889,Hz,-50.014, dBm
2278333222,Hz,-50.028, dBm
2279166555,Hz,-50.05, dBm
2279999888,Hz,-50.064, dBm
2280833221,Hz,-50.102, dBm
2281666554,Hz,-50.118, dBm
2282499887,Hz,-50.106, dBm
2283333220,Hz,-50.154, dBm
2284166553,Hz,-50.172, dBm
2284999886,Hz,-50.204, dBm
2285833219,Hz,-50.214, dBm
2286666552,Hz,-50.212, dBm
2287499885,Hz,-50.272, dBm
2288333218,Hz,-50.3, dBm
2289166551,Hz,-50.316, dBm
2289999884,Hz,-50.372, dBm
2290833217,Hz,-50.356, dBm
2291666550,Hz,-50.398, dBm
2292499883,Hz,-50.436, dBm
2293333216,Hz,-50.472, dBm
2294166549,Hz,-50.506, dBm
2294999882,Hz,-50.516, dBm
2295833215,Hz,-50.552, dBm
2296666548,Hz,-50.564, dBm
2297499881,Hz,-50.62, dBm
2298333214,Hz,-50.642, dBm
2299166547,Hz,-50.702, dBm
2299999880,Hz,-50.72, dBm
2300833213,Hz,-50.764, dBm
2301666546,Hz,-50.794, dBm
2302499879,Hz,-50.828, dBm
2303333212,Hz,-50.838, dBm
