Trace3,
Freq,,Amp,,
          2100000000,Hz,              -57.78, dBm,
          2100500000,Hz,              -57.79, dBm,
          2101000000,Hz,              -57.78, dBm,
          2101500000,Hz,              -57.79, dBm,
          2102000000,Hz,              -57.79, dBm,
          2102500000,Hz,              -57.79, dBm,
          2103000000,Hz,              -57.80, dBm,
          2103500000,Hz,              -57.80, dBm,
          2104000000,Hz,              -57.80, dBm,
          2104500000,Hz,              -57.81, dBm,
          2105000000,Hz,              -57.81, dBm,
          2105500000,Hz,              -57.81, dBm,
          2106000000,Hz,              -57.81, dBm,
          2106500000,Hz,              -57.81, dBm,
          2107000000,Hz,              -57.81, dBm,
          2107500000,Hz,              -57.82, dBm,
          2108000000,Hz,              -57.81, dBm,
          2108500000,Hz,              -57.81, dBm,
          2109000000,Hz,              -57.80, dBm,
          2109500000,Hz,              -57.81, dBm,
          2110000000,Hz,              -57.80, dBm,
          2110500000,Hz,              -57.80, dBm,
          2111000000,Hz,              -57.80, dBm,
          2111500000,Hz,              -57.80, dBm,
          2112000000,Hz,              -57.80, dBm,
          2112500000,Hz,              -57.80, dBm,
          2113000000,Hz,              -57.79, dBm,
          2113500000,Hz,              -57.79, dBm,
          2114000000,Hz,              -57.79, dBm,
          2114500000,Hz,              -57.78, dBm,
          2115000000,Hz,              -57.78, dBm,
          2115500000,Hz,              -57.78, dBm,
          2116000000,Hz,              -57.77, dBm,
          2116500000,Hz,              -57.76, dBm,
          2117000000,Hz,              -57.76, dBm,
          2117500000,Hz,              -57.76, dBm,
          2118000000,Hz,              -57.75, dBm,
          2118500000,Hz,              -57.75, dBm,
          2119000000,Hz,              -57.74, dBm,
          2119500000,Hz,              -57.73, dBm,
          2120000000,Hz,              -57.73, dBm,
          2120500000,Hz,              -57.72, dBm,
          2121000000,Hz,              -57.71, dBm,
          2121500000,Hz,              -57.70, dBm,
          2122000000,Hz,              -57.70, dBm,
          2122500000,Hz,              -57.69, dBm,
          2123000000,Hz,              -57.68, dBm,
          2123500000,Hz,              -57.66, dBm,
          2124000000,Hz,              -57.66, dBm,
          2124500000,Hz,              -57.64, dBm,
          2125000000,Hz,              -57.63, dBm,
          2125500000,Hz,              -57.61, dBm,
          2126000000,Hz,              -57.61, dBm,
          2126500000,Hz,              -57.61, dBm,
          2127000000,Hz,              -57.59, dBm,
          2127500000,Hz,              -57.58, dBm,
          2128000000,Hz,              -57.57, dBm,
          2128500000,Hz,              -57.56, dBm,
          2129000000,Hz,              -57.55, dBm,
          2129500000,Hz,              -57.53, dBm,
          2130000000,Hz,              -57.52, dBm,
          2130500000,Hz,              -57.52, dBm,
          2131000000,Hz,              -57.50, dBm,
          2131500000,Hz,              -57.49, dBm,
          2132000000,Hz,              -57.48, dBm,
          2132500000,Hz,              -57.46, dBm,
          2133000000,Hz,              -57.44, dBm,
          2133500000,Hz,              -57.43, dBm,
          2134000000,Hz,              -57.42, dBm,
          2134500000,Hz,              -57.40, dBm,
          2135000000,Hz,              -57.39, dBm,
          2135500000,Hz,              -57.37, dBm,
          2136000000,Hz,              -57.36, dBm,
          2136500000,Hz,              -57.35, dBm,
          2137000000,Hz,              -57.34, dBm,
          2137500000,Hz,              -57.31, dBm,
          2138000000,Hz,              -57.30, dBm,
          2138500000,Hz,              -57.29, dBm,
          2139000000,Hz,              -57.27, dBm,
          2139500000,Hz,              -57.26, dBm,
          2140000000,Hz,              -57.23, dBm,
          2140500000,Hz,              -57.22, dBm,
          2141000000,Hz,              -57.20, dBm,
          2141500000,Hz,              -57.19, dBm,
          2142000000,Hz,              -57.18, dBm,
          2142500000,Hz,              -57.16, dBm,
          2143000000,Hz,              -57.13, dBm,
          2143500000,Hz,              -57.12, dBm,
          2144000000,Hz,              -57.10, dBm,
          2144500000,Hz,              -57.09, dBm,
          2145000000,Hz,              -57.07, dBm,
          2145500000,Hz,              -57.06, dBm,
          2146000000,Hz,              -57.03, dBm,
          2146500000,Hz,              -57.02, dBm,
          2147000000,Hz,              -57.01, dBm,
          2147500000,Hz,              -56.98, dBm,
          2148000000,Hz,              -56.97, dBm,
          2148500000,Hz,              -56.95, dBm,
          2149000000,Hz,              -56.94, dBm,
          2149500000,Hz,              -56.92, dBm,
          2150000000,Hz,              -56.90, dBm,
          2150500000,Hz,              -56.88, dBm,
          2151000000,Hz,              -56.87, dBm,
          2151500000,Hz,              -56.85, dBm,
          2152000000,Hz,              -56.84, dBm,
          2152500000,Hz,              -56.82, dBm,
          2153000000,Hz,              -56.80, dBm,
          2153500000,Hz,              -56.79, dBm,
          2154000000,Hz,              -56.76, dBm,
          2154500000,Hz,              -56.75, dBm,
          2155000000,Hz,              -56.73, dBm,
          2155500000,Hz,              -56.71, dBm,
          2156000000,Hz,              -56.70, dBm,
          2156500000,Hz,              -56.68, dBm,
          2157000000,Hz,              -56.66, dBm,
          2157500000,Hz,              -56.65, dBm,
          2158000000,Hz,              -56.63, dBm,
          2158500000,Hz,              -56.62, dBm,
          2159000000,Hz,              -56.60, dBm,
          2159500000,Hz,              -56.56, dBm,
          2160000000,Hz,              -56.54, dBm,
          2160500000,Hz,              -56.54, dBm,
          2161000000,Hz,              -56.53, dBm,
          2161500000,Hz,              -56.51, dBm,
          2162000000,Hz,              -56.50, dBm,
          2162500000,Hz,              -56.49, dBm,
          2163000000,Hz,              -56.47, dBm,
          2163500000,Hz,              -56.46, dBm,
          2164000000,Hz,              -56.44, dBm,
          2164500000,Hz,              -56.42, dBm,
          2165000000,Hz,              -56.41, dBm,
          2165500000,Hz,              -56.40, dBm,
          2166000000,Hz,              -56.38, dBm,
          2166500000,Hz,              -56.36, dBm,
          2167000000,Hz,              -56.35, dBm,
          2167500000,Hz,              -56.34, dBm,
          2168000000,Hz,              -56.33, dBm,
          2168500000,Hz,              -56.31, dBm,
          2169000000,Hz,              -56.30, dBm,
          2169500000,Hz,              -56.28, dBm,
          2170000000,Hz,              -56.27, dBm,
          2170500000,Hz,              -56.26, dBm,
          2171000000,Hz,              -56.25, dBm,
          2171500000,Hz,              -56.24, dBm,
          2172000000,Hz,              -56.23, dBm,
          2172500000,Hz,              -56.20, dBm,
          2173000000,Hz,              -56.21, dBm,
          2173500000,Hz,              -56.19, dBm,
          2174000000,Hz,              -56.18, dBm,
          2174500000,Hz,              -56.17, dBm,
          2175000000,Hz,              -56.17, dBm,
          2175500000,Hz,              -56.15, dBm,
          2176000000,Hz,              -56.14, dBm,
          2176500000,Hz,              -56.13, dBm,
          2177000000,Hz,              -56.12, dBm,
          2177500000,Hz,              -56.11, dBm,
          2178000000,Hz,              -56.11, dBm,
          2178500000,Hz,              -56.09, dBm,
          2179000000,Hz,              -56.09, dBm,
          2179500000,Hz,              -56.08, dBm,
          2180000000,Hz,              -56.08, dBm,
          2180500000,Hz,              -56.06, dBm,
          2181000000,Hz,              -56.06, dBm,
          2181500000,Hz,              -56.04, dBm,
          2182000000,Hz,              -56.05, dBm,
          2182500000,Hz,              -56.05, dBm,
          2183000000,Hz,              -56.03, dBm,
          2183500000,Hz,              -56.03, dBm,
          2184000000,Hz,              -56.03, dBm,
          2184500000,Hz,              -56.02, dBm,
          2185000000,Hz,              -56.02, dBm,
          2185500000,Hz,              -56.01, dBm,
          2186000000,Hz,              -56.00, dBm,
          2186500000,Hz,              -56.00, dBm,
          2187000000,Hz,              -56.00, dBm,
          2187500000,Hz,              -56.00, dBm,
          2188000000,Hz,              -56.00, dBm,
          2188500000,Hz,              -56.00, dBm,
          2189000000,Hz,              -55.99, dBm,
          2189500000,Hz,              -55.99, dBm,
          2190000000,Hz,              -55.99, dBm,
          2190500000,Hz,              -56.00, dBm,
          2191000000,Hz,              -55.99, dBm,
          2191500000,Hz,              -55.98, dBm,
          2192000000,Hz,              -56.00, dBm,
          2192500000,Hz,              -55.99, dBm,
          2193000000,Hz,              -56.00, dBm,
          2193500000,Hz,              -55.99, dBm,
          2194000000,Hz,              -56.00, dBm,
          2194500000,Hz,              -55.99, dBm,
          2195000000,Hz,              -56.00, dBm,
