Date,Name,probe@sample mW,Filepath,Notes
21-9-16,0mW ps,20,Data/0/ps.csv,10kHz RBW - 25 avg - 20s sweep - dither - reverse order from pump high to low
,0mW pas,0,Data/0/pas.csv,
,0mW pras,20,Data/0/pras.csv, (56.20mW@probeVOA)
,0mW prs,20,Data/0/prs.csv,
,80mW ps,20,Data/80/ps.csv,
,80mW pas,0,Data/80/pas.csv,
,80mW pras,20,Data/80/pras.csv,
,80mW prs,20,Data/80/prs.csv,
,170mW prs,20,Data/170/prs.csv,
,170mW pras,20,Data/170/pras.csv,
,170mW pas,0,Data/170/pas.csv,
,170mW ps,0,Data/170/ps.csv,
