Freq,,Amp,,
"          2000000000",Hz,"              -53.18"," dBm",
"          2000833333",Hz,-53.194," dBm",
"          2001666666",Hz,-53.19," dBm",
"          2002499999",Hz,-53.212," dBm",
"          2003333332",Hz,-53.20399999999999," dBm",
"          2004166665",Hz,-53.19199999999999," dBm",
"          2004999998",Hz,-53.20399999999999," dBm",
"          2005833331",Hz,-53.188," dBm",
"          2006666664",Hz,-53.217999999999996," dBm",
"          2007499997",Hz,-53.20399999999999," dBm",
"          2008333330",Hz,-53.208000000000006," dBm",
"          2009166663",Hz,-53.196000000000005," dBm",
"          2009999996",Hz,-53.20399999999999," dBm",
"          2010833329",Hz,-53.215999999999994," dBm",
"          2011666662",Hz,-53.196000000000005," dBm",
"          2012499995",Hz,-53.21199999999999," dBm",
"          2013333328",Hz,-53.198," dBm",
"          2014166661",Hz,-53.174," dBm",
"          2014999994",Hz,-53.198," dBm",
"          2015833327",Hz,-53.19200000000001," dBm",
"          2016666660",Hz,-53.188," dBm",
"          2017499993",Hz,-53.186," dBm",
"          2018333326",Hz,-53.198," dBm",
"          2019166659",Hz,-53.18399999999999," dBm",
"          2019999992",Hz,-53.202," dBm",
"          2020833325",Hz,-53.17999999999999," dBm",
"          2021666658",Hz,-53.18800000000001," dBm",
"          2022499991",Hz,-53.18000000000001," dBm",
"          2023333324",Hz,-53.19," dBm",
"          2024166657",Hz,-53.19," dBm",
"          2024999990",Hz,-53.153999999999996," dBm",
"          2025833323",Hz,-53.18399999999999," dBm",
"          2026666656",Hz,-53.153999999999996," dBm",
"          2027499989",Hz,-53.162," dBm",
"          2028333322",Hz,-53.156000000000006," dBm",
"          2029166655",Hz,-53.166," dBm",
"          2029999988",Hz,-53.146," dBm",
"          2030833321",Hz,-53.15599999999999," dBm",
"          2031666654",Hz,-53.14," dBm",
"          2032499987",Hz,-53.15," dBm",
"          2033333320",Hz,-53.138," dBm",
"          2034166653",Hz,-53.124," dBm",
"          2034999986",Hz,-53.132000000000005," dBm",
"          2035833319",Hz,-53.114," dBm",
"          2036666652",Hz,-53.11," dBm",
"          2037499985",Hz,-53.112," dBm",
"          2038333318",Hz,-53.108000000000004," dBm",
"          2039166651",Hz,-53.09400000000001," dBm",
"          2039999984",Hz,-53.086," dBm",
"          2040833317",Hz,-53.07800000000001," dBm",
"          2041666650",Hz,-53.065999999999995," dBm",
"          2042499983",Hz,-53.04," dBm",
"          2043333316",Hz,-53.036000000000016," dBm",
"          2044166649",Hz,-53.029999999999994," dBm",
"          2044999982",Hz,-52.99400000000001," dBm",
"          2045833315",Hz,-52.998000000000005," dBm",
"          2046666648",Hz,-52.989999999999995," dBm",
"          2047499981",Hz,-52.974000000000004," dBm",
"          2048333314",Hz,-52.96600000000001," dBm",
"          2049166647",Hz,-52.94200000000001," dBm",
"          2049999980",Hz,-52.926," dBm",
"          2050833313",Hz,-52.926," dBm",
"          2051666646",Hz,-52.891999999999996," dBm",
"          2052499979",Hz,-52.886," dBm",
"          2053333312",Hz,-52.886," dBm",
"          2054166645",Hz,-52.854," dBm",
"          2054999978",Hz,-52.827999999999996," dBm",
"          2055833311",Hz,-52.827999999999996," dBm",
"          2056666644",Hz,-52.812," dBm",
"          2057499977",Hz,-52.8," dBm",
"          2058333310",Hz,-52.778," dBm",
"          2059166643",Hz,-52.762," dBm",
"          2059999976",Hz,-52.738," dBm",
"          2060833309",Hz,-52.702," dBm",
"          2061666642",Hz,-52.698," dBm",
"          2062499975",Hz,-52.688," dBm",
"          2063333308",Hz,-52.657999999999994," dBm",
"          2064166641",Hz,-52.65999999999999," dBm",
"          2064999974",Hz,-52.61600000000001," dBm",
"          2065833307",Hz,-52.6," dBm",
"          2066666640",Hz,-52.588," dBm",
"          2067499973",Hz,-52.572," dBm",
"          2068333306",Hz,-52.548," dBm",
"          2069166639",Hz,-52.522000000000006," dBm",
"          2069999972",Hz,-52.5," dBm",
"          2070833305",Hz,-52.459999999999994," dBm",
"          2071666638",Hz,-52.462," dBm",
"          2072499971",Hz,-52.45," dBm",
"          2073333304",Hz,-52.408," dBm",
"          2074166637",Hz,-52.398," dBm",
"          2074999970",Hz,-52.386," dBm",
"          2075833303",Hz,-52.362," dBm",
"          2076666636",Hz,-52.327999999999996," dBm",
"          2077499969",Hz,-52.324," dBm",
"          2078333302",Hz,-52.29200000000001," dBm",
"          2079166635",Hz,-52.286," dBm",
"          2079999968",Hz,-52.266000000000005," dBm",
"          2080833301",Hz,-52.232000000000006," dBm",
"          2081666634",Hz,-52.20399999999999," dBm",
"          2082499967",Hz,-52.18399999999999," dBm",
"          2083333300",Hz,-52.181999999999995," dBm",
"          2084166633",Hz,-52.153999999999996," dBm",
"          2084999966",Hz,-52.120000000000005," dBm",
"          2085833299",Hz,-52.104000000000006," dBm",
"          2086666632",Hz,-52.077999999999996," dBm",
"          2087499965",Hz,-52.06600000000001," dBm",
"          2088333298",Hz,-52.036," dBm",
"          2089166631",Hz,-52.022000000000006," dBm",
"          2089999964",Hz,-51.974000000000004," dBm",
