Freq,,Amp,,
"          2000000000",Hz,"              -53.64"," dBm",
"          2000833333",Hz,-53.65400000000001," dBm",
"          2001666666",Hz,-53.67," dBm",
"          2002499999",Hz,-53.658," dBm",
"          2003333332",Hz,-53.65," dBm",
"          2004166665",Hz,-53.66799999999999," dBm",
"          2004999998",Hz,-53.658," dBm",
"          2005833331",Hz,-53.664," dBm",
"          2006666664",Hz,-53.676," dBm",
"          2007499997",Hz,-53.67999999999999," dBm",
"          2008333330",Hz,-53.688," dBm",
"          2009166663",Hz,-53.684000000000005," dBm",
"          2009999996",Hz,-53.69599999999999," dBm",
"          2010833329",Hz,-53.69199999999999," dBm",
"          2011666662",Hz,-53.69," dBm",
"          2012499995",Hz,-53.698," dBm",
"          2013333328",Hz,-53.688," dBm",
"          2014166661",Hz,-53.688," dBm",
"          2014999994",Hz,-53.69200000000001," dBm",
"          2015833327",Hz,-53.688," dBm",
"          2016666660",Hz,-53.712," dBm",
"          2017499993",Hz,-53.70399999999999," dBm",
"          2018333326",Hz,-53.696000000000005," dBm",
"          2019166659",Hz,-53.718," dBm",
"          2019999992",Hz,-53.70399999999999," dBm",
"          2020833325",Hz,-53.705999999999996," dBm",
"          2021666658",Hz,-53.696000000000005," dBm",
"          2022499991",Hz,-53.696000000000005," dBm",
"          2023333324",Hz,-53.693999999999996," dBm",
"          2024166657",Hz,-53.698," dBm",
"          2024999990",Hz,-53.698," dBm",
"          2025833323",Hz,-53.69," dBm",
"          2026666656",Hz,-53.720000000000006," dBm",
"          2027499989",Hz,-53.698," dBm",
"          2028333322",Hz,-53.715999999999994," dBm",
"          2029166655",Hz,-53.70399999999999," dBm",
"          2029999988",Hz,-53.69000000000001," dBm",
"          2030833321",Hz,-53.69," dBm",
"          2031666654",Hz,-53.7," dBm",
"          2032499987",Hz,-53.706," dBm",
"          2033333320",Hz,-53.688," dBm",
"          2034166653",Hz,-53.678," dBm",
"          2034999986",Hz,-53.682," dBm",
"          2035833319",Hz,-53.664," dBm",
"          2036666652",Hz,-53.672000000000004," dBm",
"          2037499985",Hz,-53.684000000000005," dBm",
"          2038333318",Hz,-53.678," dBm",
"          2039166651",Hz,-53.648," dBm",
"          2039999984",Hz,-53.652," dBm",
"          2040833317",Hz,-53.653999999999996," dBm",
"          2041666650",Hz,-53.65," dBm",
"          2042499983",Hz,-53.636," dBm",
"          2043333316",Hz,-53.65," dBm",
"          2044166649",Hz,-53.612," dBm",
"          2044999982",Hz,-53.617999999999995," dBm",
"          2045833315",Hz,-53.608000000000004," dBm",
"          2046666648",Hz,-53.60600000000001," dBm",
"          2047499981",Hz,-53.592," dBm",
"          2048333314",Hz,-53.564," dBm",
"          2049166647",Hz,-53.574," dBm",
"          2049999980",Hz,-53.552," dBm",
"          2050833313",Hz,-53.525999999999996," dBm",
"          2051666646",Hz,-53.53000000000001," dBm",
"          2052499979",Hz,-53.50600000000001," dBm",
"          2053333312",Hz,-53.5," dBm",
"          2054166645",Hz,-53.496," dBm",
"          2054999978",Hz,-53.47800000000001," dBm",
"          2055833311",Hz,-53.470000000000006," dBm",
"          2056666644",Hz,-53.448," dBm",
"          2057499977",Hz,-53.438," dBm",
"          2058333310",Hz,-53.416," dBm",
"          2059166643",Hz,-53.402," dBm",
"          2059999976",Hz,-53.39399999999999," dBm",
"          2060833309",Hz,-53.382000000000005," dBm",
"          2061666642",Hz,-53.36," dBm",
"          2062499975",Hz,-53.348," dBm",
"          2063333308",Hz,-53.33399999999999," dBm",
"          2064166641",Hz,-53.32000000000001," dBm",
"          2064999974",Hz,-53.286," dBm",
"          2065833307",Hz,-53.26800000000001," dBm",
"          2066666640",Hz,-53.286," dBm",
"          2067499973",Hz,-53.262," dBm",
"          2068333306",Hz,-53.24399999999999," dBm",
"          2069166639",Hz,-53.212," dBm",
"          2069999972",Hz,-53.196000000000005," dBm",
"          2070833305",Hz,-53.188," dBm",
"          2071666638",Hz,-53.194," dBm",
"          2072499971",Hz,-53.16799999999999," dBm",
"          2073333304",Hz,-53.14," dBm",
"          2074166637",Hz,-53.122," dBm",
"          2074999970",Hz,-53.116," dBm",
"          2075833303",Hz,-53.098," dBm",
"          2076666636",Hz,-53.072," dBm",
"          2077499969",Hz,-53.06," dBm",
"          2078333302",Hz,-53.04," dBm",
"          2079166635",Hz,-53.034000000000006," dBm",
"          2079999968",Hz,-53.01800000000001," dBm",
"          2080833301",Hz,-52.988," dBm",
"          2081666634",Hz,-52.974000000000004," dBm",
"          2082499967",Hz,-52.952," dBm",
"          2083333300",Hz,-52.94," dBm",
"          2084166633",Hz,-52.924," dBm",
"          2084999966",Hz,-52.888," dBm",
"          2085833299",Hz,-52.902," dBm",
"          2086666632",Hz,-52.86800000000001," dBm",
"          2087499965",Hz,-52.855999999999995," dBm",
"          2088333298",Hz,-52.842000000000006," dBm",
"          2089166631",Hz,-52.818," dBm",
"          2089999964",Hz,-52.79600000000001," dBm",
"          2090833297",Hz,-52.774," dBm",
"          2091666630",Hz,-52.751999999999995," dBm",
"          2092499963",Hz,-52.73," dBm",
"          2093333296",Hz,-52.715999999999994," dBm",
"          2094166629",Hz,-52.67800000000001," dBm",
"          2094999962",Hz,-52.678," dBm",
"          2095833295",Hz,-52.662," dBm",
"          2096666628",Hz,-52.657999999999994," dBm",
"          2097499961",Hz,-52.617999999999995," dBm",
"          2098333294",Hz,-52.602," dBm",
"          2099166627",Hz,-52.604," dBm",
"          2099999960",Hz,-52.562," dBm",
"          2100833293",Hz,-52.553999999999995," dBm",
"          2101666626",Hz,-52.538," dBm",
"          2102499959",Hz,-52.513999999999996," dBm",
"          2103333292",Hz,-52.510000000000005," dBm",
"          2104166625",Hz,-52.484," dBm",
"          2104999958",Hz,-52.464," dBm",
"          2105833291",Hz,-52.424," dBm",
"          2106666624",Hz,-52.434000000000005," dBm",
"          2107499957",Hz,-52.42," dBm",
"          2108333290",Hz,-52.391999999999996," dBm",
"          2109166623",Hz,-52.36," dBm",
"          2109999956",Hz,-52.352," dBm",
"          2110833289",Hz,-52.33200000000001," dBm",
"          2111666622",Hz,-52.312," dBm",
"          2112499955",Hz,-52.28399999999999," dBm",
"          2113333288",Hz,-52.27," dBm",
"          2114166621",Hz,-52.234," dBm",
"          2114999954",Hz,-52.238," dBm",
"          2115833287",Hz,-52.208000000000006," dBm",
"          2116666620",Hz,-52.19599999999999," dBm",
"          2117499953",Hz,-52.166," dBm",
"          2118333286",Hz,-52.17," dBm",
"          2119166619",Hz,-52.144000000000005," dBm",
"          2119999952",Hz,-52.134," dBm",
"          2120833285",Hz,-52.1," dBm",
"          2121666618",Hz,-52.065999999999995," dBm",
"          2122499951",Hz,-52.053999999999995," dBm",
