Freq,,Amp,,
"          2000000000",Hz,"              -54.33"," dBm",
"          2000833333",Hz,-54.336," dBm",
"          2001666666",Hz,-54.324," dBm",
"          2002499999",Hz,-54.33200000000001," dBm",
"          2003333332",Hz,-54.34000000000001," dBm",
"          2004166665",Hz,-54.34799999999999," dBm",
"          2004999998",Hz,-54.35," dBm",
"          2005833331",Hz,-54.354," dBm",
"          2006666664",Hz,-54.36999999999999," dBm",
"          2007499997",Hz,-54.374," dBm",
"          2008333330",Hz,-54.386," dBm",
"          2009166663",Hz,-54.382000000000005," dBm",
"          2009999996",Hz,-54.395999999999994," dBm",
"          2010833329",Hz,-54.39," dBm",
"          2011666662",Hz,-54.407999999999994," dBm",
"          2012499995",Hz,-54.416," dBm",
"          2013333328",Hz,-54.42," dBm",
"          2014166661",Hz,-54.426," dBm",
"          2014999994",Hz,-54.426," dBm",
"          2015833327",Hz,-54.43000000000001," dBm",
"          2016666660",Hz,-54.44000000000001," dBm",
"          2017499993",Hz,-54.448," dBm",
"          2018333326",Hz,-54.45," dBm",
"          2019166659",Hz,-54.446000000000005," dBm",
"          2019999992",Hz,-54.465999999999994," dBm",
"          2020833325",Hz,-54.459999999999994," dBm",
"          2021666658",Hz,-54.476," dBm",
"          2022499991",Hz,-54.484," dBm",
"          2023333324",Hz,-54.477999999999994," dBm",
"          2024166657",Hz,-54.46999999999999," dBm",
"          2024999990",Hz,-54.474000000000004," dBm",
"          2025833323",Hz,-54.48," dBm",
"          2026666656",Hz,-54.492000000000004," dBm",
"          2027499989",Hz,-54.492," dBm",
"          2028333322",Hz,-54.496," dBm",
"          2029166655",Hz,-54.498000000000005," dBm",
"          2029999988",Hz,-54.504," dBm",
"          2030833321",Hz,-54.516000000000005," dBm",
"          2031666654",Hz,-54.517999999999994," dBm",
"          2032499987",Hz,-54.516000000000005," dBm",
"          2033333320",Hz,-54.517999999999994," dBm",
"          2034166653",Hz,-54.517999999999994," dBm",
"          2034999986",Hz,-54.50999999999999," dBm",
"          2035833319",Hz,-54.54," dBm",
"          2036666652",Hz,-54.538," dBm",
"          2037499985",Hz,-54.541999999999994," dBm",
"          2038333318",Hz,-54.544," dBm",
"          2039166651",Hz,-54.54600000000001," dBm",
"          2039999984",Hz,-54.54," dBm",
"          2040833317",Hz,-54.54200000000001," dBm",
"          2041666650",Hz,-54.529999999999994," dBm",
"          2042499983",Hz,-54.524," dBm",
"          2043333316",Hz,-54.52," dBm",
"          2044166649",Hz,-54.517999999999994," dBm",
"          2044999982",Hz,-54.532000000000004," dBm",
"          2045833315",Hz,-54.513999999999996," dBm",
"          2046666648",Hz,-54.516," dBm",
"          2047499981",Hz,-54.510000000000005," dBm",
"          2048333314",Hz,-54.489999999999995," dBm",
"          2049166647",Hz,-54.49400000000001," dBm",
"          2049999980",Hz,-54.482000000000006," dBm",
