Freq,,Amp,,
"          2000000000",Hz,"              -53.91"," dBm",
"          2000833333",Hz,-53.922000000000004," dBm",
"          2001666666",Hz,-53.908," dBm",
"          2002499999",Hz,-53.926," dBm",
"          2003333332",Hz,-53.922000000000004," dBm",
"          2004166665",Hz,-53.938," dBm",
"          2004999998",Hz,-53.92999999999999," dBm",
"          2005833331",Hz,-53.94," dBm",
"          2006666664",Hz,-53.924," dBm",
"          2007499997",Hz,-53.958000000000006," dBm",
"          2008333330",Hz,-53.944," dBm",
"          2009166663",Hz,-53.952," dBm",
"          2009999996",Hz,-53.94200000000001," dBm",
"          2010833329",Hz,-53.970000000000006," dBm",
"          2011666662",Hz,-53.96," dBm",
"          2012499995",Hz,-53.958000000000006," dBm",
"          2013333328",Hz,-53.982000000000006," dBm",
"          2014166661",Hz,-53.965999999999994," dBm",
"          2014999994",Hz,-53.98199999999999," dBm",
"          2015833327",Hz,-53.968," dBm",
"          2016666660",Hz,-53.989999999999995," dBm",
"          2017499993",Hz,-53.984," dBm",
"          2018333326",Hz,-53.996," dBm",
"          2019166659",Hz,-54.001999999999995," dBm",
"          2019999992",Hz,-53.983999999999995," dBm",
"          2020833325",Hz,-53.998000000000005," dBm",
"          2021666658",Hz,-54.00599999999999," dBm",
"          2022499991",Hz,-54.013999999999996," dBm",
"          2023333324",Hz,-54.008," dBm",
"          2024166657",Hz,-54.010000000000005," dBm",
"          2024999990",Hz,-54.016," dBm",
"          2025833323",Hz,-54.004," dBm",
"          2026666656",Hz,-54.01800000000001," dBm",
"          2027499989",Hz,-54.013999999999996," dBm",
"          2028333322",Hz,-54.02," dBm",
"          2029166655",Hz,-54.028," dBm",
"          2029999988",Hz,-54.02," dBm",
"          2030833321",Hz,-54.024," dBm",
"          2031666654",Hz,-54.029999999999994," dBm",
"          2032499987",Hz,-54.001999999999995," dBm",
"          2033333320",Hz,-54.022000000000006," dBm",
"          2034166653",Hz,-54.016," dBm",
"          2034999986",Hz,-54.024," dBm",
"          2035833319",Hz,-54.013999999999996," dBm",
"          2036666652",Hz,-54.008," dBm",
"          2037499985",Hz,-54.024," dBm",
"          2038333318",Hz,-54.024," dBm",
"          2039166651",Hz,-53.998000000000005," dBm",
"          2039999984",Hz,-54.011999999999986," dBm",
"          2040833317",Hz,-53.99400000000001," dBm",
"          2041666650",Hz,-53.992000000000004," dBm",
"          2042499983",Hz,-54.00599999999999," dBm",
"          2043333316",Hz,-53.986000000000004," dBm",
"          2044166649",Hz,-53.992," dBm",
"          2044999982",Hz,-53.982000000000006," dBm",
"          2045833315",Hz,-53.96600000000001," dBm",
"          2046666648",Hz,-53.956," dBm",
"          2047499981",Hz,-53.96," dBm",
"          2048333314",Hz,-53.944," dBm",
"          2049166647",Hz,-53.907999999999994," dBm",
"          2049999980",Hz,-53.926," dBm",
"          2050833313",Hz,-53.92," dBm",
"          2051666646",Hz,-53.924," dBm",
"          2052499979",Hz,-53.89," dBm",
"          2053333312",Hz,-53.879999999999995," dBm",
"          2054166645",Hz,-53.87399999999999," dBm",
"          2054999978",Hz,-53.852," dBm",
"          2055833311",Hz,-53.85600000000001," dBm",
"          2056666644",Hz,-53.836," dBm",
"          2057499977",Hz,-53.836," dBm",
"          2058333310",Hz,-53.806," dBm",
"          2059166643",Hz,-53.80799999999999," dBm",
"          2059999976",Hz,-53.802," dBm",
"          2060833309",Hz,-53.78000000000001," dBm",
"          2061666642",Hz,-53.772000000000006," dBm",
"          2062499975",Hz,-53.751999999999995," dBm",
"          2063333308",Hz,-53.739999999999995," dBm",
"          2064166641",Hz,-53.732000000000006," dBm",
"          2064999974",Hz,-53.72600000000001," dBm",
"          2065833307",Hz,-53.71," dBm",
"          2066666640",Hz,-53.7," dBm",
"          2067499973",Hz,-53.660000000000004," dBm",
"          2068333306",Hz,-53.67," dBm",
"          2069166639",Hz,-53.648," dBm",
"          2069999972",Hz,-53.64," dBm",
"          2070833305",Hz,-53.628," dBm",
"          2071666638",Hz,-53.61999999999999," dBm",
"          2072499971",Hz,-53.6," dBm",
"          2073333304",Hz,-53.586," dBm",
"          2074166637",Hz,-53.57199999999999," dBm",
"          2074999970",Hz,-53.532," dBm",
"          2075833303",Hz,-53.564," dBm",
"          2076666636",Hz,-53.54," dBm",
"          2077499969",Hz,-53.508," dBm",
"          2078333302",Hz,-53.52," dBm",
"          2079166635",Hz,-53.49399999999999," dBm",
"          2079999968",Hz,-53.477999999999994," dBm",
"          2080833301",Hz,-53.452," dBm",
"          2081666634",Hz,-53.452," dBm",
"          2082499967",Hz,-53.452," dBm",
"          2083333300",Hz,-53.40999999999999," dBm",
"          2084166633",Hz,-53.408," dBm",
"          2084999966",Hz,-53.391999999999996," dBm",
"          2085833299",Hz,-53.378," dBm",
"          2086666632",Hz,-53.370000000000005," dBm",
"          2087499965",Hz,-53.346000000000004," dBm",
"          2088333298",Hz,-53.322," dBm",
"          2089166631",Hz,-53.31999999999999," dBm",
"          2089999964",Hz,-53.29600000000001," dBm",
"          2090833297",Hz,-53.288," dBm",
"          2091666630",Hz,-53.263999999999996," dBm",
"          2092499963",Hz,-53.25599999999999," dBm",
"          2093333296",Hz,-53.25600000000001," dBm",
"          2094166629",Hz,-53.227999999999994," dBm",
"          2094999962",Hz,-53.206," dBm",
"          2095833295",Hz,-53.20399999999999," dBm",
"          2096666628",Hz,-53.17999999999999," dBm",
"          2097499961",Hz,-53.16799999999999," dBm",
"          2098333294",Hz,-53.162," dBm",
"          2099166627",Hz,-53.152," dBm",
"          2099999960",Hz,-53.136," dBm",
"          2100833293",Hz,-53.104," dBm",
"          2101666626",Hz,-53.11," dBm",
"          2102499959",Hz,-53.077999999999996," dBm",
"          2103333292",Hz,-53.074," dBm",
"          2104166625",Hz,-53.038," dBm",
"          2104999958",Hz,-53.05," dBm",
"          2105833291",Hz,-53.016000000000005," dBm",
"          2106666624",Hz,-53.016," dBm",
"          2107499957",Hz,-53.00599999999999," dBm",
"          2108333290",Hz,-52.977999999999994," dBm",
"          2109166623",Hz,-52.96999999999999," dBm",
"          2109999956",Hz,-52.948," dBm",
"          2110833289",Hz,-52.936," dBm",
"          2111666622",Hz,-52.916," dBm",
"          2112499955",Hz,-52.903999999999996," dBm",
"          2113333288",Hz,-52.898," dBm",
"          2114166621",Hz,-52.864," dBm",
"          2114999954",Hz,-52.862," dBm",
"          2115833287",Hz,-52.87199999999999," dBm",
"          2116666620",Hz,-52.827999999999996," dBm",
"          2117499953",Hz,-52.814," dBm",
"          2118333286",Hz,-52.815999999999995," dBm",
"          2119166619",Hz,-52.794000000000004," dBm",
"          2119999952",Hz,-52.769999999999996," dBm",
"          2120833285",Hz,-52.762," dBm",
"          2121666618",Hz,-52.748000000000005," dBm",
"          2122499951",Hz,-52.712," dBm",
"          2123333284",Hz,-52.705999999999996," dBm",
"          2124166617",Hz,-52.726," dBm",
"          2124999950",Hz,-52.68399999999999," dBm",
"          2125833283",Hz,-52.666," dBm",
"          2126666616",Hz,-52.676," dBm",
"          2127499949",Hz,-52.638," dBm",
"          2128333282",Hz,-52.620000000000005," dBm",
"          2129166615",Hz,-52.604," dBm",
"          2129999948",Hz,-52.596000000000004," dBm",
"          2130833281",Hz,-52.589999999999996," dBm",
"          2131666614",Hz,-52.564," dBm",
"          2132499947",Hz,-52.564," dBm",
"          2133333280",Hz,-52.532000000000004," dBm",
"          2134166613",Hz,-52.536," dBm",
"          2134999946",Hz,-52.52," dBm",
"          2135833279",Hz,-52.498000000000005," dBm",
"          2136666612",Hz,-52.476," dBm",
"          2137499945",Hz,-52.45799999999999," dBm",
"          2138333278",Hz,-52.452," dBm",
"          2139166611",Hz,-52.424," dBm",
"          2139999944",Hz,-52.431999999999995," dBm",
"          2140833277",Hz,-52.408," dBm",
