Date,Label,Probe,Filepath,Notes
22-10-13,0 mW bs,0,0/bs.csv,New RF Amp - Probe powers are from 1% @sample - s: 1549.032 as:1548.968 - Dither mode - 250 ms sweep - 1 MHz RBW
,0 mW bas,0,0/bas.csv,
,0 mW ras,10,0/ras.csv,
,0 mW rs,10,0/rs.csv,
,40 mW rs,10,40/rs.csv,
,40 mW ras,10,40/ras.csv,
,40 mW bas,0,40/bas.csv,
,40 mW bs,0,40/bs.csv,
,80 mW rs,10,80/rs.csv,
,80 mW ras,10,80/ras.csv,
,80 mW bas,0,80/bas.csv,
,80 mW bs,0,80/bs.csv,
,120 mW rs,10,120/rs.csv,
,120 mW ras,10,120/ras.csv,
,120 mW bas,0,120/bas.csv,
,120 mW bs,0,120/bs.csv,
,158 mW rs,10,158/rs.csv,
,158 mW ras,10,158/ras.csv,
,158 mW bas,0,158/bas.csv,
,158 mW bs,0,158/bs.csv,
