pu+pr-b,pu pr,,Should be 0,,,,,anti-Stokes
Amp,Amp,,,,,,,
-55.38,-55.5,,0.12,,,,,
-55.41,-55.49,,0.08,,,,,
-55.32,-55.5,,0.18,,,,,
-55.26,-55.45,,0.19,,,,,
-55.42,-55.47,,0.05,,,pu+pr-b is made of separately taken spectra,,
-55.3,-55.46,,0.16,,,pu pr is a single spectra with both pump and probe on,,
-55.3,-55.42,,0.12,,,,,
-55.25,-55.39,,0.14,,,This is consistent with our hypothesis: when both pump&probe are on there is some net loss,,
-55.24,-55.35,,0.11,,,,,
-55.2,-55.41,,0.21,,,,,
-55.24,-55.35,,0.11,,,,,
-55.17,-55.28,,0.11,,,,,
-55.16,-55.33,,0.17,,,,,
-55.08,-55.27,,0.19,,,,,
-55.17,-55.28,,0.11,,,,,
-55.09,-55.27,,0.18,,,,,
-55.06,-55.1,,0.04,,,,,
-55.03,-55.16,,0.13,,,,,
-54.95,-55.15,,0.2,,,,,
-55,-55.11,,0.11,,,,,
-55.03,-55.08,,0.05,,,,,
-54.98,-55.01,,0.03,,,,,
-54.93,-55.02,,0.09,,,,,
-54.88,-54.96,,0.08,,,,,
-54.78,-54.91,,0.13,,,,,
-54.75,-54.93,,0.18,,,,,
-54.8,-54.88,,0.08,,,,,
-54.72,-54.82,,0.1,,,,,
-54.63,-54.77,,0.14,,,,,
-54.65,-54.74,,0.09,,,,,
-54.62,-54.75,,0.13,,,,,
-54.53,-54.77,,0.24,,,,,
-54.47,-54.66,,0.19,,,,,
-54.47,-54.68,,0.21,,,,,
-54.48,-54.6,,0.12,,,,,
-54.46,-54.59,,0.13,,,,,
-54.32,-54.55,,0.23,,,,,
-54.44,-54.48,,0.04,,,,,
-54.35,-54.49,,0.14,,,,,
-54.32,-54.43,,0.11,,,,,
-54.28,-54.37,,0.09,,,,,
-54.14,-54.33,,0.19,,,,,
-54.22,-54.29,,0.07,,,,,
-54.16,-54.29,,0.13,,,,,
-54.15,-54.28,,0.13,,,,,
-54.14,-54.27,,0.13,,,,,
-54.05,-54.18,,0.13,,,,,
-53.99,-54.29,,0.3,,,,,
-54.05,-54.19,,0.14,,,,,
-54,-54.16,,0.16,,,,,
-53.99,-54.12,,0.13,,,,,
-54.02,-54.15,,0.13,,,,,
-54.04,-54.1,,0.06,,,,,
-53.88,-54.08,,0.2,,,,,
-53.94,-54.07,,0.13,,,,,
-53.82,-54.02,,0.2,,,,,
-53.84,-54,,0.16,,,,,
-53.83,-54.09,,0.26,,,,,
-53.84,-54.02,,0.18,,,,,
-53.91,-53.99,,0.08,,,,,
-53.84,-54,,0.16,,,,,
-53.85,-54.02,,0.17,,,,,
-53.88,-54,,0.12,,,,,
-53.88,-54,,0.12,,,,,
-53.77,-53.97,,0.2,,,,,
-53.87,-54.05,,0.18,,,,,
-53.84,-54,,0.16,,,,,
-53.86,-53.98,,0.12,,,,,
-53.86,-54.05,,0.19,,,,,
-53.89,-54.06,,0.17,,,,,
-53.89,-54.05,,0.16,,,,,
-53.94,-54.06,,0.12,,,,,
-53.88,-54.07,,0.19,,,,,
-53.94,-54.14,,0.2,,,,,
-53.96,-54.13,,0.17,,,,,
-53.96,-54.16,,0.2,,,,,
-53.98,-54.15,,0.17,,,,,
-54,-54.15,,0.15,,,,,
-54.05,-54.24,,0.19,,,,,
-54.06,-54.22,,0.16,,,,,
-54.03,-54.24,,0.21,,,,,
-54.04,-54.27,,0.23,,,,,
-54.13,-54.32,,0.19,,,,,
-54.18,-54.34,,0.16,,,,,
-54.18,-54.32,,0.14,,,,,
-54.17,-54.39,,0.22,,,,,
-54.21,-54.36,,0.15,,,,,
-54.22,-54.38,,0.16,,,,,
-54.29,-54.46,,0.17,,,,,
-54.32,-54.53,,0.21,,,,,
-54.23,-54.41,,0.18,,,,,
-54.38,-54.56,,0.18,,,,,
-54.35,-54.58,,0.23,,,,,
-54.38,-54.53,,0.15,,,,,
-54.41,-54.63,,0.22,,,,,
-54.44,-54.55,,0.11,,,,,
-54.5,-54.67,,0.17,,,,,
-54.47,-54.69,,0.22,,,,,
-54.5,-54.62,,0.12,,,,,
-54.48,-54.72,,0.24,,,,,
-54.58,-54.7,,0.12,,,,,
