Sig,Std Dev
3.815175968761487e-06,2.3609653852441403e-09
3.76708882341815e-06,2.311267576120095e-09
3.7535000519637897e-06,2.2657006008020558e-09
3.9270987879287225e-06,2.3380929170354615e-09
3.826041305361957e-06,2.2897919971256636e-09
3.742045408425901e-06,2.3121864215543996e-09
3.722779152286741e-06,2.36481741617667e-09
3.951760227311373e-06,2.3654876558851613e-09
3.8664320258019085e-06,2.327256463547447e-09
3.8415314025879075e-06,2.41790008604632e-09
3.831450511149438e-06,2.391979456434126e-09
3.698668170463958e-06,2.27495181599775e-09
4.007362685868389e-06,2.3710888007237354e-09
3.9150493081380955e-06,2.3572364244314363e-09
3.977131766266958e-06,2.4385351180836404e-09
3.905609428933604e-06,2.4179386652689112e-09
3.946027203606757e-06,2.563211857282126e-09
3.962477730146856e-06,2.5197686736273135e-09
4.048804923053408e-06,2.5157531153219677e-09
4.0173710812591085e-06,2.338058663144628e-09
3.79821618357561e-06,2.3388573470883374e-09
3.9674911525021734e-06,2.4639547176404693e-09
4.128707937835558e-06,2.54185809640554e-09
4.111011503800537e-06,2.5438753047712632e-09
4.021417935269925e-06,2.4286098381939604e-09
4.0562466445653145e-06,2.561531176890066e-09
4.2975351413992585e-06,2.5548499848195426e-09
4.0218425966077895e-06,2.5492123026560422e-09
3.990027764608452e-06,2.446220730592063e-09
4.090433590710235e-06,2.4461152650446352e-09
4.091504218292723e-06,2.5002681469602526e-09
4.019481087065227e-06,2.540454033455555e-09
4.094997663022826e-06,2.4813000144501216e-09
3.996621341446997e-06,2.3811818142340694e-09
4.032268318688006e-06,2.5413305142515362e-09
4.110013340772089e-06,2.4374334174443406e-09
4.207261058473707e-06,2.6288514233325e-09
3.932400232902458e-06,2.567559491894979e-09
3.89147116577108e-06,2.396689595031904e-09
3.875467815626846e-06,2.3879548088592153e-09
3.8106267477130215e-06,2.3917809528167846e-09
3.731676812685755e-06,2.3208372477531934e-09
3.613112429450213e-06,2.2193236138619196e-09
3.644636305720135e-06,2.246059591882124e-09
3.5262502015544484e-06,2.1186158791658836e-09
3.5710383711008703e-06,2.1585280087555775e-09
3.5749726278489117e-06,2.1671397136724716e-09
3.6637275748843605e-06,2.1909525490946146e-09
3.4874779203478735e-06,2.181024161854713e-09
3.497707610871383e-06,2.16855423858615e-09
3.4637010466845633e-06,2.1908745189184433e-09
3.5393457962219402e-06,2.1315492970391934e-09
3.40207164833698e-06,2.1482880212067247e-09
3.53813149393166e-06,2.1847698267325125e-09
3.527697806805743e-06,2.162652480460992e-09
3.596031092979751e-06,2.2089931555553587e-09
3.6771897769529196e-06,2.2863486400707287e-09
3.635214542513265e-06,2.16596179750957e-09
3.6721090121384124e-06,2.1621021587119296e-09
3.565780024009449e-06,2.2348145463575683e-09
3.583717230673337e-06,2.2724345408358575e-09
3.563698040887788e-06,2.1872551651789213e-09
3.4060279887470517e-06,2.008008120051034e-09
3.2430485861565346e-06,1.9510486055887786e-09
3.205034137099337e-06,1.9208197913030296e-09
3.242250095290096e-06,1.992233646237156e-09
3.1087678408886646e-06,1.9060502300897413e-09
3.1957343507780235e-06,1.9244622675263108e-09
3.1501377675794387e-06,2.000312019502822e-09
3.196264416192231e-06,1.951661730418568e-09
3.1932252925471173e-06,1.953049573467409e-09
3.1845563425757285e-06,1.921652096014046e-09
3.3601075100528423e-06,2.1813998609524692e-09
3.290759716832776e-06,2.0932711613207555e-09
3.392841223114736e-06,1.9919261236367846e-09
3.4754493806411203e-06,2.1298014303844766e-09
3.501354017578437e-06,2.150173436861123e-09
3.560679350309487e-06,2.187431162498763e-09
3.608440219391014e-06,2.19930850351507e-09
3.5892249132760043e-06,2.158800672595782e-09
3.546812540850533e-06,2.3077585370242992e-09
3.601498991156879e-06,2.1685073465569504e-09
3.581269114686069e-06,2.177144175643958e-09
3.3997251907798166e-06,2.0538800559136606e-09
3.4051081424965234e-06,1.994106343870227e-09
3.3219192186536565e-06,2.0272535056146128e-09
3.4878030139353947e-06,2.1288744524492695e-09
3.343731802041636e-06,2.029192812434368e-09
3.20904413621483e-06,1.9750056626015896e-09
3.343423001244248e-06,2.0470437988443803e-09
3.3446601536935062e-06,2.0454874550776343e-09
3.266274764977818e-06,2.013417672273237e-09
3.3562918026267413e-06,2.0467636588431406e-09
3.4162568356062224e-06,2.002937884188448e-09
3.425130693912305e-06,2.086414909211236e-09
3.5730157302579245e-06,2.1305702410505147e-09
3.508046397605906e-06,2.303117895065132e-09
3.5781051958150557e-06,2.279705441322603e-09
3.6491036035736844e-06,2.151871926590326e-09
