Sig,Std Dev
3.7648113664374128e-06,2.2113176139562643e-09
3.6173452151304108e-06,2.3008467767522342e-09
3.7944393740234738e-06,2.3653467584852234e-09
3.8201287761121855e-06,2.4744359874115688e-09
3.7914753240823577e-06,2.3651688502565803e-09
3.8005469858655427e-06,2.3190847887112806e-09
3.7245414279229675e-06,2.3767799087980982e-09
3.725319578067556e-06,2.3818045680793798e-09
3.7760913465605494e-06,2.322354578362247e-09
3.8229742068282715e-06,2.3852514234001097e-09
3.834482051607183e-06,2.409311319350871e-09
3.936967778110531e-06,2.500577364440582e-09
3.839173596563212e-06,2.2974085147158092e-09
3.7500674014344022e-06,2.3970116325219444e-09
3.869737052596156e-06,2.496210264144495e-09
3.996667001257578e-06,2.5014693140526404e-09
3.798102531983632e-06,2.2273061215116783e-09
3.9893449333239566e-06,2.4808486656326616e-09
3.946370364809352e-06,2.4085434142731238e-09
4.053220405786985e-06,2.575732231099418e-09
4.1966995167792215e-06,2.5589588245112645e-09
4.025528123859272e-06,2.539594994460655e-09
4.076431191808208e-06,2.527871219371416e-09
4.225383312117265e-06,2.5590179061824756e-09
4.163418895180548e-06,2.5441333132480294e-09
4.0647232853478916e-06,2.580841046726747e-09
4.112337531313407e-06,2.4875503172644508e-09
4.034374083037446e-06,2.4839113672724448e-09
4.17234298630605e-06,2.661534242651221e-09
4.102087101985468e-06,2.4446419611226404e-09
4.015577856237445e-06,2.4647038980424675e-09
4.039873301825219e-06,2.4966672826123056e-09
4.009819294798138e-06,2.4671953487514144e-09
4.0855066568294245e-06,2.561341351471123e-09
3.9900701463797325e-06,2.4744242840149476e-09
3.990380649124864e-06,2.547621873758849e-09
3.9626218128096685e-06,2.436366459996212e-09
3.7310433889010794e-06,2.3849300174992006e-09
3.8089016331113323e-06,2.347703996671871e-09
3.7583693908492628e-06,2.4064201041040273e-09
3.813002422335837e-06,2.3784136706769992e-09
3.6900661664062683e-06,2.318736294285306e-09
3.5620249011941357e-06,2.2032016104066047e-09
3.617790253028328e-06,2.243841093566839e-09
3.6441503231920784e-06,2.23386098796608e-09
3.5468421345944602e-06,2.2213223494520105e-09
3.553221326877376e-06,2.161616491535882e-09
3.474205472528305e-06,2.1967805170598814e-09
3.454523658612915e-06,2.256062108514328e-09
3.547299592761974e-06,2.242685899848715e-09
3.432739900792046e-06,2.10564208011167e-09
3.290509409585804e-06,2.0940417024439093e-09
3.3915836416657756e-06,2.1467602119490386e-09
3.5679584246515745e-06,2.2009289066027317e-09
3.3976643277379423e-06,2.110560487840453e-09
3.3806340816721055e-06,2.105014423242039e-09
3.557623501629494e-06,2.2821718598612965e-09
3.656697606564417e-06,2.2548944767757273e-09
3.6033430950069355e-06,2.2675298357916256e-09
3.6751058722116688e-06,2.260306649097326e-09
3.670089202211182e-06,2.2178783231698464e-09
3.498766497894273e-06,2.116998611421635e-09
3.452088018449153e-06,2.1623515337769804e-09
3.320721160875519e-06,1.9104385740727705e-09
3.2612023283742782e-06,1.9535915165709764e-09
3.197962391606337e-06,2.051030865561826e-09
3.1280856937932453e-06,1.8771243619898225e-09
3.2435854824628355e-06,2.0410147683333213e-09
3.1715856267129125e-06,1.9906227583897893e-09
3.257458809022292e-06,2.0044131336146848e-09
3.1576029848344412e-06,1.9961857974657136e-09
3.232323635794845e-06,2.0111748759997703e-09
3.14196541437652e-06,1.9921339664385577e-09
3.4184559840773984e-06,2.1210721916377097e-09
3.3323680931212988e-06,2.0695942476777928e-09
3.4493540146086425e-06,2.178835904923571e-09
3.5204967943226078e-06,2.166822099011566e-09
3.606058659718629e-06,2.235496013522946e-09
3.5461589944393587e-06,2.1600495162957857e-09
3.5857443313392013e-06,2.260754465834324e-09
3.5328207384221323e-06,2.227844037364509e-09
3.6385907837316543e-06,2.2077055459898514e-09
3.4608488767169937e-06,2.1521196154161097e-09
3.339756956452121e-06,2.0686644240703846e-09
3.280846143234341e-06,2.0442158681323645e-09
3.3023783460770706e-06,2.0741918539418804e-09
3.3306157809927815e-06,2.0130453576407893e-09
3.308891025433212e-06,2.064249953477887e-09
3.1758903567182044e-06,1.920099432220144e-09
3.3146129489236987e-06,2.0494919006067166e-09
3.2171267304985478e-06,1.9507340107997495e-09
3.2888440311887e-06,2.0527016343899387e-09
3.461229627162088e-06,2.0908299147659365e-09
3.411762168950682e-06,2.1321328789000845e-09
3.4334906991576164e-06,2.09161936985864e-09
3.3409711074533733e-06,2.090951686938411e-09
3.3400782485727208e-06,2.113838044892626e-09
3.5427267322167676e-06,2.266519988327616e-09
3.6524268831119445e-06,2.3121118866775816e-09
