Sig,Std Dev
3.014731198345319e-06,2.602539216163318e-09
3.0177923927296863e-06,3.822825720091268e-09
2.9289282016551424e-06,1.950228178533041e-09
2.867574286720465e-06,2.058310297415759e-09
2.867170265871722e-06,1.9457883962760276e-09
2.848004193987409e-06,1.7589354102186693e-09
2.752701523470059e-06,1.7635447496672866e-09
2.8871506753095075e-06,1.9589484921729148e-09
2.968609327830849e-06,2.050163259337959e-09
2.8808548657726405e-06,2.015945691870594e-09
2.920170287323044e-06,2.4354018891331913e-09
3.0200161586812837e-06,1.908907376034225e-09
2.9657220935981813e-06,3.010366198266849e-09
3.0628510200008794e-06,2.4639006755525297e-09
3.031209456042146e-06,2.3035609910566326e-09
2.8175869076836665e-06,3.473460073389086e-09
2.9440480927206582e-06,2.4954575618066244e-09
3.188708365145964e-06,2.4592729539333973e-09
3.1193340933116533e-06,2.664310746458775e-09
3.1009506143344986e-06,2.227159149932588e-09
2.876597996183802e-06,2.295097067971302e-09
3.2016481041079755e-06,2.721982191003931e-09
3.1774989665241045e-06,2.411024100432142e-09
3.16127404581602e-06,3.861556192172294e-09
3.19351625429244e-06,2.654195495810392e-09
3.1135852535004223e-06,2.918905189778545e-09
2.941739679015939e-06,2.8433331265115478e-09
3.221999599692161e-06,2.977164478304291e-09
3.109359997876392e-06,2.990478352781069e-09
3.3071901903338505e-06,3.2432364878145147e-09
3.2174991827867317e-06,2.3336646508106074e-09
3.176976108393841e-06,2.7079579958760505e-09
3.185811150994177e-06,3.300732055063363e-09
2.9490728155695416e-06,5.201341595034065e-09
3.20419183248547e-06,4.548589589216068e-09
3.0885450837012013e-06,2.1209285198901736e-09
2.9544687175153265e-06,2.0340271336889378e-09
2.9959029452715147e-06,1.7763680455574465e-09
2.9945020447552727e-06,2.3833078709398334e-09
3.0965013576211327e-06,2.6861123432041e-09
2.9037452990181425e-06,3.8069560146237945e-09
2.9854131447384955e-06,3.585929732707889e-09
2.792495372986495e-06,3.542032603920575e-09
2.5836215278594682e-06,3.191919368322947e-09
3.0776555346900265e-06,4.441263349041848e-09
2.9365345485492464e-06,3.787463990375049e-09
2.687394270915552e-06,3.794626652917684e-09
2.559710460747588e-06,2.3025044015263885e-09
2.660656440405496e-06,1.883771997988443e-09
2.7134338470290365e-06,1.860945822056429e-09
2.56697922908986e-06,1.6269951355026005e-09
2.6119297459695174e-06,1.7298708803506612e-09
2.7203713838977616e-06,1.8660526175102818e-09
2.61120690853201e-06,1.8247359444500652e-09
2.5624713866201507e-06,1.7557453862883537e-09
2.6713129536895048e-06,2.057220002488779e-09
2.66830972617949e-06,1.68648366018768e-09
2.7237920730565433e-06,1.788790887588604e-09
2.652300051455724e-06,1.7270521748572102e-09
2.806069200980913e-06,2.308540550921385e-09
2.6717464696716743e-06,1.7842551747345943e-09
2.523341234093083e-06,3.8823102150728984e-09
2.5665234110278774e-06,3.4776523635687314e-09
2.3526194024885656e-06,3.2481894172607745e-09
2.4568441004422315e-06,2.0042778272367056e-09
2.391251108026954e-06,2.729264350725045e-09
2.5513194598921497e-06,3.5943142546538756e-09
2.2248370711739464e-06,2.2499031969866448e-09
2.4472087528359796e-06,2.360424272467538e-09
2.5055749731226562e-06,3.057946550754682e-09
2.6323420937762133e-06,3.534446045829778e-09
2.553896747287019e-06,2.411082960467975e-09
2.6971876725910993e-06,2.236858801965495e-09
2.6885086905584727e-06,2.391206495092942e-09
2.807135049212186e-06,2.4136605673324116e-09
2.8472493906232793e-06,3.6320893969875875e-09
2.7707634699200994e-06,2.2389072714876423e-09
3.0693755764480268e-06,4.630259821456359e-09
3.149775424055567e-06,3.9102611048439825e-09
3.0599985020347925e-06,3.815647641122432e-09
2.8419976606833574e-06,3.3185220606459295e-09
2.8167031692696093e-06,1.8854237516966143e-09
2.753589241233972e-06,1.8112295562062905e-09
2.7051770309749763e-06,1.9593227265593002e-09
2.5420999787583125e-06,1.7055112138032061e-09
2.586165923992917e-06,1.674821037209849e-09
2.4449385244825874e-06,1.5938566411109855e-09
2.5822838894961226e-06,2.1472495293730093e-09
2.5178705170086175e-06,2.5674657618782308e-09
2.3965726947697267e-06,1.962374730244941e-09
2.4719890399495633e-06,1.947729037071017e-09
2.612418625704001e-06,1.7382609590714615e-09
2.4504127181710588e-06,1.6254092587123791e-09
2.626081516157544e-06,1.7981006791038693e-09
2.616340345561659e-06,1.5802676870342039e-09
2.673690787775014e-06,2.0052548929628083e-09
2.762193223190996e-06,2.7294584196696644e-09
2.7817330225222527e-06,3.2119180442953605e-09
2.7620099826415453e-06,2.3084683029651243e-09
