Sig,Std Dev
2.7699312694093704e-06,1.6447855099871453e-09
2.7556778569821824e-06,1.745953131910079e-09
2.723727121522001e-06,1.742516541063122e-09
2.6767952447414105e-06,1.7129466482693822e-09
2.8116024211115052e-06,1.7307465609855502e-09
2.8065778671191075e-06,1.7210563104322775e-09
2.7039493102727743e-06,1.7076767113203904e-09
2.8938653722467764e-06,1.8758172568172684e-09
2.68066478782302e-06,1.643639211718097e-09
2.7253299893723445e-06,1.704661286894994e-09
2.8180097636829376e-06,1.7539342959391184e-09
2.7348369005588817e-06,1.6725076751686443e-09
2.7350768289371082e-06,1.7016421072773811e-09
2.9367107528095096e-06,1.7800538062182778e-09
2.8134606171962503e-06,1.7527258844950488e-09
2.8711499801824195e-06,1.7864333181088725e-09
2.8218935993938286e-06,1.7893518192601782e-09
2.9132891853920824e-06,1.7676586346904534e-09
2.9256436132290395e-06,1.735657143365411e-09
2.9172174267427387e-06,1.872878523388369e-09
3.063223543024404e-06,1.920049894049228e-09
2.9502197449199343e-06,1.8547066444889886e-09
3.027070506447791e-06,1.9839010035701476e-09
3.0223530218994382e-06,1.9164231039816575e-09
3.0560399539643394e-06,1.939865728391239e-09
3.0808750098676195e-06,1.8016873031762687e-09
2.817782131591855e-06,1.6385287320373908e-09
3.049039500238492e-06,1.8342149720619307e-09
3.0987982028956936e-06,1.888590843092638e-09
3.007197269132841e-06,1.9527670710622315e-09
2.903379611933579e-06,1.7590372728307965e-09
3.03810269621357e-06,1.9151195538291785e-09
2.9864679570370977e-06,1.85345079954824e-09
2.9349566835826824e-06,1.832842945299685e-09
2.895184858853117e-06,1.7861100600612964e-09
2.909506445482629e-06,1.7026643533816965e-09
2.8797494375638086e-06,1.7482705129764533e-09
2.934594178547256e-06,1.643692667819962e-09
2.964966762780712e-06,1.871353892496699e-09
2.8396210665437433e-06,1.8202991624425657e-09
2.814297420119256e-06,1.6360710698892485e-09
2.8137058731864225e-06,1.7827772504191087e-09
2.852899274609756e-06,1.6949004283192998e-09
2.6889439683905686e-06,1.706431402757194e-09
2.73674435407522e-06,1.7594550827284466e-09
2.543262907405494e-06,1.5253975577497095e-09
2.661328788896277e-06,1.6403227838623567e-09
2.535616159378971e-06,1.6837529760462218e-09
2.490762393880858e-06,1.4874491056756824e-09
2.644398778327362e-06,1.6010533140478741e-09
2.807410580990331e-06,1.7694455686372016e-09
2.706071863463248e-06,1.5828353247774045e-09
2.652527955221777e-06,1.7584325495515787e-09
2.6624298541577504e-06,1.636797365266722e-09
2.7734803256497813e-06,1.7292581797771098e-09
2.6255734776252337e-06,1.7339107847571037e-09
2.837653670764988e-06,1.7068098556465253e-09
2.829924622430353e-06,1.6303155493820823e-09
2.9276807793669785e-06,1.8363375333941434e-09
2.7743170500452532e-06,1.7103497500163744e-09
2.6331500333282972e-06,1.590842540044148e-09
2.648026010507411e-06,1.6127816536714686e-09
2.4882184711093388e-06,1.4626220763669696e-09
2.511855200373855e-06,1.4746724586058893e-09
2.5349762596123936e-06,1.5226317373537535e-09
2.3892085913934352e-06,1.472530010123343e-09
2.1888914137782712e-06,1.3930750752926898e-09
2.245005997208959e-06,1.394364474369476e-09
2.363620584526266e-06,1.4069513606702107e-09
2.262780968654529e-06,1.3623374265407828e-09
2.32738852416567e-06,1.46237837755392e-09
2.286344883003609e-06,1.3867814268507753e-09
2.31968764132561e-06,1.407751419732673e-09
2.5369967521901725e-06,1.542691536934711e-09
2.4617125861314385e-06,1.5503455946473707e-09
2.4010883331767594e-06,1.4152811401601095e-09
2.5436876467380924e-06,1.5206158858511445e-09
2.513138788726679e-06,1.6459096888077883e-09
2.5550091036666033e-06,1.6175917199107005e-09
2.6784298966751895e-06,1.60465275602765e-09
2.4790335800667434e-06,1.5677646891344766e-09
2.6227020534411534e-06,1.5809001425640756e-09
2.610286666312989e-06,1.5626650651434856e-09
2.4599323982272635e-06,1.5081221205066093e-09
2.5566354964085145e-06,1.5010156566320437e-09
2.4929782836928317e-06,1.4740096793998015e-09
2.41503521568274e-06,1.5085386481060743e-09
2.3861779975482394e-06,1.4311554619207102e-09
2.3672087952170287e-06,1.440365853247474e-09
2.4576971396792955e-06,1.4830517522914505e-09
2.358806041189078e-06,1.4510523347496445e-09
2.517770497592774e-06,1.575779016453139e-09
2.3639287525318406e-06,1.4262533541150593e-09
2.4689201761209954e-06,1.5121686172991858e-09
2.5123256241032324e-06,1.49694500074377e-09
2.5750412201708854e-06,1.587884576664158e-09
2.5551008994261045e-06,1.497675019560807e-09
2.736026285215404e-06,1.6439223771308224e-09
2.5631117203850318e-06,1.6371545213464573e-09
