Sig,Std Dev
3.201500658217054e-06,5.472431000826293e-09
3.1526710667589904e-06,5.510794941586977e-09
3.018522888980962e-06,5.097145054362759e-09
3.1647173415333174e-06,5.176688412462248e-09
3.4520937057348035e-06,5.484439462747774e-09
3.2444377877276722e-06,5.430041425132628e-09
2.757889590406481e-06,4.6459214747302135e-09
3.267424566537987e-06,5.359207121217687e-09
3.293510508063675e-06,6.139759314513363e-09
3.4026367106843906e-06,4.8617848080757925e-09
3.2876359259723e-06,5.107547010519562e-09
2.8710737046860647e-06,5.174311935395207e-09
3.254198540422131e-06,5.599042488044167e-09
3.361993796991073e-06,5.667656754468672e-09
3.4725098260176476e-06,5.376790501249835e-09
3.0856896857320975e-06,5.339526844128326e-09
3.3911622182390308e-06,5.507134575312413e-09
3.0991240028493688e-06,5.175616024487487e-09
3.290922932963222e-06,4.908763925821255e-09
3.0331124064539124e-06,5.3344663555257036e-09
3.5847792959511828e-06,6.117991811690642e-09
3.3430669300010096e-06,5.255784813942603e-09
3.5457325660883235e-06,6.146756112820024e-09
3.671060310369916e-06,5.131462355374232e-09
3.1890718882467413e-06,5.8556716181340605e-09
3.421412845653449e-06,6.139065945995611e-09
3.289674987951505e-06,5.611130235382024e-09
3.987349534088387e-06,6.771727471613345e-09
3.266542243718232e-06,4.523618479734563e-09
3.0547517251744114e-06,5.150161397610045e-09
2.9541606503395355e-06,5.162528901344258e-09
2.8547024101800466e-06,4.780386811141704e-09
3.318593913854946e-06,5.334643993034561e-09
2.9447483413953034e-06,4.874586171326036e-09
2.7071560483017503e-06,3.97858696184872e-09
2.8681359221666344e-06,5.0889617788486356e-09
2.8017867950460202e-06,4.897902638315995e-09
3.416668025847964e-06,6.048344354275322e-09
2.8426641436739968e-06,4.456344520236939e-09
2.7758577512584117e-06,4.536658794484063e-09
2.426475285169925e-06,3.870372239867332e-09
2.8958114621507343e-06,4.877546991852363e-09
2.779146582399533e-06,4.877814028898282e-09
2.3613835181544612e-06,3.5974379199069407e-09
3.0381319013262015e-06,4.2888357339267195e-09
3.1445058600212476e-06,5.372809587384211e-09
3.061009533278926e-06,4.430544110649048e-09
2.7171362247937185e-06,4.438016750217865e-09
3.3464269375203692e-06,5.778906908955417e-09
3.0815680471017063e-06,5.397923691903952e-09
2.9501083047916395e-06,4.769926910164682e-09
2.377818064414384e-06,4.239701142507356e-09
2.7988734326926847e-06,3.845376489148801e-09
2.8831188426826094e-06,4.9492936008696955e-09
2.739115960864791e-06,4.191231262260395e-09
2.67513811315064e-06,3.835460635362499e-09
2.82924763378404e-06,4.511418492439024e-09
2.38688534091594e-06,4.232634247741169e-09
2.407497694826598e-06,5.072234530942855e-09
3.0771947591358007e-06,4.875574596995794e-09
2.1642576632242113e-06,3.3909797348688567e-09
2.6590953559891793e-06,4.827754946416029e-09
3.0486684604408324e-06,4.9369486680676445e-09
2.489331760185852e-06,4.095208647519235e-09
2.8774762846800835e-06,4.772490255940382e-09
2.7746710650347354e-06,4.119604385414412e-09
3.0868521079579884e-06,5.0022666217858765e-09
2.7882431500283734e-06,4.61380025243487e-09
2.917063872235671e-06,5.559078990574967e-09
