Sig,Std Dev
3.993052668585823e-05,1.0573487348937353e-08
3.483677194286229e-05,1.0974320703519117e-08
3.613489800527463e-05,9.21494523874063e-09
3.34249478449058e-05,1.115772743363549e-08
3.631866767590328e-05,1.193521274479192e-08
3.748304667122905e-05,1.035496438679613e-08
4.4119957431361415e-05,1.3632473558588728e-08
4.1733670102774676e-05,1.122287917054574e-08
4.0564279921656824e-05,1.1085558768449024e-08
4.454158088482034e-05,9.78717067653564e-09
4.609654185214933e-05,1.2347153964848997e-08
4.8255061702203654e-05,1.150220627656371e-08
4.300830778806387e-05,1.0739067074839503e-08
4.498922404397248e-05,1.2935826111904381e-08
4.7373425559951124e-05,1.1207994392705516e-08
4.626227551334986e-05,1.4248795606649196e-08
4.413837630821529e-05,1.3945864369890063e-08
4.466723403219211e-05,1.0165694374454482e-08
3.8845899025689734e-05,1.1805219181665405e-08
4.012306371757864e-05,9.733547338916164e-09
4.3484828172337165e-05,1.0834082174053714e-08
3.5078120256583614e-05,1.0521701563670903e-08
4.050334552127304e-05,1.1428465663940738e-08
4.7185052743744454e-05,1.356538699993889e-08
4.7547234523616704e-05,1.0054978916792904e-08
4.672287692692084e-05,1.1963666597926022e-08
4.721015125283344e-05,1.1452618989526503e-08
5.493624069095289e-05,1.2569714941043687e-08
5.60784496299247e-05,1.3331098753380798e-08
5.449221328890907e-05,1.3484477289486033e-08
5.95149991500648e-05,1.0601374180935163e-08
5.901567436565034e-05,1.2940296528909159e-08
5.82224201402326e-05,1.4020646093290225e-08
6.017476307392747e-05,1.2015281086415615e-08
5.959456292791546e-05,1.3482336329577156e-08
6.011182341743149e-05,1.1914806952692468e-08
5.6321021695251015e-05,1.0267599736748198e-08
5.54675673387787e-05,1.2188777124908095e-08
5.29460207292621e-05,1.2445532783047728e-08
4.8773732161027595e-05,1.010331578342193e-08
4.4871862328967386e-05,1.090902431299088e-08
3.8485616774276266e-05,1.0932931368055589e-08
3.442347942944601e-05,1.0360425692424137e-08
2.940990387814567e-05,8.264895901527281e-09
2.400896398049176e-05,8.891397690456727e-09
2.3474146921566157e-05,7.54479663976748e-09
2.2502683960258136e-05,7.159034363381002e-09
1.885760793460044e-05,8.766411247767474e-09
1.8155754646498497e-05,7.600988263131917e-09
2.041210758405063e-05,7.820914373890198e-09
2.0119373985574925e-05,6.463589245812982e-09
1.7374720608358947e-05,7.730112080011326e-09
1.7917347847735413e-05,9.83196855385446e-09
2.147407793272747e-05,8.283644776122554e-09
2.1026490982126624e-05,7.009941261590824e-09
2.010677858854975e-05,7.723414726848166e-09
1.9093333791233896e-05,1.0157745823696315e-08
2.047732227630729e-05,8.124957048443175e-09
1.8182848888098242e-05,8.30062012516517e-09
1.995857028854487e-05,7.145667210066836e-09
2.1578688638363634e-05,8.0401086731157e-09
2.145245471891771e-05,7.512010486798445e-09
2.014232113814562e-05,7.424393678447746e-09
2.13799542408905e-05,7.676946553523791e-09
2.0389981290021324e-05,8.030448075431558e-09
2.337704170386625e-05,9.62673536185922e-09
2.1917663800235252e-05,8.559015737366075e-09
2.0806026695508414e-05,8.715443723388216e-09
2.2276660772263425e-05,7.95628861264862e-09
