Sig,Std Dev
3.0869959045853555e-06,5.011184859748797e-09
2.6839079414806583e-06,5.412697346950503e-09
2.962007234140173e-06,4.3393812332103635e-09
3.301005135231843e-06,5.921237147425032e-09
3.392480185525569e-06,4.681556527874817e-09
3.1261938538312937e-06,4.520900920581363e-09
3.2745872086064253e-06,5.334270044849964e-09
3.032957126681787e-06,5.031406586617538e-09
3.3972123533190655e-06,4.891527388918234e-09
3.415088569662227e-06,5.511842580537414e-09
3.061920086175572e-06,5.27805186593158e-09
3.0921918189999186e-06,5.1775658489739386e-09
2.587459483503062e-06,4.412294424221119e-09
2.9737297451571532e-06,5.315409326594927e-09
3.037651168928887e-06,4.628585844499871e-09
3.229026637896235e-06,4.70881864065712e-09
2.8696677744768004e-06,4.116041543136014e-09
3.2114053884479313e-06,4.9402720112425986e-09
3.1318005419283917e-06,5.141482165657577e-09
3.281750878235469e-06,5.085804733233463e-09
3.0181280837299237e-06,5.716018697031325e-09
3.2027070302007694e-06,4.884041179589264e-09
3.353519832458143e-06,5.548679466658925e-09
3.1721228766067425e-06,4.458233856580599e-09
3.05292185956285e-06,4.4834750415741335e-09
3.51879215606727e-06,5.673930238507077e-09
3.090728977105147e-06,4.9707892321784435e-09
3.4002219021931092e-06,4.495025283580323e-09
3.2844409060949115e-06,5.212413137328399e-09
3.6750016495258117e-06,5.281134240011516e-09
3.0916518414827453e-06,4.82185151696019e-09
3.2941848186174704e-06,5.359554189567175e-09
3.224414423997683e-06,5.152657253229453e-09
3.279271572608062e-06,5.157167211200653e-09
3.216202942152386e-06,5.229307064024303e-09
3.677303343275084e-06,5.595343127713942e-09
3.099260839846964e-06,5.563050072733612e-09
2.965337166973981e-06,4.985252544497009e-09
3.289899259037443e-06,5.765204780056026e-09
3.2633533914228867e-06,5.613366576914304e-09
3.0125324153237427e-06,4.892949989784656e-09
3.7348785057472566e-06,5.511653031985643e-09
3.2049092818076155e-06,5.1413172655796695e-09
3.364152794221215e-06,4.723746595900788e-09
3.4245903699660863e-06,6.253977129996072e-09
2.9556563815676696e-06,4.472407383404098e-09
3.302814262082481e-06,5.2717104308551516e-09
3.425872086587009e-06,5.473069062813901e-09
3.4773742078183707e-06,5.535012076114762e-09
3.4306037039661607e-06,4.823435867116829e-09
3.119584482174467e-06,4.430987269549031e-09
3.549522754754378e-06,5.587565854609001e-09
3.4665517141334483e-06,6.596051104386896e-09
3.5233434921508396e-06,5.660111360859573e-09
3.083203354049978e-06,4.358508028610859e-09
2.969952384266075e-06,5.281000354559867e-09
3.706474171585618e-06,5.6389990761969835e-09
3.3876288734598398e-06,5.077967303358019e-09
3.5005689237219372e-06,5.542602629731157e-09
3.34816704055081e-06,4.851127551479386e-09
3.174377951444005e-06,4.851598768709777e-09
3.3501675279943305e-06,4.5298942413121486e-09
3.2679758502509366e-06,4.465764904906461e-09
3.2151731958819184e-06,4.154322538301836e-09
3.5035490896501745e-06,5.035392234715862e-09
2.8455253482613793e-06,4.5652554885989665e-09
3.2154702770978188e-06,5.727916293264272e-09
3.5114133333704074e-06,5.176977164200631e-09
3.5160447879454787e-06,5.69907878888753e-09
3.542891225998339e-06,6.1262141529860585e-09
3.670197318258982e-06,5.489789732147219e-09
3.3411378748171556e-06,4.985566894987212e-09
3.2410762079811966e-06,5.105393059134514e-09
3.061751234515384e-06,4.76954316457736e-09
3.1561119588403186e-06,5.111988116193847e-09
3.1416678673996254e-06,4.995992060436132e-09
3.1947816875529398e-06,4.616265265326673e-09
3.0822429562209827e-06,4.682512113665512e-09
2.780719251921251e-06,4.8535598188834095e-09
2.971624614381903e-06,4.883570332278972e-09
3.162733385301119e-06,5.004801435375205e-09
3.1367086086840154e-06,4.645321022787848e-09
2.7557144710235643e-06,4.546794486387831e-09
2.7920247760793604e-06,3.783031271701328e-09
3.3517753082179806e-06,4.706952894112851e-09
3.1663007470510404e-06,5.298989930580497e-09
2.512489011447728e-06,3.715867989520395e-09
3.308731058346273e-06,5.299478291830807e-09
3.561773847073781e-06,5.23766001538729e-09
3.2015340570266633e-06,5.069017709031758e-09
3.123126078139611e-06,4.525621591902915e-09
3.1504697528135164e-06,5.507134806309127e-09
3.0149957586466266e-06,4.475491725672233e-09
2.83927195143609e-06,4.1267659041198096e-09
2.948195925454599e-06,4.294642583690952e-09
3.1729189312763715e-06,4.766081844315115e-09
2.5838223927613637e-06,4.178825555581883e-09
2.710909877071475e-06,4.1829829409361375e-09
3.2080701685569526e-06,4.814349195213278e-09
2.8063176216698476e-06,3.855449869286431e-09
2.8583147364602742e-06,5.005404386088501e-09
2.6278896117741004e-06,4.301615912181976e-09
2.37865973513954e-06,3.721253134435823e-09
3.070690723024812e-06,4.135225663953027e-09
2.443875274100385e-06,3.858353094603066e-09
2.8943273564581746e-06,5.1430603957146266e-09
2.782148048301306e-06,3.859555304131448e-09
2.630444888531271e-06,3.978477525439666e-09
3.1050170487974535e-06,4.615328210723056e-09
2.917881454497916e-06,5.001781492070226e-09
2.8035324131922787e-06,3.913778108660242e-09
3.131081217939694e-06,4.26251397101402e-09
3.276578279890717e-06,5.916688392449969e-09
2.428701118225005e-06,4.15855434476021e-09
2.85654422021522e-06,4.629539440536442e-09
2.9900585892191253e-06,5.151888094804544e-09
2.855475908241599e-06,4.673581948623241e-09
2.856080626911882e-06,4.563379626226706e-09
2.823829438065152e-06,4.556076004355273e-09
2.8079417122825523e-06,4.806154067720098e-09
2.6779054869723714e-06,4.4362146221952516e-09
3.273830210323232e-06,4.851800834899896e-09
2.710126408059812e-06,4.611381741523777e-09
2.6217748287635458e-06,4.195689203715753e-09
3.109071810824505e-06,5.796918042848856e-09
3.2209096380373024e-06,5.201468718424708e-09
3.182102859635547e-06,5.093742835385256e-09
2.843723867191923e-06,3.815981457466988e-09
2.6328197271751856e-06,4.248191686627865e-09
3.124447689389912e-06,4.696026384365635e-09
2.727213070176177e-06,4.024062905683989e-09
2.557017192572282e-06,4.29911731930903e-09
2.4456319796271373e-06,4.311596334106137e-09
2.4739845956563384e-06,4.156700521129011e-09
2.5620839053248074e-06,3.668590242204341e-09
2.50714322353862e-06,3.932280181943965e-09
2.581062534540712e-06,4.009727312602009e-09
2.466906246900185e-06,3.8182168240343095e-09
2.4247362516259973e-06,3.6031506912678324e-09
