Sig,Std Dev
2.6900575167660735e-05,9.76748996245331e-09
2.8419292521962917e-05,8.803629785864129e-09
2.8442656210727544e-05,8.55857917875402e-09
3.0149171911029248e-05,8.906108706450624e-09
2.775352911255505e-05,8.85651602225602e-09
2.846914912280717e-05,7.805590509348743e-09
2.9233854047648143e-05,8.551021446647165e-09
2.742751721959593e-05,7.974045225505967e-09
2.7360107136306326e-05,8.232673176581562e-09
2.5995510273429075e-05,1.0253886848226794e-08
2.7816395626550677e-05,7.728632310399999e-09
2.759902619802325e-05,7.852912068204374e-09
2.7564667221170837e-05,7.718501618804728e-09
2.7227331731042296e-05,7.792407105342449e-09
2.7283435504803918e-05,9.149010356198864e-09
3.057697247596227e-05,7.403409829640767e-09
3.0004657846117518e-05,8.864903000764756e-09
2.956099921996715e-05,8.655382352853615e-09
2.914708045167695e-05,6.528737479816435e-09
2.910275003843927e-05,8.942975558690944e-09
3.086570638538737e-05,9.727682630288184e-09
3.0810552454293065e-05,8.011659225084806e-09
2.9458566258829643e-05,8.510338725422045e-09
3.072929365060152e-05,9.572543115648468e-09
2.9603397345817254e-05,9.842335914260386e-09
2.8998505968796204e-05,8.160728135067054e-09
3.076036720468477e-05,8.268128501150401e-09
3.024095068406852e-05,8.655126552240728e-09
3.241100429369969e-05,9.704394037797254e-09
3.193363270416288e-05,9.093280032964255e-09
3.187629927141588e-05,1.0359248728915344e-08
3.3712418502707544e-05,8.222343519455673e-09
3.362703326227929e-05,8.345059113396184e-09
3.4324138084644276e-05,9.00314591576367e-09
3.296317533818486e-05,9.17835184510768e-09
3.3449016260483355e-05,9.425007225036465e-09
3.53707194851115e-05,9.934992155819119e-09
3.6226042970705406e-05,7.898523488984886e-09
3.482285011532386e-05,8.944871559740912e-09
3.525545236516469e-05,9.110456522982562e-09
3.4622599800338034e-05,1.0728147540425424e-08
3.54327063475912e-05,8.509627145352741e-09
3.684343796402374e-05,9.672799150757482e-09
3.663685955962888e-05,1.148524453808195e-08
3.743337734872146e-05,9.033102050660663e-09
3.733002227004059e-05,1.075723921076102e-08
3.984553278994228e-05,8.69064727722634e-09
3.916491817462924e-05,1.0535069948831586e-08
3.9476176110458884e-05,9.813672805520904e-09
4.308090331464055e-05,9.721610191082134e-09
4.1448609944995987e-05,9.690542396435686e-09
4.31763813143575e-05,9.779346292207488e-09
4.263267510796009e-05,8.273551907964923e-09
4.2661247704428275e-05,7.982943181970794e-09
4.213016448130676e-05,1.0796597174178094e-08
4.198152028566608e-05,8.980109840740781e-09
4.49612542416668e-05,8.78747244060015e-09
4.4835438684684634e-05,9.334452022163348e-09
4.6569777793079815e-05,1.0121979462563284e-08
5.0128687795225625e-05,9.080445409679734e-09
5.256145449169066e-05,1.0875571338032264e-08
5.321715560036266e-05,1.1500864413601015e-08
5.327392091691615e-05,8.199788008825477e-09
5.6899773014497924e-05,8.947058607093363e-09
5.505253737429333e-05,1.0454982325923013e-08
5.802357788270534e-05,9.886011717517287e-09
6.06240546520882e-05,1.2425996642464594e-08
5.9791484320836275e-05,8.080460843306813e-09
6.066951785750115e-05,1.3252601847914364e-08
6.326658622218154e-05,1.2834795428839172e-08
6.263205455625477e-05,1.0729898530714133e-08
6.712143079740088e-05,9.774688304327498e-09
7.090836224659271e-05,1.0034841393498039e-08
7.210769727546011e-05,1.0045706596907301e-08
7.405964859930543e-05,1.1116803607467464e-08
7.566863479676522e-05,9.68591218947417e-09
7.633152459789644e-05,1.1377549027552927e-08
8.055200271038675e-05,1.0149574871134193e-08
8.159381396638137e-05,1.0950349301346712e-08
8.24239130627663e-05,1.3171411234760902e-08
