Sig,Std Dev
3.142629143060026e-06,1.9914627191531955e-09
3.07466796291538e-06,1.8210413567057185e-09
3.125156127656753e-06,1.9839142426991457e-09
3.325934562584056e-06,2.0537788816047998e-09
2.9741032996526637e-06,1.8350632277363427e-09
3.281896389107866e-06,1.905233272853199e-09
3.3090390849844254e-06,2.141900741954049e-09
3.227411604591778e-06,1.951824929018635e-09
3.3000830634781146e-06,2.0557018345064104e-09
3.4361671456991443e-06,2.130605042182619e-09
3.209340134777731e-06,2.000504951428025e-09
3.1525974072534184e-06,1.9310178004150953e-09
3.053759086875487e-06,1.8341351652366397e-09
3.2352445100576155e-06,1.9970231326999534e-09
3.258862109447766e-06,2.084587454678053e-09
3.1326191550139206e-06,1.957187861882666e-09
3.2453513799086277e-06,1.9720749105390165e-09
3.3222369796913438e-06,2.021626594025808e-09
3.1941204314645837e-06,2.1320682278396456e-09
3.4099295228707066e-06,2.0670085863297657e-09
3.1336715954376545e-06,1.9705598527619348e-09
3.4553981780898307e-06,2.059886873390029e-09
3.304596253061999e-06,2.145259394623557e-09
3.4414753605714427e-06,2.1037318049454415e-09
3.3040048843289655e-06,2.006667046341288e-09
3.234852934876563e-06,1.958995009226661e-09
3.125174821752677e-06,2.0462239575626137e-09
3.190283800322446e-06,1.929953101803602e-09
3.1677736711558895e-06,2.0176996662400825e-09
3.091685880220356e-06,2.008485415781195e-09
3.030701242904429e-06,1.8110172568100208e-09
2.965799197988718e-06,1.900286702015313e-09
3.0799407716647944e-06,1.8484063844916516e-09
2.9377277963147857e-06,1.7974080442037075e-09
3.0200036733172994e-06,1.8146530908345415e-09
2.930568589570948e-06,1.8625222202498477e-09
2.8299174797073256e-06,1.7590168000013336e-09
2.857592519780884e-06,1.7161098380230513e-09
2.7277145474668736e-06,1.6595279104577795e-09
2.6926999282763384e-06,1.7120259906116705e-09
2.749711107297367e-06,1.6184622055170394e-09
2.637954391624524e-06,1.597297081168681e-09
2.7113904801569533e-06,1.6080552680720585e-09
2.9059117020602015e-06,1.7159346328085255e-09
2.950328016303154e-06,1.8102742535313795e-09
2.839616936455139e-06,1.7906774710430968e-09
2.8915730229297416e-06,1.739141144800147e-09
2.9040269083628747e-06,1.7613499058434573e-09
2.972355821844653e-06,1.8631382924414334e-09
2.9265292078432963e-06,1.818692375865085e-09
2.9164187189301778e-06,1.891797942339785e-09
2.7430524426682282e-06,1.6151838132185052e-09
2.6507268641474383e-06,1.6646025240197089e-09
2.7631883325690063e-06,1.758080366838147e-09
2.5217276050502244e-06,1.603955420752885e-09
2.693237385983509e-06,1.6852646368677727e-09
2.5827606721789867e-06,1.532889540196411e-09
2.4856781219327386e-06,1.5741120697562729e-09
2.5378478793583443e-06,1.542108274819286e-09
2.622179834472394e-06,1.700776336166358e-09
2.491883927091312e-06,1.5367950449510181e-09
2.579915064586722e-06,1.5741856929194793e-09
2.6289481872725993e-06,1.5953629613457212e-09
2.738987546874119e-06,1.6995216800300506e-09
2.6419944658839958e-06,1.6346009420490287e-09
2.710439032400251e-06,1.6919649012308726e-09
2.6279319239655364e-06,1.7523655218663485e-09
2.768676637727504e-06,1.6283409667695416e-09
2.9012558155725684e-06,1.8161892928679668e-09
