Sig,Std Dev
2.191017130586811e-05,7.278182846318903e-09
1.428770399469275e-05,5.829676706327652e-09
9.226433048078565e-06,5.1746166835134535e-09
1.3568974554971419e-05,6.683745415936226e-09
7.967330429587212e-06,4.828303645172581e-09
1.1853369765959791e-05,7.635336015508467e-09
1.2939678524376472e-05,4.056604147644915e-09
9.060841822833192e-06,4.880634561476704e-09
1.4060756471014777e-05,5.3463478721263696e-09
1.0025921829422215e-05,3.931531561114099e-09
1.6315693753177852e-05,6.650169782297202e-09
2.5265070716636214e-05,7.914323944177513e-09
1.2727094786381215e-05,4.658606068278975e-09
1.0677621653041816e-05,4.9420236629217264e-09
1.2285771934485e-05,5.395696228508671e-09
1.5030490329137017e-05,5.076226571825874e-09
1.621634787571459e-05,8.678890089873346e-09
1.692099171932846e-05,7.677240280664649e-09
1.6606375843157798e-05,6.944425126747477e-09
1.239601093643742e-05,5.0195869095792605e-09
8.994843309946792e-06,4.9873699564888455e-09
1.9870878681074757e-05,6.398501520790917e-09
9.652901081591563e-06,4.558080664625099e-09
1.6778056498450166e-05,6.216811713082713e-09
2.1340090634755776e-05,8.185149380114902e-09
1.3739031134344318e-05,9.83692336550312e-09
1.5333530792692494e-05,8.200531314161441e-09
9.726347313320186e-06,4.89383905696717e-09
8.277048210129623e-06,4.7865439508910194e-09
1.1571649294706764e-05,4.01526727429195e-09
6.968725113822656e-06,4.59172089647095e-09
1.837169816269824e-05,9.188404254604524e-09
1.2062119584382214e-05,9.08276643010368e-09
1.9970441303144117e-05,8.358235419219042e-09
1.3236443470905809e-05,8.391738357793054e-09
8.611507091835757e-06,5.17330718483233e-09
9.354919998416769e-06,4.7040072602060374e-09
9.870045327290964e-06,4.661487981593581e-09
1.1107059514971531e-05,7.132437218332414e-09
1.3465441523620373e-05,7.9264533023906e-09
2.6505515248779807e-05,7.114517182643902e-09
1.1954109791059883e-05,7.90967588119597e-09
1.1042474271532439e-05,6.990602062369729e-09
1.1788715014689322e-05,7.22688109430816e-09
1.4750192059776817e-05,8.937155955391678e-09
8.29562479431191e-06,6.993210714231036e-09
1.8282014740507255e-05,9.313016989742003e-09
1.682553249332069e-05,9.079777512763853e-09
1.5053234651938916e-05,9.178685739476083e-09
2.2822165784059928e-05,5.741739662587757e-09
1.0373024183317226e-05,4.358410843840929e-09
1.0416395321515435e-05,5.0790091235971906e-09
9.673545873180195e-06,7.4082602106133455e-09
1.4128383224623219e-05,5.481666159115242e-09
1.4321930637532617e-05,4.500891479905852e-09
2.046767965560388e-05,1.139165867323244e-08
2.3654157366210653e-05,1.0464741614941852e-08
1.9540780799457163e-05,1.0321928829711004e-08
1.574879433406821e-05,9.2161830640428e-09
1.3538130005419756e-05,7.515382080898743e-09
8.331120177573127e-06,4.826913992979063e-09
1.4902836007654038e-05,8.217127109652962e-09
1.5696306156195227e-05,1.0595909469366824e-08
1.3497105583261733e-05,1.036844783529594e-08
1.1619380821489155e-05,5.194024640787651e-09
1.4166287983193929e-05,6.879879867189985e-09
1.7035461622508152e-05,7.930481963456076e-09
1.785333613773698e-05,6.120283537112572e-09
1.2039896245885557e-05,6.442459410960776e-09
1.2860481634557839e-05,5.5914291397630085e-09
