Sig,Std Dev
1.0910733482822304e-05,3.4877317089297084e-09
1.5386361592687506e-05,5.518137103013902e-09
1.6861016138023762e-05,9.170700047240179e-09
6.098296218129897e-06,3.2439970612699105e-09
1.0720262050747954e-05,5.324017624538408e-09
7.09562942094199e-06,4.83267335647537e-09
6.904707234304358e-06,4.171684417458438e-09
8.516557722518789e-06,3.553692571238088e-09
1.1257073323499061e-05,4.626722648584951e-09
8.672531482791282e-06,4.3124335543437116e-09
1.1527557864923805e-05,5.030559142444169e-09
6.871478230680314e-06,3.843170974637718e-09
9.95267166508512e-06,3.4904740343140317e-09
8.155139916691638e-06,3.9539150572503535e-09
5.53155485898745e-06,3.407935172845097e-09
1.1741260367618551e-05,5.345638037440762e-09
1.7410623277236454e-05,8.860637728166621e-09
1.2093546234661958e-05,4.851345178523038e-09
1.2355943300839698e-05,9.071095713978717e-09
1.3262753560047884e-05,7.256943286988334e-09
9.877751125501951e-06,4.426491615189218e-09
6.473978402697221e-06,3.2921425870172995e-09
4.920951193304646e-06,2.8504745080700123e-09
1.0707684152526289e-05,6.835479728140233e-09
8.907921263313001e-06,4.677283095230913e-09
4.113628435629975e-06,2.349897660619919e-09
6.610914033065127e-06,4.306792335705181e-09
7.049116042488671e-06,3.4088496887316086e-09
7.498608760079115e-06,4.2079117110540665e-09
1.1239939917463963e-05,6.138578305222279e-09
1.0482232675071385e-05,6.174918205070376e-09
1.2893885518635064e-05,5.3278615440298664e-09
9.817806050501875e-06,5.803888229069793e-09
1.301456737002002e-05,4.6501688331906505e-09
1.3896450895437026e-05,3.663965364563083e-09
8.444890602596037e-06,5.616565606235095e-09
9.268091037919821e-06,4.536514381686338e-09
8.798831900768285e-06,3.7574167643808135e-09
8.483651723005556e-06,3.97189373188789e-09
1.1504258596331111e-05,3.798355419224658e-09
1.0624433500717484e-05,4.594226537829571e-09
8.570047657367262e-06,4.604639183240674e-09
7.5351325415186555e-06,3.198706795226853e-09
7.61381775786695e-06,4.003787437335265e-09
6.624744035899394e-06,2.988354657318008e-09
1.070880087034062e-05,4.523021903087126e-09
7.862303603811877e-06,5.619005721617228e-09
6.750484838937495e-06,4.55190369632505e-09
9.435220852726363e-06,4.0453693723480315e-09
1.2196678482476326e-05,4.0715392279394235e-09
5.830280219406891e-06,2.7232611041522667e-09
4.667144168493697e-06,2.3389294527646367e-09
3.909040488169683e-06,2.397268240390415e-09
7.315202308150978e-06,3.4345495731749506e-09
7.999494128394728e-06,3.3204615755165334e-09
5.9513695855391725e-06,3.439145386309835e-09
4.048820007198573e-06,2.6050733310211773e-09
9.028532437136961e-06,2.80696668223088e-09
1.1035794115712055e-05,4.844171871322556e-09
8.739017322856254e-06,4.250291802692265e-09
8.455093064111106e-06,3.736325304706128e-09
1.1867639305557828e-05,4.442517648193564e-09
9.246984792294316e-06,4.912863012015246e-09
9.834800692095135e-06,4.220998761862105e-09
7.460898516381947e-06,4.079796886324034e-09
1.0345936648810075e-05,4.044616247927215e-09
1.1411488679311275e-05,5.393255002335619e-09
8.435926091480911e-06,4.761677982190461e-09
8.861439298431049e-06,3.794529247047807e-09
