Sig,Std Dev
3.105152502593421e-06,1.8957739496892667e-09
3.1605792382756577e-06,1.8855798090571607e-09
3.269170763538316e-06,2.014753408032328e-09
3.043689337370612e-06,1.7849845951392415e-09
3.16101308345389e-06,1.9766925172414997e-09
3.1286752172789584e-06,1.945824262388163e-09
3.2904148020103253e-06,2.055526688502976e-09
3.0911774643858423e-06,1.911741254601028e-09
3.2752551899930997e-06,2.0374138510529363e-09
3.1357470769215697e-06,1.8542133453719602e-09
3.204637481763584e-06,1.8870220860625532e-09
3.0221146972921523e-06,1.8811499569868706e-09
3.1027305240291076e-06,1.8937814799003045e-09
3.1683694615958852e-06,1.9920346496888577e-09
3.2591114751164785e-06,2.010440145956364e-09
3.0894028821335586e-06,1.8567885299929026e-09
3.1307753589812567e-06,1.937100268964714e-09
3.1142753246854473e-06,1.898306151789698e-09
3.029312551513084e-06,1.894768952502721e-09
3.174565268886873e-06,1.8822055726813173e-09
3.3374282846570237e-06,2.00592726742278e-09
3.21711916699835e-06,2.0470583527261975e-09
3.261985230925869e-06,1.90375609820597e-09
3.2226242139302543e-06,2.089331708404988e-09
3.1607665948166757e-06,1.9338351821236667e-09
3.2243787704680923e-06,2.0162484720611636e-09
3.05568623043084e-06,1.8568285786142332e-09
3.127055848490529e-06,1.8387597751810606e-09
3.155076711610585e-06,1.899543646554678e-09
3.2200598262257216e-06,1.9262552998039504e-09
3.292970111171336e-06,2.0217014285383066e-09
3.1855961361499164e-06,1.9320026691610983e-09
3.255918846726786e-06,1.94189847539615e-09
3.285194870128185e-06,2.030414715464205e-09
3.3071696665688666e-06,2.109117909197718e-09
3.2381956639958217e-06,2.042828380594272e-09
3.262635037894677e-06,1.8491497000340706e-09
3.292717379654899e-06,2.0391636070661434e-09
3.0880564948481596e-06,2.025263070931201e-09
3.3267917715809862e-06,1.878548502523615e-09
3.17200575824596e-06,1.9217373469064583e-09
3.121124343837009e-06,1.9702641505538213e-09
3.414201478902705e-06,2.022029869312502e-09
3.3092114200504407e-06,2.057242816644252e-09
3.2721971059450658e-06,2.0613678610671373e-09
3.1972230234093798e-06,1.936994402622857e-09
3.2434260765490653e-06,2.010521540896764e-09
3.339733164502379e-06,2.010770440430166e-09
3.2416124337701907e-06,1.924400121835827e-09
3.28974962869603e-06,1.9932577746203335e-09
3.11507633251017e-06,1.964688379732059e-09
3.412986755310905e-06,2.017836049315976e-09
3.0805401920935e-06,1.980748968806601e-09
3.2174521883578205e-06,1.953312628219929e-09
3.280633733732748e-06,1.971610928964246e-09
3.1435074404754467e-06,1.9002087314618005e-09
3.316329615300678e-06,2.1781408252957977e-09
3.259816259113151e-06,2.0055971087910684e-09
3.2099362677910355e-06,1.9893157655223612e-09
3.1823168274484275e-06,1.8612195944006963e-09
3.1511042169150995e-06,2.036282884661384e-09
3.173126730446661e-06,2.103326655108501e-09
3.1785809349733163e-06,2.0150031178301018e-09
3.3254687694417614e-06,2.067116455420458e-09
3.3435910896907683e-06,2.1594589821672073e-09
3.356533644694319e-06,2.0355458856241667e-09
3.4128127282715013e-06,1.9251051972284394e-09
3.254787579243632e-06,1.9619490624123848e-09
3.1536927492138735e-06,1.931728556080248e-09
3.2690710769171265e-06,1.9741612154870728e-09
3.2471783884385686e-06,1.8568382487430528e-09
3.1990047502806642e-06,1.9696429806799684e-09
3.352232896581095e-06,1.9447449434195296e-09
3.299429832840763e-06,1.898353048267845e-09
3.3850480099900246e-06,2.1544915506950523e-09
3.3135624896119628e-06,2.0799357443147455e-09
3.31559544401872e-06,2.041415221110829e-09
3.4413343755792323e-06,2.0304894216525323e-09
3.309936036936886e-06,1.9862879343725465e-09
3.408556086630178e-06,2.0087973629766534e-09
3.3248938436685355e-06,2.1389136544315034e-09
3.4134887027726553e-06,2.027606441955545e-09
3.1725426661766717e-06,2.047034147864716e-09
3.0864494848728214e-06,1.866254644816495e-09
3.174479890274457e-06,1.975402308814344e-09
3.414475751446886e-06,2.1407648373430053e-09
3.204885987301195e-06,2.0205647133822294e-09
3.2302516302869298e-06,1.842609734704616e-09
3.274642966122863e-06,2.129354171875589e-09
3.2454012463303966e-06,1.9974859939480607e-09
3.308832244752144e-06,2.0291674720189337e-09
3.1851100239967836e-06,1.9906219057702305e-09
3.3487246522952586e-06,1.9469810001865687e-09
3.2600316172371882e-06,1.919580603263963e-09
3.50668696128502e-06,2.1301144068441354e-09
3.2536846049981575e-06,2.0343032911207283e-09
3.2128011265757592e-06,1.9562391545130838e-09
3.2168235582357987e-06,2.0144200962169484e-09
3.2228234414681522e-06,1.9121879314128037e-09
3.2785094699430462e-06,2.0189545767990944e-09
3.2314176272451074e-06,1.9857707505991882e-09
3.2227019468269123e-06,1.917343840905693e-09
3.2040796746952172e-06,2.031219376833669e-09
3.3398580599032065e-06,2.0099530485671294e-09
3.245627902455237e-06,1.9419625245745245e-09
3.137536858394007e-06,1.8460856227907615e-09
3.222205530154058e-06,2.0817659090611133e-09
3.325825531357853e-06,1.9780811959949174e-09
3.1661539472946453e-06,2.092724557207651e-09
3.263365510201007e-06,1.9554422459813704e-09
3.1028286975133274e-06,1.9042427008263183e-09
3.2442492600942004e-06,2.094537041109355e-09
3.081128145061995e-06,1.9486044555399535e-09
3.1226180768467025e-06,1.8948010244955336e-09
3.247915257815909e-06,2.0267881831964446e-09
3.274731425477513e-06,1.969630964816951e-09
3.3278814876878465e-06,2.0496003891955142e-09
3.1854932220206414e-06,1.961183894938489e-09
3.129773520696228e-06,2.0195962823988774e-09
3.2711194482823476e-06,2.062841517702e-09
3.2250090977454118e-06,1.9118783969319314e-09
3.1973970493649444e-06,2.027768536848552e-09
3.2772790063143558e-06,2.0352110797349555e-09
3.201871987800723e-06,1.9159898836825977e-09
3.122811410999219e-06,1.9806058029765165e-09
3.2187888024030935e-06,1.9078773293884175e-09
