Sig,Std Dev
3.1459199798205e-06,1.9421176780518274e-09
3.3529435601285904e-06,2.038674001240021e-09
3.2499311867072427e-06,2.1388006825841414e-09
3.4264556056928437e-06,2.093000529521142e-09
3.2476875528059197e-06,1.9895889065690457e-09
3.4109354678353526e-06,2.1368976064728463e-09
3.3847644284417695e-06,2.067978996459985e-09
3.268071706343098e-06,1.905480734756317e-09
3.393208324472482e-06,2.0438502543829726e-09
3.4021159061319803e-06,2.119754429375633e-09
3.339543691852898e-06,2.0488942046163267e-09
3.46994347826708e-06,2.0586617603176497e-09
3.5882217896387653e-06,2.2031808625811984e-09
3.4214663714496837e-06,2.1246078390644253e-09
3.73262004451738e-06,2.196644472215481e-09
3.442258546255641e-06,2.0989158340233365e-09
3.5803533445412416e-06,2.184170257207829e-09
3.5118880053411707e-06,2.1828515889890108e-09
3.4611512442501485e-06,2.1786090836208274e-09
3.6162983717941266e-06,2.2155282309863813e-09
3.4894783682661425e-06,2.0969565866253977e-09
3.4396310060137203e-06,2.0462165294125757e-09
3.328122140706661e-06,2.149752178742956e-09
3.4221571231181056e-06,2.0897950349885653e-09
3.365701264763637e-06,2.080039403884807e-09
3.4291562721023206e-06,1.9945977257814514e-09
3.581547450177526e-06,2.211397619604087e-09
3.3556833898000426e-06,1.9520265169096513e-09
3.472033545076297e-06,2.0554131313421673e-09
3.3578999044041136e-06,2.0174887394186314e-09
3.251757009788724e-06,1.970961722275482e-09
3.3895902128844208e-06,1.993249032964883e-09
3.0492167102901166e-06,1.8445961865268603e-09
2.9554936515096007e-06,1.864463226312713e-09
3.1651265962595427e-06,1.9888118631173256e-09
3.0855764891711645e-06,1.8607580423342812e-09
2.852974582399368e-06,1.7576548851752593e-09
2.999657988282838e-06,1.8339206406239768e-09
2.9327991610007e-06,1.877582137636924e-09
2.736532987010352e-06,1.620078682465864e-09
2.918200313024171e-06,1.7048320524735139e-09
3.013676156390949e-06,1.8208080895384324e-09
2.9821769683883666e-06,1.8075313053428672e-09
2.89065067533855e-06,1.7876656369893592e-09
2.9151461018025155e-06,1.7542514694985155e-09
2.75708247517585e-06,1.6353945135311889e-09
3.113412477541411e-06,1.9286242021545842e-09
3.041547677093044e-06,1.8091645081670224e-09
3.0498228706253383e-06,1.846995712790028e-09
3.19549742399949e-06,1.9211837038462804e-09
3.0021227474989838e-06,1.7901386365045871e-09
3.0025172650831137e-06,1.862656547811814e-09
2.9146299085958585e-06,1.7517758116474589e-09
2.7901295390486734e-06,1.6616826542557386e-09
2.7846760021670143e-06,1.7110262241857888e-09
2.7830733819097773e-06,1.8286528605254332e-09
2.6938250772043287e-06,1.6266124604417103e-09
2.6554241959771307e-06,1.7033911173617882e-09
2.6260007592102406e-06,1.6240286181329891e-09
2.6658870228828454e-06,1.5866108555814736e-09
2.5997581933851666e-06,1.6008211275258175e-09
2.734812432782014e-06,1.5974447349874522e-09
2.7963970930269085e-06,1.6941544647392137e-09
2.8850448800880614e-06,1.8076026414114733e-09
2.712674713639638e-06,1.7447084986724006e-09
2.7808960911274266e-06,1.6695393376540206e-09
2.9010167251012817e-06,1.7125859297905856e-09
2.850115542617368e-06,1.8305686673741533e-09
2.905281923192342e-06,1.7960160918901072e-09
