Sig,Std Dev
5.0571224419757884e-05,6.824665203746879e-09
5.480729065470615e-05,7.567757427426843e-09
5.556489511035698e-05,8.268797226546396e-09
5.543927851967425e-05,7.0107831181957535e-09
5.9462541824907004e-05,9.53940097463438e-09
4.6807511893677085e-05,6.72963017169725e-09
4.462750682530737e-05,6.738858427459826e-09
5.8985934007123256e-05,9.156800043234553e-09
6.755190432603329e-05,8.129240682251834e-09
6.59384508814939e-05,7.792678161448497e-09
6.612260990168234e-05,7.90524931643186e-09
6.707713253994626e-05,7.541981854722138e-09
6.887604751652042e-05,7.757233136282595e-09
7.234925348447849e-05,8.710592971863283e-09
7.158708197475014e-05,7.926824719958577e-09
7.074201795124328e-05,7.460005181251806e-09
7.324586911567203e-05,9.638344915411674e-09
6.96980493271842e-05,8.367779823846467e-09
7.474438467636352e-05,8.172494963157813e-09
8.231098821872403e-05,9.196076097970696e-09
9.156428686893989e-05,9.271502790788375e-09
8.412319077113747e-05,1.2018150996577792e-08
9.159376268183792e-05,1.0294812827605893e-08
0.00010809108289817528,1.0860639567581508e-08
0.00011331581083628709,1.2315606606916244e-08
0.00011103365375641191,1.2937868355174342e-08
0.00011660002319110332,1.2069966776708995e-08
0.00012775391083976544,1.2895049298388803e-08
0.00013971393641068922,1.517129107961385e-08
0.0001521939711496923,1.7080668527740995e-08
0.00017021915728821662,1.7609219042438858e-08
0.0001685175510921071,1.749042878939333e-08
0.0001765390399735592,1.7933827921007287e-08
0.00016891227922737891,1.849689947186848e-08
0.00017020724630256007,1.787177218012201e-08
0.0001692024038002647,1.605034251323748e-08
0.00015663135103523198,1.5577264038095554e-08
0.00014404122637042444,1.536367804643828e-08
0.00013460449236855988,1.342969887290219e-08
0.0001247686045653253,1.2266323696570659e-08
0.00011034097690573344,1.1026468553831666e-08
0.00010055229436891836,1.1081189237386444e-08
8.997893812220807e-05,1.0276560209575718e-08
8.386416107493338e-05,9.381274813026835e-09
7.81631947741473e-05,8.5745530984379e-09
7.78100981294899e-05,8.539755545637482e-09
7.221137645932891e-05,8.809916926063167e-09
6.635465973319813e-05,7.579751988869429e-09
6.39912834613511e-05,6.475051276621103e-09
5.7547834464857005e-05,6.613936017953369e-09
5.4622154016982964e-05,6.439940208450506e-09
5.083967726698375e-05,6.164720042888004e-09
4.770002293549098e-05,5.911066354636115e-09
4.479990305068129e-05,6.073330491199786e-09
4.246787836578348e-05,5.231647322690444e-09
4.17224878404879e-05,6.048787395057578e-09
4.3186278563688565e-05,5.263069407755879e-09
3.9839618274983507e-05,5.74831272492188e-09
3.563704243044137e-05,4.784832974812331e-09
3.692996185439676e-05,5.01415623651362e-09
3.8946659815296e-05,5.366216305802052e-09
3.972163935324565e-05,5.494157293459904e-09
4.027638056152956e-05,5.876187413116704e-09
3.933120981001963e-05,4.9113744218025134e-09
4.064970426226782e-05,5.513830217050265e-09
3.707040043942787e-05,5.844218531980292e-09
3.927616902391466e-05,5.788652931662879e-09
4.143925116974009e-05,7.384895996269885e-09
3.8013970532391985e-05,5.646859138436864e-09
