Sig,Std Dev
1.4899986910684261e-05,2.0543256602073105e-09
1.54044676960572e-05,2.6434995338664308e-09
1.3164454204192566e-05,1.8814910625381645e-09
1.532169478861511e-05,1.920956322318805e-09
1.4856662782172925e-05,2.3677618777278294e-09
1.091216892159143e-05,2.0072423478365167e-09
1.5208598911607065e-05,2.54584452284814e-09
1.653531153928387e-05,2.4986012310544133e-09
1.3207481381011659e-05,3.055757223637259e-09
1.7236280927099433e-05,2.6319261443999244e-09
1.6921003250726544e-05,2.6251294521080647e-09
2.009866089023385e-05,2.4818200435135144e-09
1.6655212428407224e-05,2.90933705148347e-09
1.8391503364909505e-05,2.4511979933006627e-09
1.957368668329665e-05,2.3548763296481203e-09
1.5369709602031328e-05,2.705479476236623e-09
1.1870439322798677e-05,2.6027021731694034e-09
1.3202786731114684e-05,2.8423187493332595e-09
1.1570777831815846e-05,1.8074227606403059e-09
1.785522279631304e-05,3.196017535593596e-09
1.3701405956716009e-05,2.365759506645061e-09
2.0657048501121738e-05,2.684487660772329e-09
1.557368071267625e-05,3.1165095250039927e-09
1.9237869729402205e-05,2.9369576309608002e-09
1.391432359017576e-05,2.9709528169313524e-09
1.3526866222262109e-05,3.4119630159880604e-09
1.553522184068946e-05,3.221161741559555e-09
1.7281666863822775e-05,2.9191524446507394e-09
2.1074301879296885e-05,2.3860847855002265e-09
1.282494683663296e-05,2.809414593590331e-09
1.751705431990505e-05,2.9098876570604136e-09
1.731095806186638e-05,2.840827197693338e-09
1.3161267738390669e-05,2.760298732143857e-09
1.4993238992095467e-05,2.4980161262987145e-09
1.5569455170483037e-05,2.155745227569578e-09
1.3173260968311e-05,3.274208774318625e-09
1.8050957715570987e-05,1.908762268228986e-09
1.3983988103264247e-05,3.744378607706004e-09
1.2741756082331665e-05,3.4072891233618414e-09
1.4419192688651802e-05,2.49961480346726e-09
1.5068464904264175e-05,2.2497258224854344e-09
2.157895302819898e-05,2.84400990514635e-09
1.5720285117726936e-05,3.238421231311892e-09
2.4612287515232716e-05,5.07119165222997e-09
1.4694091460335641e-05,2.7116164452262273e-09
1.371515090987186e-05,3.034324303178797e-09
1.782697351296941e-05,3.858170666066723e-09
1.6334672805144357e-05,2.8443563148901667e-09
2.1335757737554246e-05,2.630075492305192e-09
1.4326932738289215e-05,3.88998580012275e-09
1.3763072937969819e-05,2.1801715304619096e-09
1.4718755122900067e-05,2.0818470526282556e-09
1.0775058240878221e-05,2.8361701507493435e-09
1.3645816500343668e-05,2.1453487092059336e-09
1.9189952919315445e-05,2.69893767587326e-09
2.1882157876505002e-05,3.300193836243731e-09
1.1611452946489626e-05,2.8048987243993896e-09
1.1326310527709603e-05,3.5346759282858323e-09
1.1458128245496289e-05,2.4067809182423564e-09
1.3999627201051504e-05,2.4983598279480237e-09
1.654624752282964e-05,3.1783625034163214e-09
1.585792082437489e-05,2.1849359314498722e-09
1.4956598703040966e-05,2.3440396126546466e-09
1.9325726029478977e-05,2.7599295263934158e-09
1.761939320223833e-05,3.3949601515017903e-09
1.604679753770887e-05,2.948396744711373e-09
1.5540776749847023e-05,2.7672744692515475e-09
1.5051598109465484e-05,1.8947114072368725e-09
1.4766730784685833e-05,2.9606983586964664e-09
1.5991878827803976e-05,3.2084237027901293e-09
1.7845536288380314e-05,2.8629790265900567e-09
1.4442029916888528e-05,3.747780788865112e-09
1.644089552471759e-05,3.444836829800116e-09
1.2488113402741173e-05,4.874692058398371e-09
1.9505703574907018e-05,3.1248738266415442e-09
