Trace2,,,
Freq,,Amp,
2000000000,Hz,-73.665, dBm
2000833333,Hz,-73.684, dBm
2001666666,Hz,-73.667, dBm
2002499999,Hz,-73.67, dBm
2003333332,Hz,-73.682, dBm
2004166665,Hz,-73.682, dBm
2004999998,Hz,-73.674, dBm
2005833331,Hz,-73.677, dBm
2006666664,Hz,-73.704, dBm
2007499997,Hz,-73.694, dBm
2008333330,Hz,-73.697, dBm
2009166663,Hz,-73.701, dBm
2009999996,Hz,-73.69, dBm
2010833329,Hz,-73.714, dBm
2011666662,Hz,-73.702, dBm
2012499995,Hz,-73.703, dBm
2013333328,Hz,-73.704, dBm
2014166661,Hz,-73.709, dBm
2014999994,Hz,-73.703, dBm
2015833327,Hz,-73.714, dBm
2016666660,Hz,-73.702, dBm
2017499993,Hz,-73.709, dBm
2018333326,Hz,-73.715, dBm
2019166659,Hz,-73.716, dBm
2019999992,Hz,-73.717, dBm
2020833325,Hz,-73.721, dBm
2021666658,Hz,-73.707, dBm
2022499991,Hz,-73.712, dBm
2023333324,Hz,-73.704, dBm
2024166657,Hz,-73.713, dBm
2024999990,Hz,-73.715, dBm
2025833323,Hz,-73.714, dBm
2026666656,Hz,-73.714, dBm
2027499989,Hz,-73.708, dBm
2028333322,Hz,-73.714, dBm
2029166655,Hz,-73.726, dBm
2029999988,Hz,-73.715, dBm
2030833321,Hz,-73.7, dBm
2031666654,Hz,-73.695, dBm
2032499987,Hz,-73.705, dBm
2033333320,Hz,-73.703, dBm
2034166653,Hz,-73.695, dBm
2034999986,Hz,-73.72, dBm
2035833319,Hz,-73.724, dBm
2036666652,Hz,-73.733, dBm
2037499985,Hz,-73.739, dBm
2038333318,Hz,-73.723, dBm
2039166651,Hz,-73.723, dBm
2039999984,Hz,-73.727, dBm
2040833317,Hz,-73.714, dBm
2041666650,Hz,-73.711, dBm
2042499983,Hz,-73.691, dBm
2043333316,Hz,-73.698, dBm
2044166649,Hz,-73.688, dBm
2044999982,Hz,-73.681, dBm
2045833315,Hz,-73.684, dBm
2046666648,Hz,-73.662, dBm
2047499981,Hz,-73.673, dBm
2048333314,Hz,-73.65, dBm
2049166647,Hz,-73.654, dBm
2049999980,Hz,-73.637, dBm
2050833313,Hz,-73.651, dBm
2051666646,Hz,-73.635, dBm
2052499979,Hz,-73.635, dBm
2053333312,Hz,-73.606, dBm
2054166645,Hz,-73.612, dBm
2054999978,Hz,-73.6, dBm
2055833311,Hz,-73.591, dBm
2056666644,Hz,-73.585, dBm
2057499977,Hz,-73.573, dBm
2058333310,Hz,-73.558, dBm
2059166643,Hz,-73.558, dBm
2059999976,Hz,-73.547, dBm
2060833309,Hz,-73.548, dBm
2061666642,Hz,-73.541, dBm
2062499975,Hz,-73.532, dBm
2063333308,Hz,-73.525, dBm
2064166641,Hz,-73.515, dBm
2064999974,Hz,-73.517, dBm
2065833307,Hz,-73.497, dBm
2066666640,Hz,-73.487, dBm
2067499973,Hz,-73.473, dBm
2068333306,Hz,-73.486, dBm
2069166639,Hz,-73.484, dBm
2069999972,Hz,-73.46, dBm
2070833305,Hz,-73.451, dBm
2071666638,Hz,-73.428, dBm
2072499971,Hz,-73.432, dBm
2073333304,Hz,-73.437, dBm
2074166637,Hz,-73.423, dBm
2074999970,Hz,-73.415, dBm
2075833303,Hz,-73.4, dBm
2076666636,Hz,-73.405, dBm
2077499969,Hz,-73.38, dBm
2078333302,Hz,-73.369, dBm
2079166635,Hz,-73.38, dBm
2079999968,Hz,-73.36, dBm
2080833301,Hz,-73.35, dBm
2081666634,Hz,-73.337, dBm
2082499967,Hz,-73.341, dBm
2083333300,Hz,-73.336, dBm
2084166633,Hz,-73.322, dBm
2084999966,Hz,-73.323, dBm
2085833299,Hz,-73.307, dBm
2086666632,Hz,-73.294, dBm
2087499965,Hz,-73.293, dBm
2088333298,Hz,-73.289, dBm
2089166631,Hz,-73.282, dBm
2089999964,Hz,-73.256, dBm
2090833297,Hz,-73.26, dBm
2091666630,Hz,-73.259, dBm
2092499963,Hz,-73.24, dBm
2093333296,Hz,-73.235, dBm
2094166629,Hz,-73.224, dBm
2094999962,Hz,-73.23, dBm
2095833295,Hz,-73.22, dBm
2096666628,Hz,-73.217, dBm
2097499961,Hz,-73.211, dBm
2098333294,Hz,-73.198, dBm
2099166627,Hz,-73.191, dBm
2099999960,Hz,-73.169, dBm
2100833293,Hz,-73.167, dBm
2101666626,Hz,-73.168, dBm
2102499959,Hz,-73.162, dBm
2103333292,Hz,-73.17, dBm
2104166625,Hz,-73.138, dBm
2104999958,Hz,-73.145, dBm
2105833291,Hz,-73.134, dBm
2106666624,Hz,-73.14, dBm
2107499957,Hz,-73.136, dBm
2108333290,Hz,-73.119, dBm
2109166623,Hz,-73.116, dBm
2109999956,Hz,-73.106, dBm
2110833289,Hz,-73.11, dBm
2111666622,Hz,-73.085, dBm
2112499955,Hz,-73.085, dBm
2113333288,Hz,-73.078, dBm
2114166621,Hz,-73.071, dBm
2114999954,Hz,-73.062, dBm
2115833287,Hz,-73.067, dBm
2116666620,Hz,-73.053, dBm
2117499953,Hz,-73.05, dBm
2118333286,Hz,-73.055, dBm
2119166619,Hz,-73.052, dBm
2119999952,Hz,-73.058, dBm
2120833285,Hz,-73.03, dBm
2121666618,Hz,-73.027, dBm
2122499951,Hz,-73.017, dBm
2123333284,Hz,-73.026, dBm
2124166617,Hz,-73.028, dBm
2124999950,Hz,-73.015, dBm
2125833283,Hz,-73.004, dBm
2126666616,Hz,-73.003, dBm
2127499949,Hz,-72.993, dBm
2128333282,Hz,-73.007, dBm
2129166615,Hz,-72.999, dBm
2129999948,Hz,-73.009, dBm
2130833281,Hz,-72.996, dBm
2131666614,Hz,-73.017, dBm
2132499947,Hz,-73.016, dBm
2133333280,Hz,-73.017, dBm
2134166613,Hz,-73.021, dBm
2134999946,Hz,-73.041, dBm
2135833279,Hz,-73.038, dBm
2136666612,Hz,-73.035, dBm
2137499945,Hz,-73.029, dBm
2138333278,Hz,-73.04, dBm
2139166611,Hz,-73.067, dBm
2139999944,Hz,-73.065, dBm
2140833277,Hz,-73.068, dBm
2141666610,Hz,-73.064, dBm
2142499943,Hz,-73.069, dBm
2143333276,Hz,-73.069, dBm
2144166609,Hz,-73.069, dBm
2144999942,Hz,-73.081, dBm
2145833275,Hz,-73.072, dBm
2146666608,Hz,-73.085, dBm
2147499941,Hz,-73.086, dBm
2148333274,Hz,-73.1, dBm
2149166607,Hz,-73.092, dBm
2149999940,Hz,-73.081, dBm
2150833273,Hz,-73.092, dBm
2151666606,Hz,-73.085, dBm
2152499939,Hz,-73.093, dBm
2153333272,Hz,-73.094, dBm
2154166605,Hz,-73.099, dBm
2154999938,Hz,-73.111, dBm
2155833271,Hz,-73.107, dBm
2156666604,Hz,-73.107, dBm
2157499937,Hz,-73.12, dBm
2158333270,Hz,-73.11, dBm
2159166603,Hz,-73.118, dBm
2159999936,Hz,-73.114, dBm
2160833269,Hz,-73.105, dBm
2161666602,Hz,-73.117, dBm
2162499935,Hz,-73.12, dBm
2163333268,Hz,-73.125, dBm
2164166601,Hz,-73.117, dBm
2164999934,Hz,-73.122, dBm
2165833267,Hz,-73.118, dBm
2166666600,Hz,-73.125, dBm
2167499933,Hz,-73.115, dBm
2168333266,Hz,-73.119, dBm
2169166599,Hz,-73.123, dBm
2169999932,Hz,-73.118, dBm
2170833265,Hz,-73.114, dBm
2171666598,Hz,-73.105, dBm
2172499931,Hz,-73.119, dBm
2173333264,Hz,-73.113, dBm
2174166597,Hz,-73.121, dBm
2174999930,Hz,-73.108, dBm
2175833263,Hz,-73.122, dBm
2176666596,Hz,-73.109, dBm
2177499929,Hz,-73.108, dBm
2178333262,Hz,-73.109, dBm
2179166595,Hz,-73.122, dBm
2179999928,Hz,-73.112, dBm
2180833261,Hz,-73.107, dBm
2181666594,Hz,-73.106, dBm
2182499927,Hz,-73.106, dBm
2183333260,Hz,-73.107, dBm
2184166593,Hz,-73.112, dBm
2184999926,Hz,-73.102, dBm
2185833259,Hz,-73.107, dBm
2186666592,Hz,-73.094, dBm
2187499925,Hz,-73.1, dBm
2188333258,Hz,-73.094, dBm
2189166591,Hz,-73.096, dBm
2189999924,Hz,-73.092, dBm
2190833257,Hz,-73.086, dBm
2191666590,Hz,-73.081, dBm
2192499923,Hz,-73.07, dBm
2193333256,Hz,-73.064, dBm
2194166589,Hz,-73.061, dBm
2194999922,Hz,-73.064, dBm
2195833255,Hz,-73.048, dBm
2196666588,Hz,-73.051, dBm
2197499921,Hz,-73.058, dBm
2198333254,Hz,-73.056, dBm
2199166587,Hz,-73.04, dBm
2199999920,Hz,-73.037, dBm
2200833253,Hz,-73.031, dBm
2201666586,Hz,-73.034, dBm
2202499919,Hz,-73.028, dBm
2203333252,Hz,-73.039, dBm
2204166585,Hz,-73.03, dBm
2204999918,Hz,-73.029, dBm
2205833251,Hz,-73.02, dBm
2206666584,Hz,-73.016, dBm
2207499917,Hz,-73.013, dBm
2208333250,Hz,-73.015, dBm
2209166583,Hz,-73.012, dBm
2209999916,Hz,-73.019, dBm
2210833249,Hz,-72.995, dBm
2211666582,Hz,-72.994, dBm
2212499915,Hz,-73.002, dBm
2213333248,Hz,-72.993, dBm
2214166581,Hz,-72.985, dBm
2214999914,Hz,-72.998, dBm
2215833247,Hz,-72.973, dBm
2216666580,Hz,-72.972, dBm
2217499913,Hz,-72.959, dBm
2218333246,Hz,-72.956, dBm
2219166579,Hz,-72.968, dBm
2219999912,Hz,-72.957, dBm
2220833245,Hz,-72.957, dBm
2221666578,Hz,-72.948, dBm
2222499911,Hz,-72.947, dBm
2223333244,Hz,-72.94, dBm
2224166577,Hz,-72.929, dBm
2224999910,Hz,-72.932, dBm
2225833243,Hz,-72.93, dBm
2226666576,Hz,-72.926, dBm
2227499909,Hz,-72.908, dBm
2228333242,Hz,-72.921, dBm
2229166575,Hz,-72.895, dBm
2229999908,Hz,-72.9, dBm
2230833241,Hz,-72.889, dBm
2231666574,Hz,-72.88, dBm
2232499907,Hz,-72.891, dBm
2233333240,Hz,-72.891, dBm
2234166573,Hz,-72.889, dBm
2234999906,Hz,-72.877, dBm
2235833239,Hz,-72.896, dBm
2236666572,Hz,-72.876, dBm
2237499905,Hz,-72.868, dBm
2238333238,Hz,-72.865, dBm
2239166571,Hz,-72.856, dBm
2239999904,Hz,-72.85, dBm
2240833237,Hz,-72.838, dBm
2241666570,Hz,-72.834, dBm
2242499903,Hz,-72.838, dBm
2243333236,Hz,-72.834, dBm
2244166569,Hz,-72.818, dBm
2244999902,Hz,-72.813, dBm
2245833235,Hz,-72.808, dBm
2246666568,Hz,-72.811, dBm
2247499901,Hz,-72.782, dBm
2248333234,Hz,-72.785, dBm
2249166567,Hz,-72.787, dBm
2249999900,Hz,-72.773, dBm
2250833233,Hz,-72.874, dBm
2251666566,Hz,-72.863, dBm
2252499899,Hz,-72.867, dBm
2253333232,Hz,-72.87, dBm
2254166565,Hz,-72.867, dBm
2254999898,Hz,-72.863, dBm
2255833231,Hz,-72.859, dBm
2256666564,Hz,-72.853, dBm
2257499897,Hz,-72.854, dBm
2258333230,Hz,-72.871, dBm
2259166563,Hz,-72.878, dBm
2259999896,Hz,-72.873, dBm
2260833229,Hz,-72.86, dBm
2261666562,Hz,-72.866, dBm
2262499895,Hz,-72.854, dBm
2263333228,Hz,-72.867, dBm
2264166561,Hz,-72.857, dBm
2264999894,Hz,-72.855, dBm
2265833227,Hz,-72.859, dBm
2266666560,Hz,-72.863, dBm
2267499893,Hz,-72.876, dBm
2268333226,Hz,-72.877, dBm
2269166559,Hz,-72.889, dBm
2269999892,Hz,-72.873, dBm
2270833225,Hz,-72.889, dBm
2271666558,Hz,-72.894, dBm
2272499891,Hz,-72.88, dBm
2273333224,Hz,-72.897, dBm
2274166557,Hz,-72.888, dBm
2274999890,Hz,-72.911, dBm
2275833223,Hz,-72.917, dBm
2276666556,Hz,-72.912, dBm
2277499889,Hz,-72.916, dBm
2278333222,Hz,-72.914, dBm
2279166555,Hz,-72.925, dBm
2279999888,Hz,-72.941, dBm
2280833221,Hz,-72.949, dBm
2281666554,Hz,-72.945, dBm
2282499887,Hz,-72.957, dBm
2283333220,Hz,-72.957, dBm
2284166553,Hz,-72.972, dBm
2284999886,Hz,-72.966, dBm
2285833219,Hz,-72.962, dBm
2286666552,Hz,-72.972, dBm
2287499885,Hz,-72.98, dBm
2288333218,Hz,-72.972, dBm
2289166551,Hz,-72.99, dBm
2289999884,Hz,-72.986, dBm
2290833217,Hz,-72.997, dBm
2291666550,Hz,-73.008, dBm
2292499883,Hz,-73.001, dBm
2293333216,Hz,-72.994, dBm
2294166549,Hz,-73.007, dBm
2294999882,Hz,-73.007, dBm
2295833215,Hz,-73.007, dBm
2296666548,Hz,-73.026, dBm
2297499881,Hz,-73.006, dBm
2298333214,Hz,-73.027, dBm
2299166547,Hz,-73.022, dBm
2299999880,Hz,-73.027, dBm
2300833213,Hz,-73.026, dBm
2301666546,Hz,-73.048, dBm
2302499879,Hz,-73.036, dBm
2303333212,Hz,-73.041, dBm
2304166545,Hz,-73.044, dBm
2304999878,Hz,-73.033, dBm
2305833211,Hz,-73.04, dBm
2306666544,Hz,-73.052, dBm
2307499877,Hz,-73.051, dBm
2308333210,Hz,-73.062, dBm
2309166543,Hz,-73.046, dBm
2309999876,Hz,-73.059, dBm
2310833209,Hz,-73.054, dBm
2311666542,Hz,-73.055, dBm
2312499875,Hz,-73.066, dBm
2313333208,Hz,-73.056, dBm
2314166541,Hz,-73.059, dBm
2314999874,Hz,-73.075, dBm
2315833207,Hz,-73.072, dBm
2316666540,Hz,-73.074, dBm
2317499873,Hz,-73.067, dBm
2318333206,Hz,-73.076, dBm
2319166539,Hz,-73.07, dBm
2319999872,Hz,-73.065, dBm
2320833205,Hz,-73.077, dBm
2321666538,Hz,-73.086, dBm
2322499871,Hz,-73.078, dBm
2323333204,Hz,-73.07, dBm
2324166537,Hz,-73.092, dBm
2324999870,Hz,-73.081, dBm
2325833203,Hz,-73.067, dBm
2326666536,Hz,-73.098, dBm
2327499869,Hz,-73.085, dBm
2328333202,Hz,-73.089, dBm
2329166535,Hz,-73.082, dBm
2329999868,Hz,-73.081, dBm
2330833201,Hz,-73.088, dBm
2331666534,Hz,-73.084, dBm
2332499867,Hz,-73.09, dBm
2333333200,Hz,-73.104, dBm
2334166533,Hz,-73.1, dBm
2334999866,Hz,-73.088, dBm
2335833199,Hz,-73.098, dBm
2336666532,Hz,-73.099, dBm
2337499865,Hz,-73.097, dBm
2338333198,Hz,-73.094, dBm
2339166531,Hz,-73.093, dBm
2339999864,Hz,-73.093, dBm
2340833197,Hz,-73.1, dBm
2341666530,Hz,-73.103, dBm
