Trace2,
Freq,,Amp,,
          2000000000,Hz,               33.54,  uV,
          2000833333,Hz,               33.56,  uV,
          2001666666,Hz,               33.62,  uV,
          2002499999,Hz,               33.67,  uV,
          2003333332,Hz,               33.70,  uV,
          2004166665,Hz,               33.67,  uV,
          2004999998,Hz,               34.00,  uV,
          2005833331,Hz,               34.37,  uV,
          2006666664,Hz,               34.52,  uV,
          2007499997,Hz,               34.11,  uV,
          2008333330,Hz,               34.24,  uV,
          2009166663,Hz,               34.72,  uV,
          2009999996,Hz,               34.40,  uV,
          2010833329,Hz,               34.62,  uV,
          2011666662,Hz,               34.70,  uV,
          2012499995,Hz,               34.96,  uV,
          2013333328,Hz,               35.01,  uV,
          2014166661,Hz,               35.06,  uV,
          2014999994,Hz,               35.08,  uV,
          2015833327,Hz,               35.62,  uV,
          2016666660,Hz,               35.50,  uV,
          2017499993,Hz,               35.37,  uV,
          2018333326,Hz,               35.35,  uV,
          2019166659,Hz,               35.59,  uV,
          2019999992,Hz,               35.68,  uV,
          2020833325,Hz,               35.72,  uV,
          2021666658,Hz,               35.66,  uV,
          2022499991,Hz,               35.79,  uV,
          2023333324,Hz,               36.06,  uV,
          2024166657,Hz,               35.96,  uV,
          2024999990,Hz,               36.40,  uV,
          2025833323,Hz,               36.36,  uV,
          2026666656,Hz,               36.81,  uV,
          2027499989,Hz,               36.49,  uV,
          2028333322,Hz,               36.56,  uV,
          2029166655,Hz,               36.78,  uV,
          2029999988,Hz,               36.94,  uV,
          2030833321,Hz,               36.87,  uV,
          2031666654,Hz,               36.89,  uV,
          2032499987,Hz,               36.69,  uV,
          2033333320,Hz,               37.28,  uV,
          2034166653,Hz,               37.11,  uV,
          2034999986,Hz,               37.09,  uV,
          2035833319,Hz,               37.32,  uV,
          2036666652,Hz,               37.02,  uV,
          2037499985,Hz,               37.26,  uV,
          2038333318,Hz,               37.39,  uV,
          2039166651,Hz,               37.15,  uV,
          2039999984,Hz,               37.12,  uV,
          2040833317,Hz,               37.47,  uV,
          2041666650,Hz,               37.43,  uV,
          2042499983,Hz,               37.46,  uV,
          2043333316,Hz,               37.52,  uV,
          2044166649,Hz,               37.45,  uV,
          2044999982,Hz,               37.46,  uV,
          2045833315,Hz,               37.87,  uV,
          2046666648,Hz,               37.64,  uV,
          2047499981,Hz,               37.79,  uV,
          2048333314,Hz,               37.66,  uV,
          2049166647,Hz,               37.66,  uV,
          2049999980,Hz,               37.70,  uV,
          2050833313,Hz,               38.20,  uV,
          2051666646,Hz,               37.93,  uV,
          2052499979,Hz,               37.88,  uV,
          2053333312,Hz,               37.69,  uV,
          2054166645,Hz,               37.70,  uV,
          2054999978,Hz,               37.83,  uV,
          2055833311,Hz,               38.13,  uV,
          2056666644,Hz,               37.81,  uV,
          2057499977,Hz,               37.54,  uV,
          2058333310,Hz,               37.69,  uV,
          2059166643,Hz,               37.86,  uV,
          2059999976,Hz,               37.20,  uV,
          2060833309,Hz,               37.88,  uV,
          2061666642,Hz,               37.54,  uV,
          2062499975,Hz,               37.83,  uV,
          2063333308,Hz,               37.58,  uV,
          2064166641,Hz,               37.69,  uV,
          2064999974,Hz,               37.19,  uV,
          2065833307,Hz,               37.30,  uV,
          2066666640,Hz,               37.36,  uV,
          2067499973,Hz,               37.23,  uV,
          2068333306,Hz,               37.37,  uV,
          2069166639,Hz,               37.22,  uV,
          2069999972,Hz,               37.06,  uV,
          2070833305,Hz,               37.02,  uV,
          2071666638,Hz,               36.64,  uV,
          2072499971,Hz,               36.98,  uV,
          2073333304,Hz,               37.30,  uV,
          2074166637,Hz,               36.84,  uV,
          2074999970,Hz,               36.91,  uV,
          2075833303,Hz,               36.63,  uV,
          2076666636,Hz,               36.50,  uV,
          2077499969,Hz,               36.57,  uV,
          2078333302,Hz,               36.29,  uV,
          2079166635,Hz,               36.35,  uV,
          2079999968,Hz,               36.56,  uV,
          2080833301,Hz,               36.33,  uV,
          2081666634,Hz,               36.38,  uV,
          2082499967,Hz,               36.43,  uV,
          2083333300,Hz,               36.30,  uV,
          2084166633,Hz,               36.39,  uV,
          2084999966,Hz,               35.73,  uV,
          2085833299,Hz,               36.23,  uV,
          2086666632,Hz,               36.31,  uV,
          2087499965,Hz,               36.14,  uV,
          2088333298,Hz,               35.79,  uV,
          2089166631,Hz,               35.88,  uV,
          2089999964,Hz,               35.90,  uV,
          2090833297,Hz,               35.66,  uV,
          2091666630,Hz,               36.21,  uV,
          2092499963,Hz,               35.83,  uV,
          2093333296,Hz,               35.67,  uV,
          2094166629,Hz,               35.88,  uV,
          2094999962,Hz,               36.13,  uV,
          2095833295,Hz,               35.75,  uV,
          2096666628,Hz,               35.97,  uV,
          2097499961,Hz,               36.00,  uV,
          2098333294,Hz,               35.85,  uV,
          2099166627,Hz,               35.47,  uV,
          2099999960,Hz,               35.61,  uV,
          2100833293,Hz,               35.32,  uV,
          2101666626,Hz,               35.79,  uV,
          2102499959,Hz,               35.48,  uV,
          2103333292,Hz,               35.69,  uV,
          2104166625,Hz,               35.65,  uV,
          2104999958,Hz,               35.61,  uV,
          2105833291,Hz,               35.38,  uV,
          2106666624,Hz,               35.98,  uV,
          2107499957,Hz,               35.48,  uV,
          2108333290,Hz,               35.84,  uV,
          2109166623,Hz,               35.70,  uV,
          2109999956,Hz,               35.88,  uV,
          2110833289,Hz,               35.92,  uV,
          2111666622,Hz,               35.92,  uV,
          2112499955,Hz,               35.71,  uV,
          2113333288,Hz,               35.97,  uV,
          2114166621,Hz,               36.02,  uV,
          2114999954,Hz,               36.16,  uV,
