Date,Name,probe@sample mW,Filepath,Notes
21-9-9,0mW prs,20,Data/0/prs.csv,
,0mW pras,20,Data/0/pras.csv,
,55mW prs,20,Data/55/prs.csv,
,55mW pras,20,Data/55/pras.csv,
,110mW prs,20,Data/110/prs.csv,
,110mW pras,20,Data/110/pras.csv,
,165mW prs,20,Data/165/prs.csv,
,165mW pras,20,Data/165/pras.csv,
,0mW ps,0,Data/0/ps.csv,
,0mW pas,0,Data/0/pas.csv,
,55mW ps,0,Data/55/ps.csv,
,55mW pas,0,Data/55/pas.csv,
,110mW ps,0,Data/110/ps.csv,
,110mW pas,0,Data/110/pas.csv,
,165mW ps,0,Data/165/ps.csv,
,165mW pas,0,Data/165/pas.csv,
