Trace2,
Freq,,Amp,,
          1000000000,Hz,              -68.59, dBm,
          1000600000,Hz,              -69.35, dBm,
          1001200000,Hz,              -69.48, dBm,
          1001800000,Hz,              -69.47, dBm,
          1002400000,Hz,              -69.46, dBm,
          1003000000,Hz,              -69.49, dBm,
          1003600000,Hz,              -69.49, dBm,
          1004200000,Hz,              -69.48, dBm,
          1004800000,Hz,              -69.48, dBm,
          1005400000,Hz,              -69.46, dBm,
          1006000000,Hz,              -69.49, dBm,
          1006600000,Hz,              -69.47, dBm,
          1007200000,Hz,              -69.45, dBm,
          1007800000,Hz,              -69.45, dBm,
          1008400000,Hz,              -69.44, dBm,
          1009000000,Hz,              -69.46, dBm,
          1009600000,Hz,              -69.45, dBm,
          1010200000,Hz,              -69.46, dBm,
          1010800000,Hz,              -69.46, dBm,
          1011400000,Hz,              -69.45, dBm,
          1012000000,Hz,              -69.44, dBm,
          1012600000,Hz,              -69.46, dBm,
          1013200000,Hz,              -69.42, dBm,
          1013800000,Hz,              -69.43, dBm,
          1014400000,Hz,              -69.45, dBm,
          1015000000,Hz,              -69.44, dBm,
          1015600000,Hz,              -69.42, dBm,
          1016200000,Hz,              -69.44, dBm,
          1016800000,Hz,              -69.42, dBm,
          1017400000,Hz,              -69.43, dBm,
          1018000000,Hz,              -69.44, dBm,
          1018600000,Hz,              -69.43, dBm,
          1019200000,Hz,              -69.47, dBm,
          1019800000,Hz,              -69.43, dBm,
          1020400000,Hz,              -69.42, dBm,
          1021000000,Hz,              -69.47, dBm,
          1021600000,Hz,              -69.45, dBm,
          1022200000,Hz,              -69.45, dBm,
          1022800000,Hz,              -69.45, dBm,
          1023400000,Hz,              -69.41, dBm,
          1024000000,Hz,              -69.45, dBm,
          1024600000,Hz,              -69.42, dBm,
          1025200000,Hz,              -69.44, dBm,
          1025800000,Hz,              -69.45, dBm,
          1026400000,Hz,              -69.41, dBm,
          1027000000,Hz,              -69.44, dBm,
          1027600000,Hz,              -69.44, dBm,
          1028200000,Hz,              -69.44, dBm,
          1028800000,Hz,              -69.43, dBm,
          1029400000,Hz,              -69.45, dBm,
          1030000000,Hz,              -69.45, dBm,
          1030600000,Hz,              -69.43, dBm,
          1031200000,Hz,              -69.44, dBm,
          1031800000,Hz,              -69.44, dBm,
          1032400000,Hz,              -69.43, dBm,
          1033000000,Hz,              -69.45, dBm,
          1033600000,Hz,              -69.46, dBm,
          1034200000,Hz,              -69.45, dBm,
          1034800000,Hz,              -69.43, dBm,
          1035400000,Hz,              -69.43, dBm,
          1036000000,Hz,              -69.44, dBm,
          1036600000,Hz,              -69.42, dBm,
          1037200000,Hz,              -69.43, dBm,
          1037800000,Hz,              -69.44, dBm,
          1038400000,Hz,              -69.44, dBm,
          1039000000,Hz,              -69.43, dBm,
          1039600000,Hz,              -69.42, dBm,
          1040200000,Hz,              -69.40, dBm,
          1040800000,Hz,              -69.42, dBm,
          1041400000,Hz,              -69.44, dBm,
          1042000000,Hz,              -69.46, dBm,
          1042600000,Hz,              -69.44, dBm,
          1043200000,Hz,              -69.42, dBm,
          1043800000,Hz,              -69.42, dBm,
          1044400000,Hz,              -69.43, dBm,
          1045000000,Hz,              -69.44, dBm,
          1045600000,Hz,              -69.44, dBm,
          1046200000,Hz,              -69.43, dBm,
          1046800000,Hz,              -69.43, dBm,
          1047400000,Hz,              -69.41, dBm,
          1048000000,Hz,              -69.41, dBm,
          1048600000,Hz,              -69.41, dBm,
          1049200000,Hz,              -69.42, dBm,
          1049800000,Hz,              -69.41, dBm,
          1050400000,Hz,              -69.44, dBm,
          1051000000,Hz,              -69.42, dBm,
          1051600000,Hz,              -69.43, dBm,
          1052200000,Hz,              -69.39, dBm,
          1052800000,Hz,              -69.42, dBm,
          1053400000,Hz,              -69.44, dBm,
          1054000000,Hz,              -69.40, dBm,
          1054600000,Hz,              -69.41, dBm,
          1055200000,Hz,              -69.40, dBm,
          1055800000,Hz,              -69.40, dBm,
          1056400000,Hz,              -69.36, dBm,
          1057000000,Hz,              -69.40, dBm,
          1057600000,Hz,              -69.39, dBm,
          1058200000,Hz,              -69.37, dBm,
          1058800000,Hz,              -69.39, dBm,
          1059400000,Hz,              -69.38, dBm,
          1060000000,Hz,              -69.39, dBm,
          1060600000,Hz,              -69.37, dBm,
          1061200000,Hz,              -69.34, dBm,
          1061800000,Hz,              -69.34, dBm,
          1062400000,Hz,              -69.36, dBm,
          1063000000,Hz,              -69.36, dBm,
          1063600000,Hz,              -69.35, dBm,
          1064200000,Hz,              -69.35, dBm,
          1064800000,Hz,              -69.33, dBm,
          1065400000,Hz,              -69.32, dBm,
          1066000000,Hz,              -69.36, dBm,
          1066600000,Hz,              -69.31, dBm,
          1067200000,Hz,              -69.30, dBm,
          1067800000,Hz,              -69.30, dBm,
          1068400000,Hz,              -69.30, dBm,
          1069000000,Hz,              -69.29, dBm,
