Trace2,,,
Freq,,Amp,
2000000000,Hz,-53.894, dBm
2000833333,Hz,-53.902, dBm
2001666666,Hz,-53.928, dBm
2002499999,Hz,-53.92, dBm
2003333332,Hz,-53.93, dBm
2004166665,Hz,-53.94, dBm
2004999998,Hz,-53.942, dBm
2005833331,Hz,-53.936, dBm
2006666664,Hz,-53.938, dBm
2007499997,Hz,-53.95, dBm
2008333330,Hz,-53.95, dBm
2009166663,Hz,-53.962, dBm
2009999996,Hz,-53.966, dBm
2010833329,Hz,-53.972, dBm
2011666662,Hz,-53.948, dBm
2012499995,Hz,-53.964, dBm
2013333328,Hz,-53.988, dBm
2014166661,Hz,-53.966, dBm
2014999994,Hz,-53.972, dBm
2015833327,Hz,-53.978, dBm
2016666660,Hz,-53.98, dBm
2017499993,Hz,-53.982, dBm
2018333326,Hz,-53.976, dBm
2019166659,Hz,-53.986, dBm
2019999992,Hz,-53.99, dBm
2020833325,Hz,-54.002, dBm
2021666658,Hz,-54.004, dBm
2022499991,Hz,-53.986, dBm
2023333324,Hz,-53.988, dBm
2024166657,Hz,-53.988, dBm
2024999990,Hz,-53.996, dBm
2025833323,Hz,-54.01, dBm
2026666656,Hz,-54.01, dBm
2027499989,Hz,-53.996, dBm
2028333322,Hz,-54.01, dBm
2029166655,Hz,-54.03, dBm
2029999988,Hz,-54.002, dBm
2030833321,Hz,-54.004, dBm
2031666654,Hz,-54, dBm
2032499987,Hz,-54, dBm
2033333320,Hz,-53.984, dBm
2034166653,Hz,-53.992, dBm
2034999986,Hz,-54.006, dBm
2035833319,Hz,-53.996, dBm
2036666652,Hz,-53.996, dBm
2037499985,Hz,-54, dBm
2038333318,Hz,-53.976, dBm
2039166651,Hz,-53.99, dBm
2039999984,Hz,-54.01, dBm
2040833317,Hz,-53.966, dBm
2041666650,Hz,-53.964, dBm
2042499983,Hz,-53.96, dBm
2043333316,Hz,-53.954, dBm
2044166649,Hz,-53.954, dBm
2044999982,Hz,-53.936, dBm
2045833315,Hz,-53.936, dBm
2046666648,Hz,-53.922, dBm
2047499981,Hz,-53.908, dBm
2048333314,Hz,-53.892, dBm
2049166647,Hz,-53.908, dBm
2049999980,Hz,-53.902, dBm
2050833313,Hz,-53.89, dBm
2051666646,Hz,-53.856, dBm
2052499979,Hz,-53.826, dBm
2053333312,Hz,-53.826, dBm
2054166645,Hz,-53.81, dBm
2054999978,Hz,-53.822, dBm
2055833311,Hz,-53.808, dBm
2056666644,Hz,-53.806, dBm
2057499977,Hz,-53.792, dBm
2058333310,Hz,-53.756, dBm
2059166643,Hz,-53.75, dBm
2059999976,Hz,-53.762, dBm
2060833309,Hz,-53.752, dBm
2061666642,Hz,-53.724, dBm
2062499975,Hz,-53.706, dBm
2063333308,Hz,-53.688, dBm
2064166641,Hz,-53.67, dBm
2064999974,Hz,-53.674, dBm
2065833307,Hz,-53.658, dBm
2066666640,Hz,-53.662, dBm
2067499973,Hz,-53.63, dBm
2068333306,Hz,-53.618, dBm
2069166639,Hz,-53.628, dBm
2069999972,Hz,-53.57, dBm
2070833305,Hz,-53.586, dBm
2071666638,Hz,-53.562, dBm
2072499971,Hz,-53.546, dBm
2073333304,Hz,-53.556, dBm
2074166637,Hz,-53.522, dBm
2074999970,Hz,-53.516, dBm
2075833303,Hz,-53.494, dBm
2076666636,Hz,-53.484, dBm
2077499969,Hz,-53.486, dBm
2078333302,Hz,-53.466, dBm
2079166635,Hz,-53.442, dBm
2079999968,Hz,-53.426, dBm
2080833301,Hz,-53.41, dBm
2081666634,Hz,-53.374, dBm
2082499967,Hz,-53.39, dBm
2083333300,Hz,-53.37, dBm
2084166633,Hz,-53.334, dBm
2084999966,Hz,-53.342, dBm
2085833299,Hz,-53.304, dBm
2086666632,Hz,-53.304, dBm
2087499965,Hz,-53.302, dBm
2088333298,Hz,-53.28, dBm
2089166631,Hz,-53.26, dBm
2089999964,Hz,-53.232, dBm
2090833297,Hz,-53.23, dBm
2091666630,Hz,-53.23, dBm
2092499963,Hz,-53.198, dBm
2093333296,Hz,-53.178, dBm
2094166629,Hz,-53.172, dBm
2094999962,Hz,-53.16, dBm
2095833295,Hz,-53.148, dBm
2096666628,Hz,-53.128, dBm
2097499961,Hz,-53.094, dBm
2098333294,Hz,-53.12, dBm
2099166627,Hz,-53.088, dBm
2099999960,Hz,-53.06, dBm
2100833293,Hz,-53.06, dBm
2101666626,Hz,-53.03, dBm
2102499959,Hz,-53.008, dBm
2103333292,Hz,-53.01, dBm
2104166625,Hz,-52.988, dBm
2104999958,Hz,-53.002, dBm
2105833291,Hz,-52.974, dBm
2106666624,Hz,-52.968, dBm
2107499957,Hz,-52.946, dBm
