Freq,,Amp,,
"          2000000000",Hz,"              -54.15"," dBm",
"          2000833333",Hz,-54.164," dBm",
"          2001666666",Hz,-54.148," dBm",
"          2002499999",Hz,-54.162," dBm",
"          2003333332",Hz,-54.17," dBm",
"          2004166665",Hz,-54.178," dBm",
"          2004999998",Hz,-54.178," dBm",
"          2005833331",Hz,-54.188," dBm",
"          2006666664",Hz,-54.194," dBm",
"          2007499997",Hz,-54.20399999999999," dBm",
"          2008333330",Hz,-54.184000000000005," dBm",
"          2009166663",Hz,-54.206," dBm",
"          2009999996",Hz,-54.194," dBm",
"          2010833329",Hz,-54.181999999999995," dBm",
"          2011666662",Hz,-54.218," dBm",
"          2012499995",Hz,-54.220000000000006," dBm",
"          2013333328",Hz,-54.215999999999994," dBm",
"          2014166661",Hz,-54.23199999999999," dBm",
"          2014999994",Hz,-54.226," dBm",
"          2015833327",Hz,-54.248000000000005," dBm",
"          2016666660",Hz,-54.25599999999999," dBm",
"          2017499993",Hz,-54.234," dBm",
"          2018333326",Hz,-54.242000000000004," dBm",
"          2019166659",Hz,-54.251999999999995," dBm",
"          2019999992",Hz,-54.260000000000005," dBm",
"          2020833325",Hz,-54.246," dBm",
"          2021666658",Hz,-54.260000000000005," dBm",
"          2022499991",Hz,-54.254," dBm",
"          2023333324",Hz,-54.288," dBm",
"          2024166657",Hz,-54.261999999999986," dBm",
"          2024999990",Hz,-54.272000000000006," dBm",
"          2025833323",Hz,-54.286," dBm",
"          2026666656",Hz,-54.282," dBm",
"          2027499989",Hz,-54.29600000000001," dBm",
"          2028333322",Hz,-54.29," dBm",
"          2029166655",Hz,-54.282000000000004," dBm",
"          2029999988",Hz,-54.29600000000001," dBm",
"          2030833321",Hz,-54.28399999999999," dBm",
"          2031666654",Hz,-54.272000000000006," dBm",
"          2032499987",Hz,-54.294," dBm",
"          2033333320",Hz,-54.28000000000001," dBm",
"          2034166653",Hz,-54.291999999999994," dBm",
"          2034999986",Hz,-54.278," dBm",
"          2035833319",Hz,-54.282000000000004," dBm",
"          2036666652",Hz,-54.284000000000006," dBm",
"          2037499985",Hz,-54.278," dBm",
"          2038333318",Hz,-54.278," dBm",
"          2039166651",Hz,-54.275999999999996," dBm",
"          2039999984",Hz,-54.266000000000005," dBm",
"          2040833317",Hz,-54.3," dBm",
"          2041666650",Hz,-54.279999999999994," dBm",
"          2042499983",Hz,-54.274," dBm",
"          2043333316",Hz,-54.262," dBm",
"          2044166649",Hz,-54.263999999999996," dBm",
"          2044999982",Hz,-54.254000000000005," dBm",
"          2045833315",Hz,-54.239999999999995," dBm",
"          2046666648",Hz,-54.227999999999994," dBm",
"          2047499981",Hz,-54.226," dBm",
"          2048333314",Hz,-54.217999999999996," dBm",
"          2049166647",Hz,-54.222," dBm",
"          2049999980",Hz,-54.2," dBm",
"          2050833313",Hz,-54.2," dBm",
"          2051666646",Hz,-54.2," dBm",
"          2052499979",Hz,-54.194," dBm",
"          2053333312",Hz,-54.166," dBm",
"          2054166645",Hz,-54.166," dBm",
"          2054999978",Hz,-54.156000000000006," dBm",
"          2055833311",Hz,-54.128," dBm",
"          2056666644",Hz,-54.13199999999999," dBm",
"          2057499977",Hz,-54.112," dBm",
"          2058333310",Hz,-54.134," dBm",
"          2059166643",Hz,-54.129999999999995," dBm",
"          2059999976",Hz,-54.09400000000001," dBm",
"          2060833309",Hz,-54.076," dBm",
"          2061666642",Hz,-54.084," dBm",
"          2062499975",Hz,-54.084," dBm",
"          2063333308",Hz,-54.056," dBm",
"          2064166641",Hz,-54.032000000000004," dBm",
"          2064999974",Hz,-54.052," dBm",
"          2065833307",Hz,-54.04," dBm",
"          2066666640",Hz,-54.00599999999999," dBm",
"          2067499973",Hz,-54.004," dBm",
"          2068333306",Hz,-53.974000000000004," dBm",
"          2069166639",Hz,-53.98," dBm",
"          2069999972",Hz,-53.962," dBm",
"          2070833305",Hz,-53.948," dBm",
"          2071666638",Hz,-53.936," dBm",
"          2072499971",Hz,-53.936," dBm",
"          2073333304",Hz,-53.91799999999999," dBm",
"          2074166637",Hz,-53.898," dBm",
"          2074999970",Hz,-53.88199999999999," dBm",
"          2075833303",Hz,-53.878," dBm",
"          2076666636",Hz,-53.870000000000005," dBm",
"          2077499969",Hz,-53.848," dBm",
"          2078333302",Hz,-53.824," dBm",
"          2079166635",Hz,-53.812," dBm",
"          2079999968",Hz,-53.818000000000005," dBm",
"          2080833301",Hz,-53.802," dBm",
"          2081666634",Hz,-53.788," dBm",
"          2082499967",Hz,-53.778," dBm",
"          2083333300",Hz,-53.757999999999996," dBm",
"          2084166633",Hz,-53.748000000000005," dBm",
"          2084999966",Hz,-53.733999999999995," dBm",
"          2085833299",Hz,-53.73," dBm",
"          2086666632",Hz,-53.720000000000006," dBm",
"          2087499965",Hz,-53.7," dBm",
"          2088333298",Hz,-53.688," dBm",
"          2089166631",Hz,-53.65599999999999," dBm",
"          2089999964",Hz,-53.64," dBm",
"          2090833297",Hz,-53.64," dBm",
"          2091666630",Hz,-53.636," dBm",
"          2092499963",Hz,-53.617999999999995," dBm",
"          2093333296",Hz,-53.60600000000001," dBm",
"          2094166629",Hz,-53.604," dBm",
"          2094999962",Hz,-53.57000000000001," dBm",
"          2095833295",Hz,-53.544000000000004," dBm",
"          2096666628",Hz,-53.552," dBm",
"          2097499961",Hz,-53.538," dBm",
