Date,Label,Probe,Filepath,Notes
22-10-10,0 mW bs,0,0/bs.csv,pol contr before sample in neutral pos - Probe powers are from 1% @sample - s: 1549.032 as:1548.968 - Dither mode - 250 ms sweep - 1 MHz RBW
,0 mW bas,0,0/bas.csv,
,0 mW ras,10,0/ras.csv,
,0 mW rs,10,0/rs.csv,
,55 mW rs,10,55/rs.csv,
,55 mW ras,10,55/ras.csv,
,55 mW bas,0,55/bas.csv,
,55 mW bs,0,55/bs.csv,
,110 mW rs,10,110/rs.csv,
,110 mW ras,10,110/ras.csv,
,110 mW bas,0,110/bas.csv,
,110 mW bs,0,110/bs.csv,
,130 mW rs,10,130/rs.csv,
,130 mW ras,10,130/ras.csv,
,130 mW bas,0,130/bas.csv,
,130 mW bs,0,130/bs.csv,
