pu+pr-b,pu pr,,(pu+pr-1b) - (pu pr),,,,,Stokes
Amp,Amp,,,,,,,
-54.67,-54.68,,0.01,,,,,
-54.65,-54.67,,0.02,,,,,
-54.67,-54.61,,-0.06,,,,,
-54.62,-54.68,,0.06,,,,,
-54.62,-54.66,,0.04,,,,,
-54.67,-54.62,,-0.05,,,,,
-54.64,-54.62,,-0.02,,,,,
-54.52,-54.58,,0.06,,,pu+pr-b is made of separately taken spectra,,
-54.57,-54.6,,0.03,,,pu pr is a single spectra with both pump and probe on,,
-54.59,-54.58,,-0.01,,,,,
-54.61,-54.52,,-0.09,,,This is consistent with our hypothesis: when both pump&probe are on there is some net loss,,
-54.49,-54.55,,0.06,,,,,
-54.47,-54.49,,0.02,,,,,
-54.46,-54.49,,0.03,,,,,
-54.4,-54.49,,0.09,,,,,
-54.45,-54.42,,-0.03,,,,,
-54.34,-54.42,,0.08,,,,,
-54.34,-54.4,,0.06,,,,,
-54.33,-54.33,,0,,,,,
-54.35,-54.38,,0.03,,,,,
-54.29,-54.33,,0.04,,,,,
-54.29,-54.25,,-0.04,,,,,
-54.16,-54.23,,0.07,,,,,
-54.18,-54.17,,-0.01,,,,,
-54.1,-54.16,,0.06,,,,,
-54.09,-54.15,,0.06,,,,,
-54.14,-54.04,,-0.1,,,,,
-54.02,-54.07,,0.05,,,,,
-53.94,-54.06,,0.12,,,,,
-53.98,-53.97,,-0.01,,,,,
-53.95,-53.98,,0.03,,,,,
-53.93,-53.89,,-0.04,,,,,
-53.84,-53.86,,0.02,,,,,
-53.82,-53.82,,0,,,,,
-53.82,-53.85,,0.03,,,,,
-53.75,-53.86,,0.11,,,,,
-53.77,-53.76,,-0.01,,,,,
-53.6,-53.7,,0.1,,,,,
-53.62,-53.71,,0.09,,,,,
-53.7,-53.66,,-0.04,,,,,
-53.61,-53.67,,0.06,,,,,
-53.58,-53.63,,0.05,,,,,
-53.51,-53.59,,0.08,,,,,
-53.59,-53.53,,-0.06,,,,,
-53.5,-53.55,,0.05,,,,,
-53.46,-53.46,,0,,,,,
-53.46,-53.5,,0.04,,,,,
-53.42,-53.43,,0.01,,,,,
-53.41,-53.43,,0.02,,,,,
-53.27,-53.46,,0.19,,,,,
-53.34,-53.36,,0.02,,,,,
-53.35,-53.34,,-0.01,,,,,
-53.37,-53.36,,-0.01,,,,,
-53.28,-53.31,,0.03,,,,,
-53.25,-53.36,,0.11,,,,,
-53.21,-53.31,,0.1,,,,,
-53.25,-53.26,,0.01,,,,,
-53.18,-53.32,,0.14,,,,,
-53.22,-53.24,,0.02,,,,,
-53.23,-53.27,,0.04,,,,,
-53.22,-53.28,,0.06,,,,,
-53.27,-53.22,,-0.05,,,,,
-53.2,-53.25,,0.05,,,,,
-53.24,-53.29,,0.05,,,,,
-53.2,-53.22,,0.02,,,,,
-53.22,-53.31,,0.09,,,,,
-53.14,-53.25,,0.11,,,,,
-53.23,-53.21,,-0.02,,,,,
-53.24,-53.36,,0.12,,,,,
-53.24,-53.29,,0.05,,,,,
-53.24,-53.29,,0.05,,,,,
-53.27,-53.33,,0.06,,,,,
-53.3,-53.31,,0.01,,,,,
-53.26,-53.35,,0.09,,,,,
-53.31,-53.33,,0.02,,,,,
-53.34,-53.33,,-0.01,,,,,
-53.41,-53.42,,0.01,,,,,
-53.38,-53.4,,0.02,,,,,
-53.35,-53.4,,0.05,,,,,
-53.38,-53.5,,0.12,,,,,
-53.39,-53.43,,0.04,,,,,
-53.39,-53.5,,0.11,,,,,
-53.49,-53.53,,0.04,,,,,
-53.47,-53.49,,0.02,,,,,
-53.54,-53.58,,0.04,,,,,
-53.5,-53.58,,0.08,,,,,
-53.52,-53.53,,0.01,,,,,
-53.53,-53.64,,0.11,,,,,
-53.62,-53.64,,0.02,,,,,
-53.66,-53.69,,0.03,,,,,
-53.63,-53.68,,0.05,,,,,
-53.66,-53.71,,0.05,,,,,
-53.69,-53.77,,0.08,,,,,
-53.72,-53.76,,0.04,,,,,
-53.76,-53.78,,0.02,,,,,
-53.75,-53.85,,0.1,,,,,
-53.71,-53.83,,0.12,,,,,
-53.89,-53.85,,-0.04,,,,,
-53.85,-53.89,,0.04,,,,,
-53.77,-53.82,,0.05,,,,,
-53.81,-53.94,,0.13,,,,,
-53.91,-53.92,,0.01,,,,,
-53.85,-53.9,,0.05,,,,,
-53.91,-54.03,,0.12,,,,,
-53.94,-53.94,,0,,,,,
-53.86,-53.93,,0.07,,,,,
-53.95,-54.04,,0.09,,,,,
-53.88,-53.93,,0.05,,,,,
-53.92,-54.07,,0.15,,,,,
-53.99,-54.06,,0.07,,,,,
-54,-53.98,,-0.02,,,,,
-54,-54.12,,0.12,,,,,
-53.98,-54.07,,0.09,,,,,
-53.99,-54.06,,0.07,,,,,
-53.97,-54.12,,0.15,,,,,
-53.95,-54.03,,0.08,,,,,
-53.96,-54.05,,0.09,,,,,
-54.01,-54.09,,0.08,,,,,
-54.02,-54.01,,-0.01,,,,,
-53.92,-54.07,,0.15,,,,,
-54,-54.01,,0.01,,,,,
-54.01,-54.01,,0,,,,,
-53.89,-54.07,,0.18,,,,,
-53.93,-53.96,,0.03,,,,,
-53.91,-54.03,,0.12,,,,,
-53.87,-54.02,,0.15,,,,,
-53.87,-53.91,,0.04,,,,,
-53.88,-53.99,,0.11,,,,,
-53.85,-53.92,,0.07,,,,,
-53.74,-53.87,,0.13,,,,,
-53.78,-53.98,,0.2,,,,,
-53.77,-53.83,,0.06,,,,,
-53.73,-53.81,,0.08,,,,,
-53.77,-53.89,,0.12,,,,,
-53.66,-53.75,,0.09,,,,,
-53.7,-53.79,,0.09,,,,,
-53.6,-53.81,,0.21,,,,,
-53.57,-53.67,,0.1,,,,,
-53.61,-53.73,,0.12,,,,,
-53.46,-53.62,,0.16,,,,,
-53.57,-53.63,,0.06,,,,,
-53.5,-53.68,,0.18,,,,,
-53.48,-53.56,,0.08,,,,,
-53.44,-53.55,,0.11,,,,,
-53.37,-53.58,,0.21,,,,,
-53.32,-53.42,,0.1,,,,,
-53.29,-53.44,,0.15,,,,,
-53.28,-53.47,,0.19,,,,,
-53.23,-53.29,,0.06,,,,,
-53.13,-53.39,,0.26,,,,,
-53.22,-53.22,,0,,,,,
-53.09,-53.26,,0.17,,,,,
-53.14,-53.25,,0.11,,,,,
-53.04,-53.14,,0.1,,,,,
-52.96,-53.17,,0.21,,,,,
-52.96,-53.12,,0.16,,,,,
-52.89,-53.01,,0.12,,,,,
-52.9,-53.11,,0.21,,,,,
-52.89,-52.98,,0.09,,,,,
-52.74,-52.92,,0.18,,,,,
-52.71,-53,,0.29,,,,,
-52.68,-52.81,,0.13,,,,,
-52.68,-52.9,,0.22,,,,,
-52.72,-52.87,,0.15,,,,,
-52.55,-52.68,,0.13,,,,,
-52.49,-52.77,,0.28,,,,,
-52.49,-52.68,,0.19,,,,,
-52.43,-52.61,,0.18,,,,,
-52.48,-52.71,,0.23,,,,,
-52.37,-52.52,,0.15,,,,,
-52.33,-52.5,,0.17,,,,,
-52.39,-52.56,,0.17,,,,,
-52.19,-52.43,,0.24,,,,,
-52.15,-52.44,,0.29,,,,,
-52.2,-52.42,,0.22,,,,,
-52.13,-52.3,,0.17,,,,,
-52.11,-52.42,,0.31,,,,,
-52.04,-52.25,,0.21,,,,,
-51.94,-52.24,,0.3,,,,,
-51.98,-52.35,,0.37,,,,,
-51.94,-52.12,,0.18,,,,,
-51.84,-52.22,,0.38,,,,,
-51.92,-52.16,,0.24,,,,,
-51.8,-52.05,,0.25,,,,,
-51.77,-52.14,,0.37,,,,,
-51.77,-52.03,,0.26,,,,,
-51.76,-51.97,,0.21,,,,,
-51.7,-52.06,,0.36,,,,,
-51.61,-51.87,,0.26,,,,,
-51.65,-51.91,,0.26,,,,,
-51.57,-51.96,,0.39,,,,,
-51.56,-51.76,,0.2,,,,,
-51.45,-51.91,,0.46,,,,,
-51.57,-51.84,,0.27,,,,,
-51.44,-51.71,,0.27,,,,,
-51.48,-51.86,,0.38,,,,,
-51.42,-51.68,,0.26,,,,,
-51.37,-51.7,,0.33,,,,,
-51.29,-51.81,,0.52,,,,,
-51.25,-51.6,,0.35,,,,,
-51.25,-51.73,,0.48,,,,,
-51.23,-51.7,,0.47,,,,,
-51.2,-51.54,,0.34,,,,,
-51.17,-51.71,,0.54,,,,,
-51.2,-51.51,,0.31,,,,,
-51.11,-51.57,,0.46,,,,,
-51.11,-51.67,,0.56,,,,,
-51.03,-51.48,,0.45,,,,,
-50.91,-51.54,,0.63,,,,,
-50.96,-51.55,,0.59,,,,,
-50.96,-51.36,,0.4,,,,,
-50.9,-51.58,,0.68,,,,,
-50.87,-51.4,,0.53,,,,,
-50.79,-51.32,,0.53,,,,,
-50.73,-51.49,,0.76,,,,,
-50.76,-51.26,,0.5,,,,,
-50.7,-51.31,,0.61,,,,,
-50.71,-51.39,,0.68,,,,,
-50.66,-51.15,,0.49,,,,,
-50.6,-51.31,,0.71,,,,,
-50.49,-51.26,,0.77,,,,,
-50.47,-51.13,,0.66,,,,,
-50.48,-51.28,,0.8,,,,,
-50.48,-51.02,,0.54,,,,,
-50.31,-51.04,,0.73,,,,,
-50.3,-51.21,,0.91,,,,,
-50.2,-50.91,,0.71,,,,,
-50.16,-51.05,,0.89,,,,,
-50.14,-51.05,,0.91,,,,,
-50.02,-50.78,,0.76,,,,,
-50,-50.99,,0.99,,,,,
-49.98,-50.79,,0.81,,,,,
-49.9,-50.72,,0.82,,,,,
-49.72,-50.95,,1.23,,,,,
-49.69,-50.55,,0.86,,,,,
-49.64,-50.74,,1.1,,,,,
-49.58,-50.78,,1.2,,,,,
-49.53,-50.4,,0.87,,,,,
-49.47,-50.68,,1.21,,,,,
-49.39,-50.51,,1.12,,,,,
-49.2,-50.28,,1.08,,,,,
-49.16,-50.56,,1.4,,,,,
-49.05,-50.16,,1.11,,,,,
-49.05,-50.25,,1.2,,,,,
-48.9,-50.4,,1.5,,,,,
-48.71,-49.95,,1.24,,,,,
-48.7,-50.18,,1.48,,,,,
-48.6,-50.07,,1.47,,,,,
-48.47,-49.8,,1.33,,,,,
-48.39,-50.07,,1.68,,,,,
-48.3,-49.69,,1.39,,,,,
-48.22,-49.67,,1.45,,,,,
-47.99,-49.87,,1.88,,,,,
-47.95,-49.37,,1.42,,,,,
-47.81,-49.59,,1.78,,,,,
-47.73,-49.58,,1.85,,,,,
-47.63,-49.14,,1.51,,,,,
-47.41,-49.44,,2.03,,,,,
-47.33,-49.22,,1.89,,,,,
-47.29,-49.03,,1.74,,,,,
-47.1,-49.31,,2.21,,,,,
-46.99,-48.79,,1.8,,,,,
-46.83,-48.86,,2.03,,,,,
-46.74,-49.06,,2.32,,,,,
-46.58,-48.51,,1.93,,,,,
-46.44,-48.76,,2.32,,,,,
-46.31,-48.64,,2.33,,,,,
-46.24,-48.36,,2.12,,,,,
-46.08,-48.7,,2.62,,,,,
-45.97,-48.22,,2.25,,,,,
-45.92,-48.28,,2.36,,,,,
-45.79,-48.43,,2.64,,,,,
-45.61,-47.95,,2.34,,,,,
-45.53,-48.11,,2.58,,,,,
-45.47,-48.06,,2.59,,,,,
-45.35,-47.76,,2.41,,,,,
-45.2,-47.99,,2.79,,,,,
-45.13,-47.69,,2.56,,,,,
-45.03,-47.66,,2.63,,,,,
-44.96,-47.88,,2.92,,,,,
-44.86,-47.41,,2.55,,,,,
-44.8,-47.6,,2.8,,,,,
-44.74,-47.71,,2.97,,,,,
-44.72,-47.31,,2.59,,,,,
-44.54,-47.34,,2.8,,,,,
-44.58,-47.63,,3.05,,,,,
-44.58,-47.21,,2.63,,,,,
-44.54,-47.32,,2.78,,,,,
-44.42,-47.53,,3.11,,,,,
-44.54,-47.16,,2.62,,,,,
-44.44,-47.43,,2.99,,,,,
-44.52,-47.32,,2.8,,,,,
-44.55,-47.21,,2.66,,,,,
-44.5,-47.55,,3.05,,,,,
-44.56,-47.18,,2.62,,,,,
-44.58,-47.29,,2.71,,,,,
-44.62,-47.63,,3.01,,,,,
-44.65,-47.21,,2.56,,,,,
-44.73,-47.42,,2.69,,,,,
-44.74,-47.58,,2.84,,,,,
-44.88,-47.29,,2.41,,,,,
-44.84,-47.75,,2.91,,,,,
-44.99,-47.49,,2.5,,,,,
-45.02,-47.54,,2.52,,,,,
-45.15,-47.95,,2.8,,,,,
-45.2,-47.45,,2.25,,,,,
-45.25,-47.73,,2.48,,,,,
-45.41,-47.96,,2.55,,,,,
-45.53,-47.68,,2.15,,,,,
-45.59,-48.02,,2.43,,,,,
-45.64,-47.98,,2.34,,,,,
-45.8,-47.88,,2.08,,,,,
-45.88,-48.33,,2.45,,,,,
-46,-48.03,,2.03,,,,,
-46.12,-48.18,,2.06,,,,,
-46.3,-48.51,,2.21,,,,,
-46.43,-48.16,,1.73,,,,,
-46.43,-48.5,,2.07,,,,,
-46.59,-48.64,,2.05,,,,,
-46.73,-48.45,,1.72,,,,,
-46.91,-48.82,,1.91,,,,,
-46.95,-48.71,,1.76,,,,,
-47.02,-48.76,,1.74,,,,,
-47.19,-49.15,,1.96,,,,,
-47.31,-48.79,,1.48,,,,,
-47.39,-49.05,,1.66,,,,,
-47.51,-49.29,,1.78,,,,,
-47.78,-49.07,,1.29,,,,,
-47.77,-49.43,,1.66,,,,,
-47.93,-49.38,,1.45,,,,,
-47.94,-49.31,,1.37,,,,,
-48.11,-49.73,,1.62,,,,,
-48.16,-49.52,,1.36,,,,,
-48.36,-49.65,,1.29,,,,,
-48.51,-49.89,,1.38,,,,,
-48.65,-49.71,,1.06,,,,,
-48.68,-49.92,,1.24,,,,,
-48.86,-49.99,,1.13,,,,,
-48.87,-49.94,,1.07,,,,,
-49.01,-50.25,,1.24,,,,,
-49.13,-50.12,,0.99,,,,,
-49.27,-50.17,,0.9,,,,,
-49.26,-50.48,,1.22,,,,,
-49.39,-50.3,,0.91,,,,,
-49.51,-50.49,,0.98,,,,,
-49.6,-50.64,,1.04,,,,,
-49.71,-50.5,,0.79,,,,,
-49.75,-50.78,,1.03,,,,,
-49.92,-50.78,,0.86,,,,,
-49.98,-50.76,,0.78,,,,,
-50.01,-50.95,,0.94,,,,,
-50.17,-50.86,,0.69,,,,,
-50.16,-51.01,,0.85,,,,,
-50.3,-51.15,,0.85,,,,,
-50.36,-50.92,,0.56,,,,,
-50.39,-51.27,,0.88,,,,,
-50.58,-51.3,,0.72,,,,,
-50.54,-51.16,,0.62,,,,,
-50.67,-51.49,,0.82,,,,,
-50.7,-51.37,,0.67,,,,,
-50.81,-51.37,,0.56,,,,,
-50.85,-51.63,,0.78,,,,,
-50.91,-51.45,,0.54,,,,,
-50.98,-51.69,,0.71,,,,,
-51.05,-51.72,,0.67,,,,,
-51.12,-51.58,,0.46,,,,,
-51.19,-51.86,,0.67,,,,,
-51.23,-51.73,,0.5,,,,,
-51.37,-51.81,,0.44,,,,,
-51.33,-51.97,,0.64,,,,,
-51.4,-51.81,,0.41,,,,,
-51.46,-52,,0.54,,,,,
-51.48,-52.07,,0.59,,,,,
-51.7,-51.92,,0.22,,,,,
-51.58,-52.14,,0.56,,,,,
-51.67,-52.08,,0.41,,,,,
-51.67,-52.11,,0.44,,,,,
-51.72,-52.29,,0.57,,,,,
-51.8,-52.16,,0.36,,,,,
-51.87,-52.26,,0.39,,,,,
-51.84,-52.36,,0.52,,,,,
-51.9,-52.18,,0.28,,,,,
-51.99,-52.39,,0.4,,,,,
-52.01,-52.4,,0.39,,,,,
-51.96,-52.25,,0.29,,,,,
-51.94,-52.45,,0.51,,,,,
-52.06,-52.39,,0.33,,,,,
-52.08,-52.41,,0.33,,,,,
-52.12,-52.55,,0.43,,,,,
-52.14,-52.41,,0.27,,,,,
-52.16,-52.49,,0.33,,,,,
-52.22,-52.56,,0.34,,,,,
-52.22,-52.44,,0.22,,,,,
-52.31,-52.58,,0.27,,,,,
