Trace1,
Freq,,Amp,,
          1895000000,Hz,              -55.20, dBm,
          1896241666,Hz,              -55.28, dBm,
          1897483332,Hz,              -55.25, dBm,
          1898724998,Hz,              -55.28, dBm,
          1899966664,Hz,              -55.27, dBm,
          1901208330,Hz,              -55.29, dBm,
          1902449996,Hz,              -55.23, dBm,
          1903691662,Hz,              -55.23, dBm,
          1904933328,Hz,              -55.22, dBm,
          1906174994,Hz,              -55.24, dBm,
          1907416660,Hz,              -55.17, dBm,
          1908658326,Hz,              -55.20, dBm,
          1909899992,Hz,              -55.14, dBm,
          1911141658,Hz,              -55.14, dBm,
          1912383324,Hz,              -55.14, dBm,
          1913624990,Hz,              -55.13, dBm,
          1914866656,Hz,              -55.11, dBm,
          1916108322,Hz,              -55.03, dBm,
          1917349988,Hz,              -55.05, dBm,
          1918591654,Hz,              -55.02, dBm,
          1919833320,Hz,              -54.97, dBm,
          1921074986,Hz,              -54.97, dBm,
          1922316652,Hz,              -54.92, dBm,
          1923558318,Hz,              -54.91, dBm,
          1924799984,Hz,              -54.87, dBm,
          1926041650,Hz,              -54.86, dBm,
          1927283316,Hz,              -54.80, dBm,
          1928524982,Hz,              -54.80, dBm,
          1929766648,Hz,              -54.70, dBm,
          1931008314,Hz,              -54.73, dBm,
          1932249980,Hz,              -54.70, dBm,
          1933491646,Hz,              -54.62, dBm,
          1934733312,Hz,              -54.63, dBm,
          1935974978,Hz,              -54.59, dBm,
          1937216644,Hz,              -54.52, dBm,
          1938458310,Hz,              -54.49, dBm,
          1939699976,Hz,              -54.47, dBm,
          1940941642,Hz,              -54.47, dBm,
          1942183308,Hz,              -54.42, dBm,
          1943424974,Hz,              -54.38, dBm,
          1944666640,Hz,              -54.34, dBm,
          1945908306,Hz,              -54.31, dBm,
          1947149972,Hz,              -54.30, dBm,
          1948391638,Hz,              -54.31, dBm,
          1949633304,Hz,              -54.24, dBm,
          1950874970,Hz,              -54.20, dBm,
          1952116636,Hz,              -54.19, dBm,
          1953358302,Hz,              -54.14, dBm,
          1954599968,Hz,              -54.15, dBm,
          1955841634,Hz,              -54.13, dBm,
          1957083300,Hz,              -54.06, dBm,
          1958324966,Hz,              -54.08, dBm,
          1959566632,Hz,              -53.98, dBm,
          1960808298,Hz,              -54.01, dBm,
          1962049964,Hz,              -54.02, dBm,
          1963291630,Hz,              -53.95, dBm,
          1964533296,Hz,              -53.95, dBm,
          1965774962,Hz,              -53.95, dBm,
          1967016628,Hz,              -53.92, dBm,
          1968258294,Hz,              -53.97, dBm,
          1969499960,Hz,              -53.91, dBm,
          1970741626,Hz,              -53.95, dBm,
          1971983292,Hz,              -53.95, dBm,
          1973224958,Hz,              -53.94, dBm,
          1974466624,Hz,              -53.90, dBm,
          1975708290,Hz,              -53.90, dBm,
          1976949956,Hz,              -53.91, dBm,
          1978191622,Hz,              -53.91, dBm,
          1979433288,Hz,              -53.92, dBm,
          1980674954,Hz,              -53.89, dBm,
          1981916620,Hz,              -53.88, dBm,
          1983158286,Hz,              -53.98, dBm,
          1984399952,Hz,              -53.95, dBm,
          1985641618,Hz,              -53.96, dBm,
          1986883284,Hz,              -53.99, dBm,
          1988124950,Hz,              -53.97, dBm,
          1989366616,Hz,              -53.98, dBm,
          1990608282,Hz,              -54.02, dBm,
          1991849948,Hz,              -54.05, dBm,
          1993091614,Hz,              -54.04, dBm,
          1994333280,Hz,              -54.09, dBm,
          1995574946,Hz,              -54.09, dBm,
          1996816612,Hz,              -54.11, dBm,
          1998058278,Hz,              -54.11, dBm,
          1999299944,Hz,              -54.18, dBm,
          2000541610,Hz,              -54.17, dBm,
          2001783276,Hz,              -54.22, dBm,
          2003024942,Hz,              -54.26, dBm,
          2004266608,Hz,              -54.24, dBm,
          2005508274,Hz,              -54.27, dBm,
          2006749940,Hz,              -54.24, dBm,
          2007991606,Hz,              -54.33, dBm,
          2009233272,Hz,              -54.37, dBm,
          2010474938,Hz,              -54.37, dBm,
          2011716604,Hz,              -54.43, dBm,
          2012958270,Hz,              -54.44, dBm,
          2014199936,Hz,              -54.50, dBm,
          2015441602,Hz,              -54.52, dBm,
          2016683268,Hz,              -54.49, dBm,
          2017924934,Hz,              -54.52, dBm,
          2019166600,Hz,              -54.51, dBm,
          2020408266,Hz,              -54.61, dBm,
          2021649932,Hz,              -54.60, dBm,
          2022891598,Hz,              -54.61, dBm,
