Date,Label,Probe Power @ Sample mW,Filepath,Notes
20-12-9,189 mW bas,,1/b.csv,
20-12-9,189 mW bs,,1/b.csv,
20-12-9,189 mW ras,,1/as.csv,189.6020801989
20-12-9,189 mW rs,,1/s.csv,189.195446765
20-12-9,178 mW bas,,2/b.csv,
20-12-9,178 mW bs,,2/b.csv,
20-12-9,178 mW ras,,2/as.csv,178.2902774028
20-12-9,178 mW rs,,2/s.csv,177.8466772932
20-12-9,166 mW bas,,3/b.csv,
20-12-9,166 mW bs,,3/b.csv,
20-12-9,166 mW ras,,3/as.csv,166.0173410359
20-12-9,166 mW rs,,3/s.csv,166.2021744149
20-12-9,154 mW bas,,4/b.csv,
20-12-9,154 mW bs,,4/b.csv,
20-12-9,154 mW ras,,4/as.csv,154.0771047512
20-12-9,154 mW rs,,4/s.csv,154.0031713996
20-12-9,143 mW bas,,5/b.csv,
20-12-9,143 mW bs,,5/b.csv,
20-12-9,143 mW ras,,5/as.csv,142.6174352519
20-12-9,143 mW rs,,5/s.csv,142.9131686584
20-12-9,134 mW bas,,6/b.csv,
20-12-9,134 mW bs,,6/b.csv,
20-12-9,134 mW ras,,6/as.csv,133.1909329219
20-12-9,134 mW rs,,6/s.csv,133.8563330864
20-12-9,123 mW bas,,7/b.csv,
20-12-9,123 mW bs,,7/b.csv,
20-12-9,123 mW ras,,7/as.csv,123.0250970758
20-12-9,123 mW rs,,7/s.csv,123.172963779
20-12-9,106 mW bas,,8/b.csv,
20-12-9,106 mW bs,,8/b.csv,
20-12-9,106 mW ras,,8/as.csv,106.2791929366
20-12-9,106 mW rs,,8/s.csv,105.9095261785
20-12-9,94 mW bas,,9/b.csv,
20-12-9,94 mW bs,,9/b.csv,
20-12-9,94 mW ras,,9/as.csv,94.4128900035
20-12-9,94 mW rs,,9/s.csv,94.4868233551
20-12-9,84 mW bas,,10/b.csv,
20-12-9,84 mW bs,,10/b.csv,
20-12-9,84 mW ras,,10/as.csv,83.5816539929
20-12-9,84 mW rs,,10/s.csv,83.5446873171
20-12-9,73 mW bas,,11/b.csv,
20-12-9,73 mW bs,,11/b.csv,
20-12-9,73 mW ras,,11/as.csv,73.2309847678
20-12-9,73 mW rs,,11/s.csv,73.1570514162
20-12-9,61 mW bas,,12/b.csv,
20-12-9,61 mW bs,,12/b.csv,
20-12-9,61 mW ras,,12/as.csv,61.0689484283
20-12-9,61 mW rs,,12/s.csv,61.2537818073
20-12-9,43 mW bas,,13/b.csv,
20-12-9,43 mW bs,,13/b.csv,
20-12-9,43 mW ras,,13/as.csv,42.8443772569
20-12-9,43 mW rs,,13/s.csv,42.8813439327
20-12-9,32 mW bas,,14/b.csv,
20-12-9,32 mW bs,,14/b.csv,
20-12-9,32 mW ras,,14/as.csv,31.6804411641
20-12-9,32 mW rs,,14/s.csv,31.5695411366
20-12-9,24 mW bas,,15/b.csv,
20-12-9,24 mW bs,,15/b.csv,
20-12-9,24 mW ras,,15/as.csv,24.8785728161
20-12-9,24 mW rs,,15/s.csv,24.3980060307
20-12-9,14 mW bas,,16/b.csv,
20-12-9,14 mW bs,,16/b.csv,
20-12-9,14 mW ras,,16/as.csv,13.9364367781
20-12-9,14 mW rs,,16/s.csv,13.9364367781
