Sig,Std Dev
1.9287604592624683e-06,1.1195781260326171e-09
2.074244566941388e-06,1.1865667728130587e-09
2.1908050651315585e-06,1.276921211579037e-09
1.9358804419018055e-06,1.2109114772941128e-09
1.90164421050542e-06,1.0888127714688962e-09
1.929586751475851e-06,1.095980183768599e-09
1.7629323931205533e-06,1.0475815451190724e-09
1.742779191635349e-06,1.0546606850434537e-09
1.7074165627137522e-06,1.0499929887549907e-09
1.802743951942303e-06,1.0919604095147105e-09
1.5992344443631197e-06,1.028228768838578e-09
1.6353415116691568e-06,1.051654068108408e-09
1.6798271706102373e-06,1.0495188054746425e-09
1.6103743540534296e-06,1.0112438129779339e-09
1.7239230044054543e-06,1.0977166341653103e-09
1.6115533674148656e-06,1.0169984521164363e-09
1.6396255576902207e-06,9.898189724664642e-10
1.6145809028352513e-06,1.0328619341900625e-09
1.6128904115409983e-06,1.0263299938692788e-09
1.5629614179281353e-06,9.20147387045249e-10
1.6266185911574467e-06,1.0256885803729756e-09
1.6727228784997417e-06,1.0511265067280526e-09
1.5598065389403924e-06,9.650317469439056e-10
1.6809682613479207e-06,1.0174468031942386e-09
1.5585939446014618e-06,9.726950421350807e-10
1.5740691763585906e-06,1.027118181899784e-09
1.5587247398409803e-06,9.729088586944451e-10
1.6326973142373128e-06,9.905464844695955e-10
1.6431364647318457e-06,9.823487866195988e-10
1.6372895986677954e-06,1.0096071103350662e-09
1.592386248541891e-06,9.959335291254082e-10
1.544130190028037e-06,9.645918687067754e-10
1.5595287036668653e-06,9.824499582854344e-10
1.5762909722473289e-06,9.758291881139464e-10
1.6430357947651592e-06,1.0350732935680762e-09
1.5948972108263059e-06,9.662057209457835e-10
1.5964215603369372e-06,9.990648428154903e-10
1.5846506636413932e-06,9.76510962990495e-10
1.5456510203430327e-06,9.43503082526068e-10
1.600685152818964e-06,1.0063668000147707e-09
1.5465923629440392e-06,1.001452784359062e-09
1.5513406199158816e-06,9.870982461309662e-10
1.5121501702781681e-06,9.583662531278277e-10
1.5175386895453244e-06,9.89540293250084e-10
1.6369686067229117e-06,1.0083699181374773e-09
1.4900390953779194e-06,9.435683950587131e-10
1.584776425804734e-06,9.825587566388376e-10
1.6069383973847512e-06,9.632984057930294e-10
1.638617516442303e-06,9.869155704527385e-10
1.5466602338569807e-06,9.071980369045979e-10
1.4510962816595525e-06,9.322071552869683e-10
