Sig,Std Dev
8.532186684281181e-07,1.3743084696460335e-09
8.492227712393226e-07,1.3959810517584237e-09
9.7203839108901e-07,1.2786907250078657e-09
8.166140107959968e-07,1.2528193894135064e-09
9.745801488666383e-07,1.5139189622253514e-09
9.67045702429072e-07,1.688001173940347e-09
9.618930940418538e-07,1.5935998150188414e-09
9.418741943251111e-07,1.3993127195993333e-09
9.824372911897334e-07,1.863775120329847e-09
1.1337612862265534e-06,1.8100667194772448e-09
1.1194677789557448e-06,2.026771580341019e-09
1.0132784467788767e-06,1.625190531092506e-09
1.1951087290767727e-06,1.7897148898568656e-09
9.848926483721197e-07,1.4490454594430917e-09
1.1796471432087935e-06,1.8499147426832233e-09
1.1668193339829103e-06,2.0232756990102006e-09
1.1688672656427234e-06,2.110319314290855e-09
1.2823734378611537e-06,1.954107889215151e-09
1.242826284050299e-06,2.0222862423911246e-09
1.3184697103602213e-06,2.123692472157098e-09
1.3821791476647463e-06,2.2609699138397283e-09
1.370980858580216e-06,2.426506242010063e-09
1.3933079400723375e-06,2.2912312062082475e-09
1.2869789706131213e-06,2.106932804341592e-09
1.4495567773828562e-06,2.462804849671632e-09
1.49054269174378e-06,2.2672538565120476e-09
1.3910568838973328e-06,2.011386838829146e-09
1.8849260742969177e-06,2.817427201094285e-09
1.5467754805212899e-06,2.5397773332854853e-09
1.4541704774300104e-06,2.371511818811052e-09
1.5673021240458883e-06,2.417598287007627e-09
1.7263463343077195e-06,2.517423499338711e-09
1.5448306315967833e-06,2.7215472556888068e-09
1.771776484047396e-06,2.8635994163176068e-09
1.5190496586628972e-06,2.787695683007619e-09
1.7508595904142258e-06,2.770727516493717e-09
1.4146329810255754e-06,2.7553658855284195e-09
1.4775883378197123e-06,2.453582148257545e-09
1.580326148826962e-06,2.342332087000859e-09
1.5788390220529355e-06,2.2492676772328604e-09
1.6404925996632267e-06,2.7790196209202526e-09
1.523035696317559e-06,2.3622393030735795e-09
1.4552649394949544e-06,2.54448982587002e-09
1.411603265564406e-06,2.5464913768146155e-09
1.5015007766834643e-06,2.8895170339426104e-09
1.417190541954413e-06,2.25388627563302e-09
1.54635696957926e-06,2.5412801445136644e-09
1.4766895237247735e-06,2.198184139041251e-09
1.232606205151613e-06,2.162202812837327e-09
1.3342506250017606e-06,2.2099163123873405e-09
1.3359500857430333e-06,1.9906181097707464e-09
1.1994757621280683e-06,2.0166177683042034e-09
1.4127224170886392e-06,2.19287381283984e-09
1.4091511220401584e-06,1.8941731763975585e-09
1.2979000178502805e-06,2.0385386137454673e-09
