Sig,Std Dev
9.709835106684545e-07,1.528472362912908e-09
1.0932323716000197e-06,1.815678565639107e-09
8.359304052678917e-07,1.3586533704313163e-09
8.531807912015758e-07,1.5151870503763944e-09
9.90497794219e-07,1.5077931918658113e-09
1.0330250375580086e-06,1.6164021397266732e-09
1.0229541699017666e-06,1.7731452825857483e-09
7.645056233097799e-07,1.1199273460339796e-09
8.827530165579293e-07,1.6075409336836863e-09
9.636558826304551e-07,1.7086540261729267e-09
9.729149238300354e-07,1.6583023739697683e-09
1.0614209408943603e-06,1.7337828754459631e-09
9.791942577934616e-07,1.6634048257350744e-09
1.0537222104123664e-06,1.7439301134627328e-09
1.0615342659499051e-06,1.6127645588067975e-09
9.485908528410921e-07,1.9057350789756502e-09
9.598468365855358e-07,1.504423550979161e-09
1.0401260073093892e-06,1.7627899531958099e-09
8.976075699799927e-07,1.2628889433738973e-09
9.873089613470716e-07,1.8157038075399662e-09
1.0349661031283609e-06,1.4603078912919103e-09
1.0590334058843527e-06,1.5065927457536161e-09
9.689687885619647e-07,1.5509900352678244e-09
1.0561526402051e-06,1.6814537072622905e-09
1.1254120177154901e-06,1.8483401935227332e-09
1.2851567889019183e-06,2.113145109131612e-09
1.0096643491506575e-06,1.5628438736816728e-09
1.1018169044756443e-06,1.7810483968364075e-09
1.07490612470162e-06,1.887266524457748e-09
1.1728633802448355e-06,1.722684999842001e-09
1.2243337022728146e-06,2.0519102024612907e-09
1.2289301989866683e-06,1.903012632241668e-09
9.986049858082389e-07,1.7651694421767777e-09
1.1385643755942798e-06,1.97301320092059e-09
1.3035140370363319e-06,1.841485515606957e-09
1.2142061826824722e-06,1.7749757206666298e-09
1.1129547889864638e-06,1.9517453705664556e-09
1.2340113746655148e-06,2.0480538417291982e-09
1.2147463814941082e-06,1.7308986275171144e-09
1.1372927109232353e-06,1.8055446886824623e-09
1.3584581605269814e-06,2.3386319133606945e-09
1.2817010642926029e-06,2.0301388116353903e-09
1.4360539216103602e-06,2.119483060889176e-09
1.300166053184351e-06,2.452251955236388e-09
1.2747868911864858e-06,1.9307736492301896e-09
1.2907052611013148e-06,2.426900463154571e-09
1.311721873242376e-06,2.423524406246771e-09
1.4385198456688892e-06,2.1723581221230774e-09
1.330776244380642e-06,2.538618132337993e-09
1.2168044121481368e-06,1.9481576025274583e-09
1.3816882123180772e-06,2.024290826617669e-09
1.316709592630252e-06,2.317782427477121e-09
1.3008224376758367e-06,1.8641700442675637e-09
1.3467435047714209e-06,1.8876715984969285e-09
1.373080349565436e-06,2.1164629099020224e-09
1.4419037410089265e-06,2.2070633635595283e-09
1.5331458990644475e-06,2.3317330000142874e-09
1.515766721869263e-06,2.738912669194753e-09
1.3583469228323445e-06,2.286175920340514e-09
1.4505199732241199e-06,2.621301517126608e-09
1.5499158355657453e-06,2.561081433949309e-09
1.348829901313783e-06,2.0009997392073353e-09
1.5604920444520942e-06,2.27347546173417e-09
1.4664559480808437e-06,2.561972789386801e-09
1.6183068884658817e-06,2.6674930004890784e-09
1.6452738135316357e-06,2.545537625843684e-09
1.4031557671535575e-06,2.2944206805000077e-09
1.5388125608221546e-06,2.7598075248648352e-09
1.73326544643671e-06,3.1163926224405744e-09
1.5879169075831677e-06,2.2859202804160407e-09
1.7155481962253403e-06,2.47792104422488e-09
1.8593818101024944e-06,3.47932929676703e-09
1.5730004591527256e-06,2.4873492052489534e-09
1.4435562699044727e-06,2.6755289060923513e-09
1.4729275010599168e-06,2.4181501011139455e-09
1.5694261345761132e-06,2.6090082967029505e-09
1.621907313102361e-06,3.0202934585837347e-09
1.626278813112182e-06,2.7759409539085344e-09
1.5593407945785811e-06,2.8945052493426386e-09
1.6107856564832915e-06,2.5458486023844517e-09
1.4486279429237442e-06,2.331793013536659e-09
1.5338433854571265e-06,2.705240570813813e-09
1.8396070428779935e-06,2.7851496529444866e-09
1.537424337696439e-06,2.486589153441803e-09
1.5667786993517714e-06,2.762905974476685e-09
