Sig,Std Dev
9.983698815878266e-07,7.459199195441419e-10
1.410519383555011e-06,1.1188329788099232e-09
1.422556035218113e-06,1.0615158654489826e-09
1.243336173153086e-06,1.0447945412933492e-09
1.1478928643334392e-06,9.611243957387049e-10
1.3381232877867344e-06,1.091937650914723e-09
1.2260416018995865e-06,9.587135113082658e-10
1.2894865929593442e-06,9.829058111210541e-10
1.2749661109914211e-06,1.0504767636695144e-09
1.4695409227315051e-06,1.0505748708958244e-09
1.5182352052329974e-06,1.188332308806704e-09
1.4520644332560666e-06,1.1600192396646583e-09
1.6241792594865345e-06,1.246636994683449e-09
1.7330735666002613e-06,1.4068008237658401e-09
1.7384826972034137e-06,1.4642998423561389e-09
1.940281654873997e-06,1.4763868447641154e-09
2.007136015758569e-06,1.4496983876592442e-09
2.216285224404364e-06,1.582876093826961e-09
2.108910971904177e-06,1.5835011857478037e-09
2.6699496987690853e-06,1.8290935532400022e-09
2.744800742802476e-06,1.964844284104329e-09
3.06675630678297e-06,2.054892715479349e-09
3.002292724786838e-06,2.357807954542977e-09
3.7459480439326298e-06,2.4183179130503468e-09
3.852713875670859e-06,2.4528648743940464e-09
4.779179885152829e-06,2.7676878981342976e-09
3.91094338442683e-06,2.802162620866833e-09
5.354190740058225e-06,3.452169296479865e-09
5.063226451334792e-06,3.5937071839433613e-09
5.760006787141663e-06,3.4479659711840198e-09
6.812955451068397e-06,3.7041119581515028e-09
5.454024444819916e-06,4.0376572213863315e-09
6.564627345483604e-06,3.987736777836427e-09
5.484299581163592e-06,3.7909912011305106e-09
4.207729302077677e-06,2.233847609407263e-09
4.676120416805368e-06,3.9090831573621735e-09
4.67670629544261e-06,2.4884980354470476e-09
3.291257935677863e-06,2.285281803097162e-09
2.3813948662421883e-06,2.352439605592502e-09
2.887559360602189e-06,1.9988734628510673e-09
2.610573514978946e-06,2.177294474968401e-09
2.5333975805764824e-06,2.147776588421904e-09
3.3046975042300535e-06,2.3158952948327284e-09
3.5610417093808517e-06,2.4691429509951786e-09
2.9490460785215806e-06,2.099666620324489e-09
3.4590967710838244e-06,2.2215381961365963e-09
3.3667962575650095e-06,1.910295254664724e-09
2.7313882153033915e-06,1.7984751354774676e-09
2.941968335900296e-06,1.925791808636742e-09
2.4404552265592973e-06,1.6536325269218021e-09
1.6765261016339094e-06,1.3554062271718736e-09
2.9451131401723837e-06,1.8034776147058212e-09
3.328724352950453e-06,1.649127516356005e-09
2.062089571003748e-06,1.7327355515716039e-09
3.3148854805891754e-06,1.9863593816586236e-09
3.0249847708904005e-06,1.9147901678557252e-09
2.330431119944544e-06,1.965214165957921e-09
2.495463095712061e-06,1.5271004363860644e-09
2.8964331138677946e-06,1.4235117677238587e-09
2.6377171311890914e-06,1.2933234479928554e-09
2.55249289640444e-06,1.4327881762285388e-09
2.6780027737403333e-06,1.3786740724073263e-09
1.833374767833439e-06,1.24805088285265e-09
1.3746287839294353e-06,1.106440620731845e-09
1.7515069652614016e-06,1.2163103269952459e-09
1.1694417811520456e-06,8.834918575464345e-10
1.0994968742987999e-06,9.89563737585768e-10
1.6353270461760254e-06,1.2760389487198805e-09
1.5269248070184145e-06,1.2361340840774416e-09
1.7344575362753975e-06,1.4181515498485256e-09
2.0897327912238455e-06,1.1127146184678794e-09
