Sig,Std Dev
8.271729784120351e-07,7.271321292091275e-10
8.602239447606976e-07,7.220434273990327e-10
8.23277670365875e-07,7.08580419077175e-10
8.887273144139341e-07,7.512117323098273e-10
9.326065756970137e-07,8.503166193628533e-10
8.569770518258631e-07,7.237982165573002e-10
9.500476413345482e-07,7.354034306686323e-10
9.433722374499503e-07,8.023489245251367e-10
9.288209335871373e-07,7.524072262717262e-10
9.492611993972257e-07,7.893502864044913e-10
9.163550979526933e-07,7.687023245717904e-10
8.701215555986378e-07,7.384999536276317e-10
9.79544516554333e-07,8.851011625101336e-10
9.03339758736133e-07,7.49246632657322e-10
9.673128168800547e-07,8.116745977196655e-10
1.021949949481061e-06,8.209216279839575e-10
9.822052553380938e-07,9.2609254715153e-10
9.67512910261892e-07,8.04775199597658e-10
1.0322461507433525e-06,7.78008247703786e-10
9.890356922477297e-07,8.707607144381149e-10
1.0575104000779337e-06,8.585955321522134e-10
9.917702174139088e-07,9.167340217199157e-10
9.993361168834387e-07,8.163214806271446e-10
1.0235542060070013e-06,9.407132076332646e-10
1.0836339502355355e-06,9.111125199913673e-10
1.0435897676670887e-06,8.986858123836391e-10
1.0658649917453394e-06,8.889144303980629e-10
1.012949765478132e-06,8.627903741953703e-10
1.0994861514069916e-06,8.601154146806342e-10
1.1052007069753468e-06,9.771679603025242e-10
1.1500577839094937e-06,1.0235489466728725e-09
1.1089780652556011e-06,8.901684244421252e-10
1.1993669480794206e-06,9.798588138077047e-10
1.1177917020706236e-06,1.0027834112577457e-09
1.0913121140114425e-06,9.484937822815322e-10
1.1901549265792018e-06,9.643939168420322e-10
1.1727982124877047e-06,1.0106958249257355e-09
1.1859123163057295e-06,1.0681864577402116e-09
1.2307021114480036e-06,1.1068259745332192e-09
1.237747568145992e-06,1.1253383088085293e-09
1.230749728590317e-06,1.0172608124951419e-09
1.2344478367046517e-06,9.811103421199671e-10
1.2717604700146933e-06,1.0617805791252202e-09
1.2710205281552115e-06,1.0156183327838305e-09
1.2837936200429965e-06,1.026442202209854e-09
1.2368528376123357e-06,1.1655966530345513e-09
1.267701239502345e-06,9.782470456694761e-10
1.255619564165025e-06,1.0148170566543732e-09
1.2989730370502717e-06,1.157319777242885e-09
1.3830662431862094e-06,1.1033331078157706e-09
1.384642198725243e-06,1.2485626374369458e-09
1.2325786119496695e-06,1.0774562683865563e-09
1.260471048242958e-06,9.899358385083025e-10
1.3657541194528528e-06,1.144791186609368e-09
1.428327940253379e-06,1.2287119241106801e-09
1.3877485276232225e-06,1.2581113202656582e-09
1.5508304158506097e-06,1.3115433817251747e-09
1.3564915666413365e-06,1.1602188310994303e-09
1.5237869581348271e-06,1.2309242760133327e-09
1.4982485601911987e-06,1.3673009024728398e-09
1.4523312436877994e-06,1.2756433347593837e-09
1.5742109325108053e-06,1.4270086274724052e-09
1.441963884465069e-06,1.1757681779313294e-09
1.516138185064024e-06,1.2889200388491892e-09
1.422143267650375e-06,1.2223528489306268e-09
1.5168650949055642e-06,1.3491173650137202e-09
1.4753637225445757e-06,1.3831839332622797e-09
1.6406815518860434e-06,1.291948173630238e-09
1.5896917525719337e-06,1.3747649775824341e-09
1.640852753275813e-06,1.3886861196553889e-09
1.6347861050611387e-06,1.399463427130109e-09
1.6644883970043883e-06,1.3912344192554727e-09
1.77183908528298e-06,1.4394121731763535e-09
1.592824897083284e-06,1.3390385166197676e-09
1.7897915146172413e-06,1.5272784941609166e-09
1.6927374714731577e-06,1.3240138392078916e-09
1.7894387524424076e-06,1.4452183647134669e-09
1.6362163037592766e-06,1.3280295835160036e-09
1.7067007782806101e-06,1.527380052938238e-09
1.8818213878492042e-06,1.5148352349241154e-09
1.8058187931907544e-06,1.4534752287498982e-09
1.7064650376688257e-06,1.4422686316961356e-09
1.8386620100200979e-06,1.565359284826984e-09
1.8313394582594667e-06,1.521600640476978e-09
1.7308542966559748e-06,1.4390461924913695e-09
1.9798925235533437e-06,1.5279295485260233e-09
1.9277927974688743e-06,1.4699724016967397e-09
1.9420707170950045e-06,1.5926969540597422e-09
1.8187777906413132e-06,1.645903358371865e-09
1.932700112584795e-06,1.5993955603256709e-09
1.920880918425233e-06,1.5430443376278956e-09
1.8852493395352436e-06,1.4772265330121903e-09
1.9420688387091964e-06,1.5506453307681498e-09
1.7996949537352692e-06,1.596877492368615e-09
1.904983502234585e-06,1.6458972043361376e-09
1.9124584478030605e-06,1.516419879324637e-09
1.8798216942214988e-06,1.4609757313351434e-09
1.930356686557495e-06,1.4592366320135583e-09
1.6608155215427935e-06,1.4743277659646943e-09
1.8323270668795187e-06,1.5178115575152122e-09
1.8381660457967567e-06,1.5170459585741392e-09
1.8474964151990258e-06,1.5429480859375486e-09
1.7440105704806734e-06,1.387851658544664e-09
1.772728623317905e-06,1.5076762503299997e-09
1.6708252091559803e-06,1.5010507337399049e-09
1.7372360369008432e-06,1.554275207045661e-09
1.690471139102701e-06,1.4316946886020489e-09
1.797808686981204e-06,1.4513234425522986e-09
1.6457999712889623e-06,1.4118197610442505e-09
1.5959057888749504e-06,1.3138589323042254e-09
