Sig,Std Dev
1.0567674342127683e-05,2.2012728155809257e-09
1.1553333977821228e-05,1.9074808286427404e-09
1.2255956505215038e-05,1.9402177159543352e-09
1.2914203816740653e-05,2.193067976578693e-09
1.4007761074729404e-05,1.961380460342813e-09
1.4858203121483044e-05,2.7045179332757243e-09
1.567126050662467e-05,2.3774616944782054e-09
1.7011861701637894e-05,2.374915812841132e-09
1.837869119742262e-05,2.469876679437788e-09
1.98383146159512e-05,2.618997726607179e-09
2.179868849229886e-05,2.7268325270342242e-09
2.271607282557442e-05,2.8174702939672695e-09
2.458358637696098e-05,3.088409721559109e-09
2.6210226832355614e-05,3.0816875603093625e-09
2.8672186469467098e-05,3.1526110101207672e-09
3.1176288559228095e-05,3.597401313305427e-09
3.365496180368725e-05,3.594911662297502e-09
3.6466557523285655e-05,3.624920030376777e-09
3.894609037556363e-05,4.289660791216324e-09
4.316959386220409e-05,4.633364238014696e-09
4.795985285239327e-05,4.959175055048668e-09
5.213606382361381e-05,5.167514043926498e-09
5.51823520736069e-05,5.667295329194141e-09
6.0731183035706964e-05,5.555844371464301e-09
6.684000549374475e-05,6.428575967163854e-09
7.569279689799549e-05,7.043136865315276e-09
8.176552316894016e-05,7.960672509986857e-09
8.810259791536929e-05,9.013613383727546e-09
9.703019708805612e-05,9.55573534396831e-09
0.00010491906305252852,9.85091261174217e-09
0.00011220609836442125,9.581524515027307e-09
0.00011251297087867296,9.12257719318504e-09
0.00010634382248029556,9.387648693550865e-09
9.781808113489036e-05,8.350690544751094e-09
8.504794209342072e-05,8.087605067872317e-09
7.145823691057345e-05,7.4135498471191945e-09
6.157947038827237e-05,6.137455091746439e-09
5.083716357899987e-05,5.737929086990902e-09
4.2371534166865794e-05,5.283909638843324e-09
3.715533707204244e-05,5.109527720302945e-09
3.333095158571624e-05,4.518241597648261e-09
2.8999631189916765e-05,4.5111279133181365e-09
2.5132941636606107e-05,4.3285256821341805e-09
2.235002096593589e-05,3.4249590090650204e-09
2.108714292598398e-05,3.4825190698349802e-09
1.9224370062467826e-05,4.01186727985e-09
1.75910033540901e-05,3.8762763398432915e-09
1.6188195293483392e-05,3.5125230379291245e-09
1.5871864276492304e-05,3.881809151731503e-09
1.300427143458899e-05,3.575438011995211e-09
1.3165527923865971e-05,3.3845967190799427e-09
1.2682728201655774e-05,3.1542177029323912e-09
1.074138794699574e-05,3.027078801533051e-09
9.542011152700409e-06,2.614601450786704e-09
9.221365433426854e-06,3.0700670444702503e-09
1.0676812755175575e-05,2.0125083295285744e-09
9.601358255676722e-06,2.594754910124128e-09
8.824432872436694e-06,3.072761900825397e-09
7.659469407970158e-06,2.575388458841585e-09
7.133527474785785e-06,2.6113367242765524e-09
7.795746330405992e-06,2.5011976714232347e-09
7.62890537971518e-06,2.3454601881818823e-09
7.452145828888383e-06,2.2754356057030195e-09
4.9161455680549686e-06,2.7037243873299993e-09
5.252614942359293e-06,2.745032255051022e-09
5.156457769543414e-06,2.762477249318961e-09
4.524587976023335e-06,2.303828222191855e-09
4.767897676161986e-06,2.487006378688059e-09
4.984371769052234e-06,1.8265922133064997e-09
4.895576191567719e-06,1.9099710084192458e-09
5.586942328290641e-06,1.8222884202154383e-09
