Sig,Std Dev
1.4822298760518788e-06,1.228927814643117e-09
1.4332783248363273e-06,1.2134751483702895e-09
1.5228406767201292e-06,1.256353216167893e-09
1.4664570071699168e-06,1.1987242714636967e-09
1.3729417724145101e-06,1.2307469831917224e-09
1.517959974847611e-06,1.2717970780527983e-09
1.474928262802501e-06,1.2553270765356395e-09
1.446168927185445e-06,1.3179154314575913e-09
1.658245019105898e-06,1.3845641059776218e-09
1.637070966045206e-06,1.281692869717856e-09
1.7079875769944159e-06,1.2988497369622474e-09
1.6705990435315546e-06,1.3376053285404208e-09
1.6399053716609748e-06,1.4554757927498206e-09
1.776822106150948e-06,1.4620295926115715e-09
1.7527827871378528e-06,1.4188731801732155e-09
1.7951050436551594e-06,1.3959693852189824e-09
1.715649884205359e-06,1.4886401740450684e-09
1.9179706577919435e-06,1.6180836421501364e-09
1.9021558843114837e-06,1.5757381675254564e-09
1.91672438154264e-06,1.6349567009583306e-09
2.214383445649138e-06,1.7215716121578175e-09
1.9910837228577775e-06,1.7327576162440637e-09
2.0373291307087175e-06,1.7048624327056928e-09
2.14260958306558e-06,1.7446843135033988e-09
2.1690083479596974e-06,1.7423610358679248e-09
2.155177729839238e-06,1.726981062780577e-09
2.2233891104493644e-06,1.8199972843179213e-09
2.050266527839805e-06,1.6692302403474168e-09
2.122093394744906e-06,1.7948977102374331e-09
2.2759141544671124e-06,1.7335664577846254e-09
2.2842554188930143e-06,1.8595356413553822e-09
2.2235263426769784e-06,1.9209485539244865e-09
2.254248166393903e-06,1.7245574068689732e-09
2.4845659317399312e-06,2.005495692295252e-09
2.3411888389860955e-06,1.9909398585985728e-09
2.347851056197166e-06,1.98309409236476e-09
2.455451556660266e-06,1.8899892884155243e-09
2.3062494997979357e-06,1.9621235964834887e-09
2.213321400947106e-06,1.8257400587823848e-09
2.211032736967165e-06,1.7522967723580615e-09
2.454712575284962e-06,2.0303587912458864e-09
2.2999394633287533e-06,1.9324464536903087e-09
2.4161694749254833e-06,1.975235014363896e-09
2.3350486864565604e-06,1.928026020073803e-09
2.4308758792525807e-06,1.9568202469423926e-09
2.192935268368326e-06,1.8396598666632027e-09
2.2855669308043233e-06,1.9764538199903305e-09
2.2612775155351623e-06,1.8376114715141113e-09
2.0239020801734484e-06,1.5922665544073369e-09
2.072428199971031e-06,1.7560125126257728e-09
2.271540492700248e-06,1.779453791893665e-09
2.2326520515209876e-06,1.774399523912634e-09
2.0517647314479437e-06,1.6740615556143594e-09
1.9153672512069698e-06,1.6619452734107513e-09
1.770327891430721e-06,1.4239774659240495e-09
1.8649470152053118e-06,1.6869032099331326e-09
2.2005495630727015e-06,1.6339433254853255e-09
1.9115612897732374e-06,1.62089519033522e-09
1.7539027975765994e-06,1.5576331536824715e-09
1.593140907235248e-06,1.3374255988305197e-09
1.7243476325414473e-06,1.3868696494407557e-09
1.8030875496222253e-06,1.4754189178110822e-09
1.8100370240709196e-06,1.3278812185210642e-09
1.694842504214212e-06,1.3197606734212377e-09
1.4570127012756938e-06,1.2495624729558538e-09
1.5405773714449664e-06,1.331204150762034e-09
1.4859854198930152e-06,1.2195159911007e-09
1.595095389966726e-06,1.252198790647174e-09
1.4417672020510055e-06,1.2451756950439806e-09
1.439000368027838e-06,1.2203014729670145e-09
1.3819388601452676e-06,1.1847884930561889e-09
