Sig,Std Dev
1.5765560340522404e-06,1.3330732467725295e-09
1.417788545073579e-06,1.1646203998905042e-09
1.4506539227811063e-06,1.2281516664743078e-09
1.5571514736299186e-06,1.3093682937242052e-09
1.523117222149859e-06,1.3031665487722035e-09
1.5158664205477416e-06,1.3047879883357812e-09
1.5209945653778756e-06,1.3132111294614969e-09
1.6231465088055568e-06,1.297759542221999e-09
1.595511690898915e-06,1.4701691681074415e-09
1.5062764265053213e-06,1.2663885002287787e-09
1.4740764754396032e-06,1.2932160885696318e-09
1.553492674642966e-06,1.3009318841759674e-09
1.4824006554734672e-06,1.267187305378651e-09
1.5444951806273548e-06,1.2892761960419635e-09
1.6145874774006334e-06,1.3625116507512355e-09
1.612355823947022e-06,1.3335858661512855e-09
1.539934228723899e-06,1.3320137920050014e-09
1.5999193105198109e-06,1.3478481762945514e-09
1.6914266636408303e-06,1.3847748070673352e-09
1.6436029997299707e-06,1.333521183268843e-09
1.6718079582897853e-06,1.4296744079069914e-09
1.6906221942067328e-06,1.408308117897373e-09
1.5684631463796898e-06,1.3003971645195428e-09
1.68098452691212e-06,1.4582598007611528e-09
1.7134399460014976e-06,1.5043898043737462e-09
1.7069043567699483e-06,1.5022048779769076e-09
1.7422399526635045e-06,1.4853757760112126e-09
1.73511323106202e-06,1.443067438780576e-09
1.7615314648144995e-06,1.4744206177373033e-09
1.7857375509120702e-06,1.4700954320986236e-09
1.8919243597637516e-06,1.565936898685536e-09
1.7205436229860183e-06,1.4545191619471751e-09
1.7071124341301245e-06,1.3226715145846585e-09
1.830739097995161e-06,1.7210785715629855e-09
1.7576371389614783e-06,1.5091859271796194e-09
1.9487632037553983e-06,1.5447628750042608e-09
1.8683337469406692e-06,1.4997733298245298e-09
1.9426351453603953e-06,1.5829497421693983e-09
1.9492561590892726e-06,1.6079101735703953e-09
1.9686546228873193e-06,1.6748411672690459e-09
2.00410519768681e-06,1.76417372324801e-09
1.9106695296746127e-06,1.6823895842145454e-09
1.8947954241221065e-06,1.6497031775749712e-09
2.0254421744724093e-06,1.751430352537148e-09
2.107706627482687e-06,1.7974141366564315e-09
2.058001543211202e-06,1.767160147221566e-09
1.9905976208768043e-06,1.7450010286940647e-09
2.2767440989774365e-06,1.8355265649676586e-09
2.1252982897979523e-06,1.7323349775877422e-09
2.2173211210368495e-06,1.6872389590439804e-09
2.130510123722621e-06,1.993593634008875e-09
2.26137862832712e-06,1.930604745237455e-09
2.0162166990541385e-06,1.5410447459859766e-09
2.2601447765523082e-06,1.8525439104047235e-09
2.09134861625669e-06,1.7647904093646548e-09
2.2096716029193555e-06,1.8270301370690735e-09
2.2897417808038663e-06,1.7572797397270302e-09
2.442485128219142e-06,2.0315932897282348e-09
2.2921172423660335e-06,1.8533431179408937e-09
2.2362628336623944e-06,1.8048393928028204e-09
2.441087782607652e-06,2.0047576157009812e-09
2.4221193271868334e-06,1.9768907369035927e-09
2.234998418865945e-06,1.952376628968275e-09
2.4164718063464798e-06,2.0790555152150525e-09
2.2089899561450675e-06,1.938983809799638e-09
2.5741418795363684e-06,2.083611323023742e-09
2.2962126156947024e-06,2.0820057207522363e-09
2.229334155134133e-06,1.968325164355132e-09
2.405687990952305e-06,2.0119062362228424e-09
2.343260537257704e-06,1.943142383806021e-09
2.3604436941446446e-06,1.9551912843948686e-09
2.273683042402831e-06,1.88371334654489e-09
2.452493077740298e-06,2.0941376033422882e-09
2.3772901818162572e-06,1.985043419095118e-09
2.3453600577604703e-06,1.9104069638301224e-09
2.49121767405665e-06,1.9894302041393957e-09
2.4228926558376972e-06,1.9297852426266997e-09
2.4793427091800207e-06,2.1588739858569644e-09
2.5133056522328433e-06,2.1083617660633145e-09
2.4578211039656332e-06,2.1246935310545166e-09
2.4358491831761628e-06,2.2221403241096865e-09
2.4478232523159142e-06,2.043935237055081e-09
2.3729607933511675e-06,2.0698328748836957e-09
2.2516778029683807e-06,1.8747978035520127e-09
2.500835491230648e-06,2.2019245950246604e-09
2.507850762439198e-06,2.105535319471797e-09
2.570294590632015e-06,2.1981797124489994e-09
2.518970227637989e-06,2.1533410182601355e-09
2.592477562420239e-06,2.1809984616382907e-09
2.3001791856963456e-06,1.932262430625013e-09
2.440454516031955e-06,2.099562951515202e-09
2.512810520105733e-06,2.3331742962583443e-09
2.308888488992877e-06,1.9071309151089e-09
2.5975550056096516e-06,2.318209898792582e-09
2.4330386799232008e-06,2.025181517445749e-09
2.4203757773313134e-06,2.0268902822902843e-09
2.530578444906237e-06,2.1581583296552354e-09
2.353688259913425e-06,2.1512946434278178e-09
2.4005148671383463e-06,2.136241366936265e-09
2.1936855703861956e-06,1.9701332691598525e-09
2.54904536327853e-06,2.2155465372902152e-09
2.505378329441067e-06,2.1205295883029297e-09
2.44383643541199e-06,2.0614420337720247e-09
2.4891335700261513e-06,2.2208509703085564e-09
2.381832782941038e-06,1.9237213735327306e-09
2.374369942084961e-06,2.075561312332618e-09
2.263463935074531e-06,2.0661502997259568e-09
2.299701345566407e-06,2.009333603480816e-09
2.3312726678884656e-06,1.9266941005546066e-09
2.3214463945879157e-06,2.0206081230289944e-09
2.420336530206881e-06,2.0099227837026924e-09
2.332719438619343e-06,2.026484818489924e-09
2.3449648290222793e-06,1.8383343418930308e-09
2.3679481592855667e-06,1.9426918338129355e-09
2.3539427517935595e-06,1.940026095668858e-09
2.3282992748200684e-06,2.0207659186577393e-09
2.383941838726286e-06,1.9595110388493104e-09
2.2389584337662785e-06,1.8331640659521173e-09
2.4584451842170772e-06,2.1237284706826594e-09
2.298727378421918e-06,1.808596896171111e-09
2.2415156371102324e-06,1.886155875305912e-09
2.264905356956268e-06,1.8286002272538994e-09
2.3690729690637024e-06,1.990094500826078e-09
2.1446940222835753e-06,1.784921584900011e-09
2.25412055242695e-06,1.886117446479411e-09
2.2268029498521825e-06,1.886882095289601e-09
2.2080708588973645e-06,1.7209072138064513e-09
2.125444760151927e-06,1.943674028229291e-09
2.1633882397370386e-06,1.8534842169604515e-09
2.081713124148361e-06,1.7864245148960981e-09
2.063506495657041e-06,1.7153396225258588e-09
