Sig,Std Dev
3.719898913545033e-06,2.072207948873356e-09
3.643593291584378e-06,1.9770166716562366e-09
3.6276527580161863e-06,2.0673141224950664e-09
3.3184974680091867e-06,1.705407966380603e-09
3.7033772185272066e-06,2.0260126360969444e-09
3.0958393622944417e-06,1.6551819328856278e-09
3.600744617385546e-06,2.244554898967536e-09
3.5873072438547e-06,1.892946519388383e-09
3.647163857437118e-06,2.1011214719473937e-09
3.542681248637869e-06,2.1437052608087905e-09
3.389101284528849e-06,2.0242964231779745e-09
3.224667595927662e-06,1.9931924602277534e-09
3.574540725734112e-06,1.995846357117129e-09
3.4685227621173633e-06,2.0404963217651694e-09
2.9185554712014836e-06,1.885692526009092e-09
3.334147767950708e-06,2.0124360379438994e-09
3.072709798871353e-06,1.7589570415394875e-09
3.3355793001371005e-06,1.825386664992516e-09
3.1493474864321263e-06,1.8083916104712069e-09
3.237849408002362e-06,2.071564440761241e-09
3.2002191936658208e-06,2.045907501151838e-09
3.2311463806147206e-06,1.9978693884841297e-09
3.087535157051788e-06,1.8623613504625087e-09
3.0620571942218377e-06,1.6790813831699123e-09
2.8740595394131225e-06,1.8561093238741025e-09
2.9401976507340184e-06,1.6693375667442666e-09
2.6940357975231916e-06,1.7073012447335736e-09
2.802230817803818e-06,1.986538681190599e-09
2.8371435526701686e-06,1.7381921307202985e-09
2.8664988702091137e-06,1.863598520480397e-09
3.178552644488397e-06,1.995288331827542e-09
3.0010989617359686e-06,2.0626186473453483e-09
2.727538020325965e-06,1.702831919451748e-09
3.0420924150941394e-06,1.7981020689347776e-09
2.708920504998915e-06,1.4923164804988754e-09
2.7620382911690183e-06,1.6032518495139156e-09
2.6830261952830227e-06,1.5243660176583599e-09
2.5301790304449145e-06,1.5041393303289243e-09
2.94819441703604e-06,1.6887970790250064e-09
2.820238322134112e-06,1.6945045509538018e-09
2.8501818690648535e-06,1.754371080625241e-09
3.0259599143986374e-06,1.6504010115365214e-09
2.366652038718578e-06,1.4354720811559539e-09
2.75599041382554e-06,1.530036104958928e-09
2.9965780374526947e-06,1.7980437061589828e-09
2.7400717819118236e-06,1.6698669181561039e-09
2.773586166063634e-06,1.5544988944541564e-09
2.6838582933666073e-06,1.6766915760315817e-09
2.4434674273938988e-06,1.454439873145195e-09
2.7531858665058616e-06,1.685054014529729e-09
2.790246711798414e-06,1.7099078140120033e-09
2.8383700845982866e-06,1.7901811775207736e-09
2.870031958169507e-06,1.7352468936036318e-09
2.7766788911600187e-06,1.950147372384393e-09
2.703759716079722e-06,1.7044237535098927e-09
2.708384039943555e-06,1.6065026127627374e-09
2.959049063861347e-06,1.766072717335635e-09
2.713056798988346e-06,1.5692482609205185e-09
2.8012493909276626e-06,1.8034352249483033e-09
2.7570859303104594e-06,1.700641827275671e-09
2.751725787144456e-06,1.7275960537927626e-09
2.819545653699964e-06,1.8758659733522455e-09
2.8510063997525565e-06,1.845409329656815e-09
2.945426786883069e-06,1.830009420798755e-09
2.7174112080835628e-06,1.7414301248042586e-09
2.740436397729167e-06,1.6660131743176253e-09
2.7627256728683475e-06,1.628950475519117e-09
2.622286721256757e-06,1.7162461420289875e-09
2.7175534889676596e-06,1.6343517000969275e-09
2.8135699411318095e-06,1.6706517917203034e-09
2.620527834288927e-06,1.762025052174448e-09
3.1948616935289005e-06,1.7916990318608951e-09
2.995047093132488e-06,1.9457494797517006e-09
3.0332449985149037e-06,1.7848563664847508e-09
3.056132622262666e-06,1.9436378554205955e-09
2.7292951471639523e-06,1.561195120604605e-09
2.8910661659931153e-06,1.709814204134609e-09
3.4267938668388798e-06,1.9702948012055484e-09
3.1847988473275626e-06,1.7651983804349042e-09
2.730896292740995e-06,1.7298169250512016e-09
3.0957453989827962e-06,1.9601482704772953e-09
2.970015432342422e-06,1.9503941396806646e-09
2.7268947446923792e-06,1.7235999236402606e-09
2.9728527719268817e-06,1.8611833009853985e-09
2.8285965521139904e-06,1.8640651409701456e-09
3.0865314250204935e-06,1.9875851183531115e-09
3.1749661704279896e-06,2.0695071439303275e-09
3.384338813669475e-06,2.0742909608055168e-09
3.1866690235623396e-06,1.913917830553523e-09
3.096561805250022e-06,2.01457870733557e-09
2.930320045604919e-06,1.6420261002057115e-09
