Sig,Std Dev
1.7587085600557487e-06,1.4959375787473699e-09
1.7466543794436254e-06,1.4829149790521861e-09
1.6986250565006504e-06,1.4789413008425863e-09
1.677291277100637e-06,1.4416399092587171e-09
1.5799664981688316e-06,1.361916373136605e-09
1.687561537305513e-06,1.4216392111223599e-09
1.7344354933221639e-06,1.5079719052848374e-09
1.653147075684416e-06,1.4484557076958715e-09
1.738782857237855e-06,1.5057829014650182e-09
1.6465814714602509e-06,1.421662342901995e-09
1.716871953882971e-06,1.451682148889223e-09
1.61622321242741e-06,1.2486243619379983e-09
1.6068165336120126e-06,1.4055753779174724e-09
1.6637099094474366e-06,1.4066522642894177e-09
1.6397650166163263e-06,1.4104638933837757e-09
1.5200556709908864e-06,1.2694483317888767e-09
1.6098835467303762e-06,1.379907319730961e-09
1.6972485726830688e-06,1.4178445572396559e-09
1.6953603687464727e-06,1.4453184933727e-09
1.7400792447970247e-06,1.4165480272226234e-09
1.7798769109389563e-06,1.3914366758794322e-09
1.577876308417808e-06,1.3359040989289872e-09
1.5962160259554393e-06,1.2802764921964517e-09
1.652590138981531e-06,1.3638827501784432e-09
1.5527099520501544e-06,1.324786219912911e-09
1.6447217419538975e-06,1.444279418216513e-09
1.6351888868449234e-06,1.3664634706088653e-09
1.6530381931245725e-06,1.3717145669615755e-09
1.551237456172739e-06,1.296295655270174e-09
1.6362469893852996e-06,1.3657130477465832e-09
1.561172517352508e-06,1.373771706657407e-09
1.651928586409937e-06,1.2946079666186122e-09
1.5476306041341762e-06,1.3171101873627812e-09
1.5988148079908508e-06,1.3399840263112564e-09
1.6097975275481473e-06,1.3792966814493367e-09
1.6646703608619468e-06,1.3831549462173953e-09
1.5456944889880254e-06,1.3292646718752399e-09
1.6186930081195222e-06,1.4174304941137562e-09
1.6778198490292184e-06,1.4881324297461786e-09
1.653818693893577e-06,1.3997605780667917e-09
1.670447063335048e-06,1.4684766419139657e-09
1.6164266646204483e-06,1.3590281179931534e-09
1.5653605363568813e-06,1.3990159567432545e-09
1.5541837754355702e-06,1.3028609154416748e-09
1.6039234890820546e-06,1.4636106796724789e-09
1.6307370185961851e-06,1.3990773604082491e-09
1.5885684758569341e-06,1.3109730679115647e-09
1.6466807867419477e-06,1.3307464815409575e-09
1.6366763703902069e-06,1.3921689785375887e-09
1.6906918283552365e-06,1.43293012896761e-09
1.5955285745989149e-06,1.3665785388098527e-09
1.6218309387680402e-06,1.4541117411876357e-09
1.7423913195307928e-06,1.4810269103841004e-09
1.6207459838406112e-06,1.3463625599451769e-09
1.6526738645638268e-06,1.4218661003535905e-09
1.7052537744975135e-06,1.346473146307573e-09
1.663541541240571e-06,1.4362098553384782e-09
1.7915251097782889e-06,1.430303548019708e-09
1.7440858141528303e-06,1.525707132826126e-09
1.7965519891872132e-06,1.5914850621645027e-09
1.6422104489684883e-06,1.3696009818340266e-09
1.6251254477090415e-06,1.3902855907809027e-09
1.6902797559733068e-06,1.38722930015604e-09
1.7290127313724086e-06,1.430941315348479e-09
1.7522703040040984e-06,1.5437811573592497e-09
1.6690095681747793e-06,1.3772045991103221e-09
1.716420540325972e-06,1.5414228277275577e-09
1.7053463314528222e-06,1.4461735380336813e-09
1.7677036033780438e-06,1.6430966303945219e-09
1.61204831983318e-06,1.4970245583054923e-09
1.8489738989311247e-06,1.46278962105077e-09
1.6811857961350275e-06,1.4197802183615684e-09
1.674458732609646e-06,1.4909822783547576e-09
1.7667998239461054e-06,1.4848266239386672e-09
1.6973550874713057e-06,1.5110844581683346e-09
1.8042590357902228e-06,1.5464102713706883e-09
1.7998004181578384e-06,1.5207901086710886e-09
1.793683872522454e-06,1.5880963947217456e-09
1.7824668075093712e-06,1.4008555650176107e-09
1.6356696090812167e-06,1.453987967969014e-09
1.894267236062495e-06,1.4804678191660631e-09
1.9233356774872333e-06,1.5765526939468547e-09
1.9596534478048264e-06,1.7134753390678587e-09
1.9270919765914906e-06,1.4829167828668852e-09
1.8981575465078569e-06,1.5853406152443568e-09
2.004435261805141e-06,1.5137236953348157e-09
1.968728420815811e-06,1.677997231412844e-09
1.971236867250658e-06,1.589282779305811e-09
1.8393003054512302e-06,1.553877122670278e-09
1.7180286646489887e-06,1.4034409912783031e-09
1.8468575174123172e-06,1.5462503663334484e-09
1.825939169151639e-06,1.4967320655689529e-09
1.6121388276705614e-06,1.2960297802899446e-09
1.8396923636588551e-06,1.5696408820237474e-09
1.6232978977404693e-06,1.3453925537782943e-09
1.7314049627700883e-06,1.5596814008088658e-09
1.6568971007874836e-06,1.471839199161722e-09
1.7291382454599385e-06,1.6182946280828412e-09
1.7335231085381236e-06,1.4638073870078351e-09
1.702529107489405e-06,1.5384100437748317e-09
1.7073896403604858e-06,1.410035462813007e-09
1.7308742789624957e-06,1.512724120620659e-09
1.778583257668371e-06,1.5579610924525928e-09
1.7220418095599383e-06,1.4143052943707843e-09
1.703904933789445e-06,1.4488915538349655e-09
1.6676789790304835e-06,1.4160641596118375e-09
1.7328752224795118e-06,1.5248116129403743e-09
1.622154622642781e-06,1.4088395258565181e-09
1.7330582840884104e-06,1.5684685320445048e-09
1.683378495115207e-06,1.4466614243241735e-09
1.5835715152597766e-06,1.3467101208364669e-09
1.7433137577651964e-06,1.5107537188979303e-09
1.7304222064697076e-06,1.325106548674032e-09
1.8176570914047147e-06,1.4145384784425734e-09
1.7282798693758473e-06,1.4660752514458785e-09
1.6540612939022964e-06,1.42655892133424e-09
1.6383047140567328e-06,1.3823425561589368e-09
1.795375782883223e-06,1.543611563362242e-09
1.7467697944966494e-06,1.3493238205451936e-09
1.6600688834659843e-06,1.5472488209393648e-09
1.7570345137392309e-06,1.3345844239533948e-09
1.7526291574061211e-06,1.3485297509841433e-09
1.6995159986734884e-06,1.4800255118862697e-09
1.630929170427052e-06,1.326487572321494e-09
1.7293809922035801e-06,1.4660141664937461e-09
1.7294939914414986e-06,1.3709719647748576e-09
1.681956761808256e-06,1.5321577169332452e-09
1.6807473103303275e-06,1.3180790009442115e-09
1.6232113056612835e-06,1.518012641017232e-09
1.6219866658017176e-06,1.425279405431215e-09
1.6614635688725984e-06,1.5102264538611645e-09
1.7505827430348999e-06,1.5325069549407477e-09
1.7152540829766546e-06,1.3804625300535927e-09
1.6775844382336874e-06,1.4686631703608141e-09
1.6672739747897508e-06,1.4199748519307323e-09
1.5645470428537757e-06,1.3259633237396578e-09
1.762030868682453e-06,1.4394267635692768e-09
1.6903900172679748e-06,1.4399124917179695e-09
1.6722457182246917e-06,1.5164987451401417e-09
1.7331454866164e-06,1.4983000143686619e-09
1.7010378445144261e-06,1.5408595669229145e-09
1.8526011424133533e-06,1.5780076131291425e-09
1.6777964976565803e-06,1.5488509973004334e-09
1.644694541127158e-06,1.348699767872718e-09
1.7120001250978643e-06,1.460086907553205e-09
1.7058698110629747e-06,1.549147778801199e-09
1.6927779163285233e-06,1.3396522731805868e-09
1.6211504480636707e-06,1.4985896467188766e-09
1.8376983824407674e-06,1.5290739370729438e-09
1.7652983199588688e-06,1.5617856974968831e-09
1.8663712538569554e-06,1.496257951905719e-09
1.752902257496323e-06,1.504814683164188e-09
1.6542518408211717e-06,1.3564377178661975e-09
1.7240926862848073e-06,1.4027289992095142e-09
1.6585776485880006e-06,1.4697197762392414e-09
1.8204315706487418e-06,1.4731889288369946e-09
1.7337487362844188e-06,1.5127377896941725e-09
1.6559213722188707e-06,1.4012100013227565e-09
1.6378039440731533e-06,1.4323460697017338e-09
1.6811127271333522e-06,1.3965192580129015e-09
1.6571749006284e-06,1.3940757445687438e-09
1.732907648788811e-06,1.4436438358610475e-09
1.881218648048765e-06,1.5925436037919604e-09
1.6806696043133263e-06,1.4560960883840875e-09
1.6519956600988663e-06,1.4265180465179614e-09
1.6075809871116078e-06,1.4992508050735146e-09
1.711355395019191e-06,1.4197092779411954e-09
1.6954667735268066e-06,1.4582251070897807e-09
1.7015311745451237e-06,1.4140456317906809e-09
