Sig,Std Dev
5.082309940969047e-06,4.0667937094046305e-09
3.927743808733602e-06,3.2742233263104523e-09
4.369627438888767e-06,3.49899049105747e-09
4.137986876136985e-06,3.284367640042274e-09
4.038706112632914e-06,3.2394732892894206e-09
4.4202264999312654e-06,3.6928696536440447e-09
3.578865844041457e-06,3.0138640767141956e-09
3.673850377278e-06,3.211756840880219e-09
3.4940900902838255e-06,3.0430748439047424e-09
3.821511997107447e-06,3.3707596766645516e-09
3.7195119704795233e-06,3.1199928566616405e-09
3.909615569610268e-06,3.353280725127694e-09
4.390302226126128e-06,3.352235545341505e-09
3.993535201012178e-06,3.2530711225639665e-09
4.1286800107761025e-06,3.5098439199406908e-09
4.000348946434422e-06,3.353624990917605e-09
3.971069046652258e-06,3.4622475675925382e-09
4.046013225121483e-06,3.436414852249483e-09
3.7229115678004416e-06,3.281544601297487e-09
4.02465585664383e-06,3.1649814473029276e-09
4.089585089433721e-06,3.3729669634594355e-09
4.367643247713774e-06,3.458579743894093e-09
4.1244921406788714e-06,3.5366512681636105e-09
3.589959290577179e-06,3.116943347486303e-09
3.794817499760667e-06,3.0671425156256715e-09
4.109566073150017e-06,3.2102714944696954e-09
3.933880801324287e-06,3.295396144244649e-09
3.6681769918467635e-06,2.9394455079755316e-09
3.2974553728706174e-06,2.7727027987899115e-09
3.5415293480885675e-06,2.919355531041878e-09
3.3400820224333723e-06,2.60462278810259e-09
2.986095870952045e-06,2.52417615817151e-09
3.2491470582838236e-06,2.732035845454441e-09
3.425224452971951e-06,2.8302600578318678e-09
3.1169246019911335e-06,2.6948412022114874e-09
3.0965067294812368e-06,2.572040233979596e-09
3.212045763415043e-06,2.7835840577104976e-09
3.277318928903017e-06,2.6287006263442554e-09
3.334346332152385e-06,2.8918716010473074e-09
3.3859317170671115e-06,2.5717083361711526e-09
3.1124808177182556e-06,2.6204105714431815e-09
3.3327151722278843e-06,2.703539878241164e-09
2.776279707408492e-06,2.31540385928406e-09
3.0572135556566816e-06,2.3904037208994013e-09
3.1830548436785097e-06,2.6331013561833293e-09
3.066931802128414e-06,2.537902721711942e-09
3.004081324146101e-06,2.3172540448626845e-09
2.706249313101868e-06,2.209392585310278e-09
2.760986402615903e-06,2.3802591703274238e-09
2.7785805277647023e-06,2.247335532088653e-09
3.0700386655424287e-06,2.3894982561229666e-09
3.229275406263646e-06,2.7414060170024108e-09
3.025880583136042e-06,2.662844651054952e-09
3.3625056399573063e-06,2.814824342544053e-09
2.883296806610788e-06,2.5352264603639943e-09
2.7771126148997826e-06,2.245257821186936e-09
2.967142905865128e-06,2.3199865695303436e-09
3.3846048052094544e-06,2.7064518219313953e-09
2.6151448293371768e-06,2.212586093771962e-09
2.867639379009203e-06,2.396331246908984e-09
3.3226864714494256e-06,2.699157048270371e-09
3.894575253979725e-06,2.966933800233293e-09
3.301382962055651e-06,2.5545850629528022e-09
4.030472011430567e-06,3.0699938469574254e-09
3.2386227126298342e-06,2.4906200553840903e-09
4.1043499601475445e-06,3.2475025862248783e-09
3.763351047021937e-06,3.267608976831844e-09
3.776283765320628e-06,3.0741749214638664e-09
4.260202391170714e-06,3.2115627079486205e-09
3.76535548040595e-06,3.1778687222259732e-09
4.083922043622864e-06,3.3760178130687256e-09
3.4641442757120174e-06,2.935357936535588e-09
4.239862931548791e-06,3.5806652086439348e-09
4.242783890453679e-06,3.464495404565816e-09
4.065239234328231e-06,3.1550891998928858e-09
4.425605965964501e-06,3.2912604760831043e-09
4.252136385029324e-06,3.595583219160111e-09
4.180656002318655e-06,3.402286917561444e-09
5.405303558334193e-06,4.06071265526816e-09
5.5916693146715434e-06,4.3865817083257545e-09
5.627737186711568e-06,4.602512464770938e-09
5.150518807816748e-06,4.513817112938208e-09
4.603970326374223e-06,3.6933643956729842e-09
4.717586621314527e-06,4.264599104126713e-09
5.381830937562479e-06,4.354488990723101e-09
5.669259037997148e-06,4.693283034597877e-09
5.133282942415635e-06,4.4629501290341774e-09
7.401148761967873e-06,5.776270069426143e-09
8.126599566134833e-06,5.384172057277051e-09
5.046757490152227e-06,4.3698427762155265e-09
8.53583246454704e-06,5.9097480859490845e-09
7.624989986050519e-06,5.929583415971573e-09
6.04266080194297e-06,4.903546390218589e-09
6.818342445626385e-06,5.2676802471671995e-09
6.8799601778366204e-06,5.4277882855211565e-09
6.031028514197371e-06,4.838097317705838e-09
5.3737911919632815e-06,4.531866489313649e-09
5.999866836874337e-06,4.7791455863370064e-09
6.217241251157062e-06,5.426392684424362e-09
6.06910838815499e-06,4.820023888869388e-09
5.62973773606936e-06,4.9879599907296e-09
6.376177708959823e-06,5.272039169943863e-09
6.051875124175797e-06,4.756681196298992e-09
5.9809839202800165e-06,4.715950087455584e-09
5.561235259154111e-06,4.468813068183531e-09
4.85526867391932e-06,4.3251384914799985e-09
4.814530506659956e-06,4.325205033651231e-09
4.548858033974565e-06,4.076756703803183e-09
5.066235076215553e-06,3.9825109583767626e-09
5.136870864549256e-06,4.490579631152003e-09
5.085519576991524e-06,4.125700343340705e-09
4.8645901669880445e-06,3.7659446426080015e-09
5.034723666331402e-06,4.009751933153002e-09
4.784836110850996e-06,3.586042830554741e-09
4.503377741531487e-06,3.521340005548337e-09
3.7923151043994894e-06,3.0572615727584468e-09
3.981239769068507e-06,3.3158943209842192e-09
4.34461022037983e-06,3.5152676600122687e-09
3.7628078816026156e-06,3.1438825439154584e-09
4.11230107039285e-06,3.318908697799983e-09
3.557889638051884e-06,2.972019337145192e-09
4.058322415288135e-06,3.2147333582888357e-09
3.494441815754417e-06,2.9949387870954353e-09
4.151306802273617e-06,3.2688345902396815e-09
4.219965897002573e-06,3.1137667839259222e-09
4.095232127145535e-06,3.23518283137108e-09
3.530266013663104e-06,2.819245908332686e-09
3.364125814030105e-06,2.6308074972323033e-09
2.964447241436719e-06,2.4432986320438685e-09
2.75388075447037e-06,2.4332753430807304e-09
3.1455382839217724e-06,2.5801453564477e-09
3.4294256896448246e-06,2.679769773105779e-09
3.704976529554727e-06,2.754036088764121e-09
3.6326815581112935e-06,2.899824187070256e-09
3.477168556731052e-06,2.6792257058449206e-09
3.839668737853304e-06,2.7574030462621434e-09
3.7417217342021567e-06,2.7338646945234044e-09
3.330602109649889e-06,2.464001856846579e-09
3.28048475551629e-06,2.676974639698219e-09
3.139639256753069e-06,2.5058295907176394e-09
3.0367642125599393e-06,2.2780011553216993e-09
2.555832698816673e-06,2.0665433653681208e-09
2.4998862386464333e-06,2.0218753237005776e-09
2.560591413138599e-06,2.153583799862342e-09
2.49103374415521e-06,2.168785319083202e-09
2.3070134046885196e-06,2.0472333472923215e-09
2.555196529074942e-06,2.042609093147029e-09
2.809672771574258e-06,2.2272293543841794e-09
3.5504613744227465e-06,2.5463490256947913e-09
3.3470353806001647e-06,2.2182884738090114e-09
3.3074916893782844e-06,2.575377681659178e-09
3.3272672368367127e-06,2.522369405496306e-09
3.419006676498314e-06,2.6602227324255985e-09
3.5871120000420876e-06,2.6652519461805013e-09
3.6514444338854595e-06,2.554718189124496e-09
3.481869332192136e-06,2.322089673145919e-09
3.831116616008268e-06,2.731076227261222e-09
3.5888635002567694e-06,2.592774382486618e-09
3.864300635701885e-06,2.8672640023790524e-09
3.893651115226697e-06,2.7335014244201375e-09
3.5117134782795824e-06,2.689616103287017e-09
3.46501453665916e-06,2.4798219004501103e-09
3.373586176887154e-06,2.4488734447792093e-09
3.6711849985631737e-06,2.5817459847588912e-09
3.827291961726063e-06,2.9700517126027735e-09
4.7173156419604075e-06,3.319493963792174e-09
4.416541614818289e-06,3.367567621681653e-09
4.7129311285736536e-06,3.463394241953188e-09
4.2874759704548295e-06,3.052397324536011e-09
3.796221387956025e-06,2.8883012104482598e-09
3.669033506114451e-06,2.9096189921978673e-09
3.58534070603531e-06,2.9169659701822392e-09
3.790093627848149e-06,3.095066715044227e-09
3.578718863067708e-06,2.9537813417822734e-09
3.743567303384296e-06,3.1173131832929597e-09
3.5654264403874244e-06,2.7648989800868745e-09
3.5629590659604795e-06,2.996068033936451e-09
3.538501540129164e-06,2.8263865400197726e-09
3.4986985693488876e-06,2.901040713908389e-09
