Sig,Std Dev
5.0184490348498534e-06,3.274619330599779e-09
5.360001573937785e-06,3.2727575437007705e-09
5.0509651236040525e-06,3.07932678753088e-09
5.034211860208061e-06,3.157067669917713e-09
5.0333161371016754e-06,3.114219063599213e-09
4.867111548568247e-06,2.9639472330501786e-09
5.2503633933219854e-06,3.153439498030714e-09
5.19472091914105e-06,3.265085199265811e-09
5.194695196634042e-06,3.3926468190177344e-09
5.434671902977827e-06,3.331466612062344e-09
5.454319743954895e-06,3.5103725041254526e-09
5.300601534161677e-06,3.3823507393844424e-09
5.0864246940692154e-06,3.1436965720665338e-09
5.133525098164443e-06,3.1209770316969233e-09
5.276280650410961e-06,3.185102827445705e-09
5.117282982219157e-06,3.097885041489948e-09
5.248365099282099e-06,3.035848810136045e-09
5.106468257292463e-06,3.3076542515540924e-09
4.9451107289049465e-06,3.1737736036390696e-09
5.271613566757132e-06,3.212938433950472e-09
5.5027565816596794e-06,3.2224582116450883e-09
5.1166598228547365e-06,3.1483594373135776e-09
5.1440666448638755e-06,3.2440378994529834e-09
5.487258340484872e-06,3.0978302202240774e-09
5.27650138723427e-06,3.342697067986041e-09
5.297670361083463e-06,3.1605965558412895e-09
5.2428267160233315e-06,3.191606440577553e-09
5.193303403571972e-06,2.9991009367748478e-09
5.232617882347277e-06,3.2658856549737142e-09
5.512767573919678e-06,3.188566464912321e-09
5.441214826054064e-06,3.3201440250458847e-09
5.058446850060414e-06,3.167842838073154e-09
4.973038562975155e-06,3.236987130390721e-09
5.695261447031228e-06,3.364080864209862e-09
5.489575427045556e-06,3.318834288655955e-09
5.3922409133862626e-06,3.336440417532377e-09
5.61763588200296e-06,3.3820813364094697e-09
5.536189897693068e-06,3.2430473851302372e-09
5.853844470623726e-06,3.5731656331097013e-09
5.650720893485e-06,3.5729238936443835e-09
5.54285235277361e-06,3.3330226663168657e-09
5.7447408375479965e-06,3.462403587674894e-09
5.250860999703553e-06,3.285103339776447e-09
5.302292928817158e-06,3.1816234660179773e-09
5.666685116043081e-06,3.438272453040023e-09
5.2908739393733095e-06,3.3082457794583913e-09
5.3748405273278745e-06,3.2372081698566092e-09
5.018455350232558e-06,3.165377029625783e-09
5.204550990059705e-06,3.1680336875019567e-09
5.09232189803402e-06,3.269636064931079e-09
5.2838094909481895e-06,3.219900748963052e-09
5.369519171270094e-06,3.1257594883972037e-09
5.24664460621935e-06,3.2639207841585875e-09
5.398805460012908e-06,3.160972948370587e-09
5.5280240736133796e-06,3.3205392326473604e-09
5.617413475296672e-06,3.419549644568444e-09
5.159015050136016e-06,3.431569940063022e-09
5.242315865302228e-06,3.2895642538330996e-09
5.084683764453235e-06,3.172299799834594e-09
5.211966912994157e-06,3.27067190023319e-09
5.345776952274056e-06,3.27252174379722e-09
5.145596706797497e-06,3.234770766352254e-09
5.283150735453692e-06,3.3020571054627185e-09
5.365099009530937e-06,3.271052899367447e-09
5.144185714836626e-06,2.7845525584412068e-09
5.102789271560618e-06,2.872843120414846e-09
5.183243730980897e-06,3.346816978301506e-09
5.077422010611458e-06,3.0930982426139962e-09
5.240997913775951e-06,3.1857699265793817e-09
5.370636605220071e-06,3.3429201969510957e-09
4.983142377942067e-06,2.970343888324219e-09
