Sig,Std Dev
5.269954646367167e-06,3.299226487166883e-09
5.024181754513856e-06,2.9475546698712913e-09
5.062880125565238e-06,3.1049621725654696e-09
5.043084781618984e-06,3.208880386686854e-09
5.180490029167211e-06,3.2057216699201044e-09
5.1181971165202465e-06,3.1655428027042675e-09
5.207324355527099e-06,3.2137543733450996e-09
5.459698221674735e-06,3.3826829161938636e-09
5.0822732303450856e-06,3.0536291599843637e-09
5.466807320461182e-06,3.256454900546715e-09
5.350020521750981e-06,3.3400319144896507e-09
5.334932780777555e-06,3.26142178589773e-09
5.042349774265977e-06,3.2166543881664445e-09
5.390935586098554e-06,3.380031990397704e-09
5.230891518374154e-06,3.165411646100017e-09
4.999167310374818e-06,2.985193314983624e-09
5.325916118047568e-06,3.1915223478543254e-09
5.567799202310235e-06,3.5035978098365203e-09
5.294413033863621e-06,3.342718997953551e-09
5.536279598063687e-06,3.3658062961424937e-09
5.278898401559501e-06,3.4469129187709848e-09
5.42072781570576e-06,3.3737067829164023e-09
5.326295534173836e-06,3.198740499520799e-09
5.5695818578419615e-06,3.456055192099253e-09
5.469067265206278e-06,3.371633685085038e-09
5.285063523114221e-06,3.1754736124650906e-09
5.329478046564482e-06,3.0730068949841866e-09
5.603882053296501e-06,3.28566341375272e-09
5.560069902372874e-06,3.4854471529131966e-09
5.6275360267543395e-06,3.402951169173306e-09
5.300425915824642e-06,3.414443160555598e-09
5.355805169093663e-06,3.2619950800941874e-09
5.640773529811414e-06,3.382357483342491e-09
5.818616979407846e-06,3.543533638052122e-09
5.960393754822088e-06,3.4314498500694788e-09
6.560796309645659e-06,3.877250001831662e-09
6.492393462620688e-06,3.777987010865304e-09
7.203353101387298e-06,4.1610593566215e-09
7.377999507718882e-06,4.236516302738545e-09
7.754256262855312e-06,4.3642301413642625e-09
7.739785988307549e-06,4.468584110974685e-09
7.737248346756326e-06,4.4548754660859275e-09
6.9918329954958955e-06,4.131764295756857e-09
6.875512448623969e-06,4.0251529268794735e-09
6.547674728238041e-06,3.872834569471214e-09
5.930129118483675e-06,3.753924705811532e-09
6.100381092131607e-06,3.713602989482378e-09
5.635519509976581e-06,3.2864248449235626e-09
5.697141538243837e-06,3.376205074170156e-09
5.818501515545057e-06,3.3743285773902722e-09
5.8057535316025975e-06,3.885558059199188e-09
5.69474174838879e-06,3.5687618942463635e-09
5.678236271156879e-06,3.440298399672794e-09
5.735462663684116e-06,3.4419380187705305e-09
5.723207473727714e-06,3.623700836372474e-09
5.527821362788862e-06,3.2828396641749596e-09
5.584923093696308e-06,3.286156497640286e-09
5.344777854689361e-06,3.400114283188839e-09
5.118204413466504e-06,3.3233752925087644e-09
5.208675104506762e-06,3.120751457041101e-09
5.3314527762763745e-06,3.2089068817195364e-09
5.447764696969053e-06,3.3851514597048805e-09
5.53727918076877e-06,3.5638173598327557e-09
5.8318909041660736e-06,3.4386315319706744e-09
5.153152945075599e-06,3.066867721242095e-09
5.34952020299237e-06,3.3699696801690483e-09
5.442843157281321e-06,3.2723398239164987e-09
5.048213301583414e-06,3.09357539252336e-09
5.245447732942414e-06,3.2363705861711596e-09
5.198543956303534e-06,3.2269871416182245e-09
5.419310694722961e-06,3.145232590997891e-09
