Sig,Std Dev
5.192620136526713e-06,4.433387506032767e-09
5.634630506368128e-06,4.9656190455409015e-09
5.137722918604658e-06,4.781974271514284e-09
5.635785582035645e-06,5.297459037900074e-09
5.190146793763873e-06,4.3244725865671895e-09
5.294912571575309e-06,4.7625349039751546e-09
5.130939737247449e-06,4.592820935046652e-09
5.266323162000061e-06,4.699773638414392e-09
5.07644943278609e-06,4.347315737688929e-09
5.1613145031315245e-06,4.416738255929274e-09
5.150331691470092e-06,4.322493500285668e-09
5.365995704755991e-06,5.133152019917029e-09
5.157873809891572e-06,4.464620059236699e-09
5.203722589296961e-06,4.79851233383202e-09
5.397355991454936e-06,4.522760693702737e-09
5.4754396871398364e-06,4.381904003350563e-09
5.488331991348029e-06,5.253348822978332e-09
5.357013941125904e-06,4.611298487713973e-09
5.098125144817364e-06,4.5318923384212524e-09
5.49900731538073e-06,4.441929325685304e-09
5.502729985309208e-06,4.6963830954278154e-09
5.5036379947621404e-06,4.786015123971317e-09
5.430157430413545e-06,5.4519164443950685e-09
5.287763259551578e-06,4.910545767867039e-09
5.452244901417944e-06,4.41128789203639e-09
5.484534256535775e-06,5.222458434664545e-09
5.406651842276115e-06,5.39308090739659e-09
5.675128884462589e-06,4.89503230750267e-09
5.691697265658015e-06,4.801435302517442e-09
6.043658780409388e-06,5.2972843211868085e-09
5.650906907036072e-06,5.022387647744101e-09
6.035397219444555e-06,4.680966866519231e-09
6.080141937742746e-06,5.263290111173528e-09
6.089421674920565e-06,5.137321130814493e-09
7.305638647534599e-06,5.309740211671416e-09
7.074482715846326e-06,5.577265376445052e-09
7.746648490342807e-06,6.588078953446774e-09
8.140623465168485e-06,6.139201174972066e-09
8.113572200496986e-06,6.042455764592063e-09
8.248396016138323e-06,5.879827418905531e-09
8.008480918062432e-06,6.06946553775372e-09
8.451192298382248e-06,6.288502483690717e-09
7.4561972831265445e-06,6.244207049045918e-09
7.058539641339453e-06,5.899676350763406e-09
7.716984788263627e-06,5.7435284603674254e-09
6.559387669426548e-06,5.3366618663059755e-09
6.901244424500169e-06,5.242644500985917e-09
6.117297316709505e-06,5.8648377479158385e-09
5.63235231353857e-06,5.002088779132332e-09
6.624516947339697e-06,5.4271416831863605e-09
6.324596515394243e-06,5.329290199802705e-09
6.344181747458407e-06,5.110987413165153e-09
6.236385075114646e-06,4.943138243702014e-09
