Sig,Std Dev
5.5556555328266805e-06,4.617060097997902e-09
5.543570898615463e-06,4.510270745946257e-09
5.2007308188563535e-06,4.941621559744561e-09
5.512656561244734e-06,4.8555852177046685e-09
4.8303726462537326e-06,4.19478090635452e-09
5.2871272014093656e-06,4.352298321503985e-09
5.831633396626673e-06,4.932880066836421e-09
5.211019466365506e-06,4.362123187313805e-09
5.513052965277824e-06,4.775786064656343e-09
5.021527376211835e-06,4.365250069550979e-09
5.269233530791788e-06,4.058046722807365e-09
5.427107236430803e-06,5.084360827297559e-09
5.452045396409585e-06,4.578820058744196e-09
5.049280087437415e-06,4.561595421249861e-09
5.3032904908283005e-06,4.653675148898727e-09
5.201710604383623e-06,4.4746038464661966e-09
5.1381809513575515e-06,4.6779617398536926e-09
5.26299918287788e-06,4.705917790541775e-09
5.607150980538744e-06,5.173468625059226e-09
5.812649035885923e-06,5.2454590628546695e-09
5.517337698004308e-06,4.988065858467727e-09
6.236977449201613e-06,4.907212961836762e-09
5.840927750927076e-06,5.155819665424137e-09
5.87186421893184e-06,5.030459647838268e-09
5.702732906235803e-06,4.776194601042436e-09
6.192811733023663e-06,5.427735420492496e-09
6.892375912956305e-06,5.5799834693562164e-09
7.11292045057614e-06,5.6782113810226015e-09
7.887804079375297e-06,5.937075510247903e-09
8.103821038269864e-06,6.107557599711369e-09
8.318790936106292e-06,6.906702474050993e-09
9.288879156663503e-06,6.9700570624680434e-09
1.220764635233322e-05,7.617409230466443e-09
1.6628505414415656e-05,8.242068055735668e-09
1.6919019425518362e-05,9.58428116007762e-09
2.2997889853033087e-05,1.1171896764787869e-08
2.4850263030771416e-05,1.1697442231065839e-08
2.907424752535443e-05,1.1666428960095366e-08
2.625003879275751e-05,9.014292377944195e-09
2.6646217239717072e-05,9.990478560770838e-09
2.437799585199089e-05,1.1130432476813527e-08
1.964165717736402e-05,1.0996571526367542e-08
1.4879132507418923e-05,9.394159637692661e-09
1.4056318513706316e-05,1.0543506282253735e-08
1.3206511270134888e-05,9.855049473688525e-09
1.007936985178859e-05,8.049387747328268e-09
1.1173992917752716e-05,8.580489457798794e-09
1.0110676825840636e-05,8.142467315787622e-09
9.274487807534305e-06,8.036464228624728e-09
7.936544108968915e-06,7.368762856940941e-09
9.730023008781092e-06,7.354439635376714e-09
8.731724131614514e-06,7.936591994725326e-09
8.775349878044371e-06,7.3076575100370244e-09
9.528556654627426e-06,7.73559870641837e-09
8.991449254651966e-06,8.282441198957351e-09
8.006127932639826e-06,7.062110806546532e-09
8.619407686642148e-06,7.685898222470451e-09
9.670858898607177e-06,8.686613100371968e-09
1.1311141223407584e-05,8.632711251909553e-09
8.171444587406602e-06,6.43163127347949e-09
8.461739378968925e-06,7.470650797429729e-09
1.0961917117113832e-05,6.650031702869098e-09
1.1561632819151157e-05,6.774975297355746e-09
1.1913217585239759e-05,8.51489548572918e-09
1.1297848376105482e-05,7.945757970245861e-09
1.0922933047943473e-05,7.50876621663565e-09
1.0575176832500045e-05,7.165040544518566e-09
9.6963588072208e-06,8.159881315360655e-09
9.038796879857022e-06,6.693278365012336e-09
9.145382298973887e-06,6.958068890954031e-09
9.099582883776543e-06,6.340140378481432e-09
8.024178044572517e-06,6.401386201900358e-09
8.711677328643947e-06,6.174933378206525e-09
8.021807687258924e-06,5.983615184390415e-09
7.387422337799224e-06,6.245608431120834e-09
6.839938372406852e-06,5.3899762922042625e-09
6.579492539337004e-06,5.789666357180544e-09
6.468562968753736e-06,5.322921578862815e-09
6.1144572554737355e-06,4.795255112715963e-09
5.4082258098479715e-06,4.856953449299799e-09
5.586921022563289e-06,5.1335516626431265e-09
5.427383848909384e-06,4.69547123727509e-09
5.702637466594868e-06,4.855156232117278e-09
5.285809600136016e-06,4.540147660596234e-09
5.24660130302443e-06,4.18611383050341e-09
5.383078671960956e-06,4.795948847821449e-09
5.364760966674281e-06,4.734951426039945e-09
6.358411247727194e-06,5.745595552072212e-09
6.6959634086181386e-06,5.505559241270069e-09
7.625889724791684e-06,6.1863746782739724e-09
6.688371400541879e-06,6.574590809039807e-09
6.577477807331382e-06,5.827693347724067e-09
7.278204409439667e-06,5.924671217086961e-09
8.712470346264958e-06,6.6251566849605455e-09
9.073550098012443e-06,6.945293238680019e-09
9.562133462132565e-06,6.630135689455664e-09
