Sig,Std Dev
4.553764740148091e-06,3.817934549200646e-09
4.540015094076159e-06,4.054057276787316e-09
4.700599113248982e-06,3.948323346232359e-09
4.408974975369989e-06,3.841969093780882e-09
5.0125155522220145e-06,4.781636630175215e-09
4.5166034571474365e-06,3.757807560116352e-09
4.523360511719713e-06,3.797005133619274e-09
4.6756185038485064e-06,3.616433327845998e-09
4.6053216233652685e-06,3.863693912519109e-09
4.806213823815433e-06,3.984668240681011e-09
4.4375693089528084e-06,3.894174348755336e-09
4.432876051747234e-06,3.918697894651673e-09
4.484990642055859e-06,3.605749082978088e-09
4.968026553195676e-06,4.038511800008201e-09
4.701726262293169e-06,4.038997122080181e-09
4.3885325336181915e-06,3.735756229917445e-09
4.754862809324661e-06,4.092442228863806e-09
4.580751286205216e-06,3.736643579400582e-09
5.009268440468531e-06,4.671625435156152e-09
4.425766235677519e-06,3.941783762011887e-09
4.864966832500546e-06,4.220523889012095e-09
4.5582949974621086e-06,3.7462447057571485e-09
4.501043132961613e-06,3.67295613545256e-09
4.840581815381444e-06,4.188557483367114e-09
4.621639792576834e-06,4.0008212374709374e-09
4.3733574746943926e-06,3.731694422303705e-09
4.5858284713946985e-06,3.8210908801036435e-09
5.008389621638631e-06,4.167339604099829e-09
5.084510483497907e-06,3.828698170853126e-09
4.803737947259528e-06,4.479268121765679e-09
4.95525280786574e-06,3.925189841616939e-09
5.154495346595152e-06,4.478840591917823e-09
5.4254141325565e-06,4.594998930356886e-09
5.888646897802268e-06,4.632126800983648e-09
6.843764271543055e-06,4.705715287035834e-09
7.019088939354295e-06,5.614525077132076e-09
8.4881984228936e-06,5.174109400011716e-09
9.537626311690497e-06,5.639066228460821e-09
1.1115327177534744e-05,5.812608156825642e-09
1.1352759690582227e-05,5.6859875833206e-09
9.849634544316881e-06,5.983982997857432e-09
1.0066465230115731e-05,5.693517541342757e-09
9.157913846153532e-06,6.129691461158917e-09
7.666411607901721e-06,5.288586075061925e-09
7.621814345058738e-06,5.6727096349768365e-09
6.810501103971673e-06,4.9022596013649786e-09
6.209652575590833e-06,4.954422039714357e-09
5.427440568083657e-06,4.4978998895089795e-09
5.82850079058225e-06,4.424710223205493e-09
5.39342325860888e-06,4.581608172209729e-09
5.7215680941199755e-06,5.19355279060489e-09
5.530312569012825e-06,4.623616531699868e-09
5.555082734160079e-06,4.5567355339792916e-09
5.466260163710369e-06,4.590342602272175e-09
5.004492122910305e-06,4.6190086159679964e-09
5.288610794526385e-06,4.247714093342028e-09
5.164710493495978e-06,4.3402351795411426e-09
4.598853148025915e-06,3.6620985781804743e-09
5.015479746632355e-06,3.992310241671693e-09
5.122244543110393e-06,4.245184204163798e-09
5.1416305904292105e-06,4.13329760172831e-09
4.980696807862695e-06,4.010573225932633e-09
5.051995396383742e-06,4.300882255264936e-09
5.097954209239227e-06,4.119125995404449e-09
5.107891535812677e-06,3.9198528507398e-09
5.091224043230925e-06,4.301165358526169e-09
