Sig,Std Dev
2.509231439233772e-06,2.292535991786392e-09
2.5377840423018897e-06,2.0019963082290318e-09
2.508531878026339e-06,2.074915900750317e-09
2.5576057508560015e-06,2.1564928638417967e-09
2.344781745890445e-06,1.9351375068157114e-09
2.4730282976797854e-06,1.9070129422738205e-09
2.5684718997356484e-06,2.526848477472927e-09
2.4735358257168448e-06,2.2747599976384685e-09
2.3937516572424133e-06,2.117675738930076e-09
2.296541488281705e-06,1.843835822465215e-09
2.2191508129871108e-06,1.932333313609538e-09
2.4585264979845777e-06,2.0343799658783404e-09
2.348913255849741e-06,2.174703396994495e-09
2.5286767528223275e-06,2.08666811849314e-09
2.499078303932238e-06,1.985470665879294e-09
2.6046207069840163e-06,2.3054843378665028e-09
2.4446928060021193e-06,1.8974894587261364e-09
2.5931243808241623e-06,2.2520310701674562e-09
2.4854919102677207e-06,2.089397955574486e-09
2.590396359137238e-06,2.185866281206046e-09
2.338797124306009e-06,1.997065679764081e-09
2.5141215085107383e-06,2.128987808651977e-09
2.3476552396606488e-06,2.0511741703671766e-09
2.442900673819066e-06,2.098409762552426e-09
2.411760496575443e-06,1.9886635487133275e-09
2.3347728650777443e-06,1.8872767521586576e-09
2.352318274369171e-06,2.1619665885849513e-09
2.5846857136619623e-06,2.143904404497242e-09
2.5394623331025952e-06,2.1167478326120625e-09
2.353403422261839e-06,2.047795579051501e-09
2.520016277660089e-06,2.1195601844015683e-09
2.3290291553744737e-06,2.2239967682113485e-09
2.46530183762547e-06,1.990469576649064e-09
2.4918180680187303e-06,1.9981325070646013e-09
2.398394579844114e-06,2.134861431681419e-09
2.431643030232934e-06,2.1495361562036453e-09
2.4800407990955168e-06,2.089598401541933e-09
2.3763448191948918e-06,1.8944763051322784e-09
2.3086663940980478e-06,1.974138969947442e-09
2.3287680182451985e-06,1.9896473674952646e-09
2.421567147224225e-06,2.0464459173768987e-09
2.2447786498931764e-06,1.899380598303219e-09
2.2937215173603915e-06,1.9792787899494067e-09
2.3347537284422045e-06,1.9615950304180367e-09
2.4170424187740105e-06,1.9903780513404033e-09
2.5022707457048905e-06,2.149288136981399e-09
2.277973775899716e-06,1.8897604589948923e-09
2.212158687148141e-06,1.941431314418024e-09
2.370944998277119e-06,2.081123889773209e-09
2.4912727460222657e-06,2.2685961289718026e-09
2.417336210961849e-06,1.947894141069164e-09
2.3662027407158962e-06,1.8591624416429872e-09
2.5580871291813022e-06,2.1522186825770636e-09
2.4476268777884234e-06,2.1796478039852802e-09
2.3239808302522462e-06,1.9881519396952534e-09
2.368629139414723e-06,2.0560099683975298e-09
2.4480553772572152e-06,2.2019010331986366e-09
2.3547639388360056e-06,2.0026634235624098e-09
2.337694206376074e-06,2.03712156370844e-09
2.544152131527914e-06,2.0633555876945924e-09
2.352595315959543e-06,2.2094924450223554e-09
2.479616544569042e-06,2.1160358596726117e-09
2.206069365008677e-06,2.0069281968575695e-09
2.4800573304282656e-06,2.023617337095139e-09
2.4425959313579107e-06,2.116548409701288e-09
2.3034405079664717e-06,2.026482852052224e-09
2.3683728836625196e-06,2.1084581186868027e-09
2.2745571592370616e-06,2.0076818890581757e-09
2.433985968327178e-06,1.96401793842935e-09
2.502398966542539e-06,2.2825035498561022e-09
2.2713172760208672e-06,1.8469718949773391e-09
