Sig,Std Dev
4.731365165033501e-06,4.47196782548357e-09
4.475517601299009e-06,4.343910572889268e-09
5.036136138198745e-06,4.339692515163956e-09
4.9122208828967516e-06,4.208818917087805e-09
4.6742205105457045e-06,4.118347518105997e-09
4.726585239819045e-06,4.23747551126239e-09
4.649232494440825e-06,3.892828721265188e-09
4.9515094246267165e-06,4.314011349595384e-09
4.913812830774935e-06,4.266923890021013e-09
4.728720304954041e-06,3.935856684987889e-09
4.361913286699314e-06,3.7668854880468305e-09
5.052369653268377e-06,4.293936659665409e-09
4.459067120704212e-06,3.790170863612854e-09
4.483769295384891e-06,3.939152577950887e-09
4.9171985432365945e-06,4.0940491512635995e-09
4.6773437523188516e-06,3.7518376428879654e-09
4.690800333913857e-06,4.437461555750369e-09
5.033882210074016e-06,4.467076036103709e-09
4.878830299389392e-06,4.4284870034674945e-09
5.029749090789333e-06,4.70998326039719e-09
5.071002769373178e-06,4.274410814898078e-09
4.95922275479611e-06,4.134436795043109e-09
5.103195062612212e-06,5.025541272281449e-09
5.237058658226468e-06,4.805242011343901e-09
5.1512417113466196e-06,4.933083075888923e-09
5.136753435220887e-06,4.596653120607567e-09
5.2249740826780835e-06,4.708164712580873e-09
4.93911398089407e-06,4.641642489518944e-09
4.949720373787888e-06,4.16924363847357e-09
4.853126897438246e-06,4.116787275865301e-09
5.6859907636911136e-06,5.1082365746857755e-09
6.645441453210393e-06,5.37113537670676e-09
8.480588325792824e-06,6.27042813579043e-09
1.1002178844977496e-05,6.959250738926925e-09
1.224765126130313e-05,7.50180148247979e-09
1.4319413994760319e-05,7.30512014667336e-09
1.722967059924921e-05,7.825589345102944e-09
2.1689296585153892e-05,9.19094102042926e-09
2.5291730658398275e-05,9.87560291397744e-09
2.6809147488974376e-05,1.0544969084041598e-08
2.133928657926161e-05,9.40632169927394e-09
2.1497187791334628e-05,9.11688289895614e-09
1.7706979117707372e-05,9.586534727096825e-09
1.7734672587339383e-05,1.0304960487898569e-08
1.3345891406935039e-05,7.991077063297121e-09
1.273286165388697e-05,8.041208336478687e-09
8.71499524342329e-06,6.9547440390564315e-09
7.47453676643351e-06,6.795299520539655e-09
7.537373109241307e-06,7.182019383389907e-09
7.470745444104867e-06,7.0798293994237245e-09
6.8536336154943144e-06,5.6736675747677645e-09
6.577390381079419e-06,5.890724989507858e-09
7.425703743141624e-06,6.2476819193734164e-09
7.4513161475306834e-06,6.0249480860159155e-09
8.03759930555322e-06,6.7997279235409884e-09
7.467210499823391e-06,6.030609911379944e-09
7.74374589955721e-06,6.1770484811718185e-09
7.242784373816384e-06,5.6438972864849204e-09
7.1432876743974955e-06,5.697552705311914e-09
6.932938454351261e-06,5.639107519286854e-09
7.33215131452077e-06,5.876821883771541e-09
8.526979007619238e-06,6.146960807480097e-09
8.37108505772191e-06,6.228765735620222e-09
7.073000088635234e-06,5.127655870714066e-09
7.5979311365829476e-06,6.0623389367798345e-09
7.216566314020327e-06,5.284490084773375e-09
6.962516969264096e-06,6.027011250832903e-09
5.5305057028411465e-06,4.391863560009058e-09
5.579844906416738e-06,4.551411250707717e-09
5.707934830804596e-06,5.0128575070551864e-09
5.498209445956149e-06,4.629931299926927e-09
5.590418280627684e-06,4.615715783262958e-09
5.347026847846479e-06,4.632557068340669e-09
4.945218305353562e-06,4.643032881838528e-09
4.984564803994402e-06,4.2178232613845025e-09
4.926884739872314e-06,4.113099339039019e-09
4.404969231524007e-06,3.6492170539043845e-09
4.6963501296110355e-06,4.333238161159295e-09
4.7788779910266565e-06,4.093413558396048e-09
4.4821202975722394e-06,4.2370587605379665e-09
4.727292145131381e-06,4.131827665536184e-09
4.795609149344917e-06,4.392234838249218e-09
5.101954034774353e-06,4.321832098612841e-09
4.732144847538599e-06,4.057878004246547e-09
4.851088489573575e-06,4.217840109502506e-09
4.668910636904111e-06,3.959516728897536e-09
4.402998563483254e-06,4.035629244370248e-09
5.094030999168583e-06,4.151089318519026e-09
4.491007124472108e-06,4.052221186297252e-09
5.0143048387886965e-06,4.205109594747352e-09
4.989291999292302e-06,4.574059198949112e-09
5.165830259320032e-06,4.428384374391277e-09
5.64153580769923e-06,4.800985709300476e-09
5.875807880823128e-06,5.048189050099259e-09
6.680224502114221e-06,5.366051515849515e-09
5.359249660839595e-06,4.5689344716115345e-09
5.542687929701085e-06,4.822048963990869e-09
5.598537393652957e-06,4.94078961358417e-09
5.227957583299085e-06,4.286809977053253e-09
5.714148010986004e-06,4.666294863214945e-09
5.670769714834168e-06,4.8316557934191224e-09
5.314781175586283e-06,4.776876569310134e-09
5.2562953589501315e-06,4.6983304169342445e-09
6.36726052903835e-06,5.134688657879303e-09
5.192111632785482e-06,4.417386284828917e-09
5.992777747723263e-06,4.861759121564526e-09
5.869052701387321e-06,5.113580760282586e-09
5.747739791577666e-06,4.928254012364544e-09
5.848229572609116e-06,5.089592519810126e-09
5.5977440822155074e-06,4.7288063632288266e-09
6.4416176380077225e-06,5.044721085114453e-09
8.616565715345313e-06,6.4917258927900405e-09
1.0733818191632815e-05,6.200155338975429e-09
1.6600843293507887e-05,7.564577920531967e-09
1.8379028573208484e-05,6.925738078254118e-09
1.7987560799833626e-05,8.011376701239743e-09
1.9219233466988364e-05,8.476660042880856e-09
1.8000613324159665e-05,7.244954540247746e-09
1.8741035514387335e-05,7.459207821853765e-09
1.4439873899901938e-05,7.877215189026188e-09
1.3232829126129005e-05,8.562379819207788e-09
7.98937781478695e-06,6.823827574782368e-09
6.7553586903492906e-06,6.203748785616768e-09
6.4434294017120416e-06,5.828899955990803e-09
7.290657173890792e-06,6.010126718284245e-09
7.607949478176656e-06,6.527116520618182e-09
7.49116605317289e-06,6.161638197728195e-09
7.884379281645905e-06,5.9420798387517145e-09
9.374141851398773e-06,7.294658350670586e-09
