Sig,Std Dev
5.838655731867131e-06,5.603976027360968e-09
6.154941039518167e-06,5.608101602067197e-09
6.0112689467857875e-06,5.048192084672113e-09
5.452073547052313e-06,4.92146049078455e-09
5.941194687036062e-06,5.0785531838950096e-09
5.421152793634397e-06,4.762333190349687e-09
5.989947056810622e-06,5.9470745403964745e-09
6.13356439890793e-06,5.1852482896418015e-09
5.7794833917076265e-06,5.4299498883237826e-09
5.605878096973261e-06,5.06430875066726e-09
5.818710543473733e-06,5.528430310085617e-09
6.034071370374056e-06,5.116309264754531e-09
5.8176302840971845e-06,5.1375409543713405e-09
6.142941720326657e-06,6.193115213437978e-09
5.820886123057157e-06,5.367038907260196e-09
5.7845487542038926e-06,5.086802257887787e-09
6.297146487109101e-06,5.837118073690059e-09
6.1483006277222564e-06,4.949132517202979e-09
6.006079437786339e-06,5.615376973007729e-09
6.297696881521828e-06,4.9457140499558235e-09
5.884437998068842e-06,4.8169516959277325e-09
5.610607773861437e-06,5.200406423400872e-09
5.989728284952083e-06,5.510452777534288e-09
5.838896652427642e-06,5.171881547969356e-09
6.374599493154887e-06,5.292040945236894e-09
6.406711072559889e-06,5.9221105760883605e-09
6.3306931215440596e-06,5.406839911973018e-09
5.888503578902219e-06,5.424376736053546e-09
5.939022636240258e-06,4.907729765673471e-09
6.3874103634695456e-06,5.425375142944912e-09
6.170967422744827e-06,5.471922353355958e-09
5.966991827973123e-06,5.703492761927927e-09
6.462711144450347e-06,5.0083247609318116e-09
5.8644842381354864e-06,4.997708276163664e-09
5.737385888618646e-06,5.10937796112672e-09
5.922851112981646e-06,5.030362404763729e-09
6.062302902452057e-06,5.394752978996144e-09
6.052751082040335e-06,4.978302473310724e-09
5.910836666820124e-06,4.9961599148623555e-09
6.043876266522855e-06,5.201515517702551e-09
6.293236532150206e-06,5.571918122328295e-09
6.015570210253222e-06,4.771882269279334e-09
5.9613024121274275e-06,5.181814157163244e-09
6.1356972745720035e-06,5.610287925409443e-09
6.094129271355637e-06,5.405077347259296e-09
6.102566229013683e-06,5.331157646146387e-09
6.142129601999596e-06,5.199824342243413e-09
6.266025405383055e-06,5.821082220100102e-09
6.167148440909969e-06,5.419114491540375e-09
6.013811671308365e-06,5.180236560472591e-09
5.961588415711336e-06,5.082433027183202e-09
6.24743864344539e-06,5.215610433041984e-09
6.024326110527536e-06,5.431951872953106e-09
6.055276818021925e-06,5.075679850230327e-09
6.024277103794537e-06,4.908996884779301e-09
6.274681873160402e-06,6.012097304664961e-09
5.921406175765016e-06,5.648650470544738e-09
6.45785983938817e-06,5.644657629023517e-09
5.8438976205081295e-06,5.1927982290820804e-09
5.987369617415414e-06,5.724552940043486e-09
6.138882217608464e-06,4.968960095040722e-09
6.018198637675556e-06,5.119217989610964e-09
6.097366618923983e-06,5.4355299238630925e-09
6.049582860773142e-06,4.957569592053106e-09
6.029502087941628e-06,5.077681438332183e-09
6.203150185015879e-06,5.373245555721302e-09
6.361628842919999e-06,5.259681397519876e-09
5.878770715322694e-06,4.915904160882859e-09
5.817614927664768e-06,5.552414184456956e-09
5.795958649614697e-06,4.824230931231033e-09
5.406239951021698e-06,5.158706208798348e-09
