Sig,Std Dev
7.49287930666254e-06,6.234736216201947e-09
7.778519611435162e-06,6.650249461943376e-09
7.506704087788404e-06,6.490185761113543e-09
7.423692299695074e-06,6.691320370108333e-09
7.469277386726541e-06,6.5164978828400416e-09
7.636214692592778e-06,6.609483906914593e-09
7.49100230895698e-06,6.4852598374922706e-09
7.389620882270648e-06,6.563722044071135e-09
7.73218174081503e-06,6.561879113382765e-09
7.57883181779947e-06,5.938860238712771e-09
7.504261210372865e-06,5.983506133926119e-09
7.726270191229804e-06,6.32289007473498e-09
7.323702435395271e-06,6.441119947556268e-09
7.0404348379538485e-06,6.232342539689959e-09
7.805930997533736e-06,6.969243535221754e-09
7.402421383385331e-06,7.074219182347731e-09
7.340676536511609e-06,5.8418912226639526e-09
7.198559579902322e-06,5.9459504982038855e-09
7.763659045567648e-06,7.309993690061743e-09
7.461672088015107e-06,6.693264804526952e-09
8.433868839912258e-06,7.17607487275171e-09
7.949349593672138e-06,6.44160483290232e-09
8.036736294771036e-06,6.344772162822569e-09
7.733357607228418e-06,6.234179194502086e-09
7.3819196690849655e-06,7.073206931093531e-09
7.417369576597454e-06,6.32685571279944e-09
7.4901322867359455e-06,6.581386647667042e-09
8.099963031344145e-06,7.139392483328727e-09
8.03248650163397e-06,6.805425713307568e-09
7.612063968630076e-06,7.552592185084288e-09
7.648100609106617e-06,7.0143599816479705e-09
7.245960955288457e-06,6.1304574258223846e-09
8.477034021991994e-06,6.32087479642257e-09
8.714237589359938e-06,7.672744070291125e-09
8.218542751996243e-06,7.273740723559567e-09
7.486136458771543e-06,6.6425767471718614e-09
7.902049200114184e-06,7.987129970435295e-09
8.033902643005854e-06,7.0260454014915646e-09
8.126415824953699e-06,7.722058857836568e-09
7.708390121995274e-06,7.726973959716635e-09
8.380360529693393e-06,7.099660962323183e-09
7.69193666353544e-06,6.233587121119846e-09
8.45286731195539e-06,7.996554441964516e-09
7.87656311462611e-06,6.921156065733698e-09
7.654734355567915e-06,6.954476771453803e-09
7.90433781269317e-06,7.718338704753175e-09
8.185394178715556e-06,6.980529304421199e-09
7.502184820507752e-06,6.287866949722169e-09
7.316685298460477e-06,6.579548301931409e-09
8.650696142472838e-06,7.039006841565422e-09
8.042228841040906e-06,6.994440801894185e-09
7.798659213670192e-06,7.277438387913155e-09
8.029996705965748e-06,6.640295037163181e-09
7.389004929278323e-06,6.470697381657264e-09
8.139264311625754e-06,7.3278310897089586e-09
7.74109939316941e-06,6.2707248472144986e-09
7.859297126326117e-06,7.187290560122156e-09
7.560345622492352e-06,7.135414028961975e-09
8.092041065247207e-06,7.602705750693712e-09
7.979264639353187e-06,6.732724397645574e-09
7.519184812854682e-06,7.251424035167447e-09
7.753146813187065e-06,6.738384141665954e-09
7.785317181952641e-06,7.754762591780901e-09
7.6154425878446566e-06,6.998870134244867e-09
7.994585071408068e-06,6.732643709682661e-09
7.701680845247674e-06,7.318715564875596e-09
8.166258621884502e-06,7.330308825481774e-09
7.506279439578426e-06,6.070499518304656e-09
7.640197451688136e-06,6.530438420442116e-09
7.765144469299892e-06,7.320802418414024e-09
7.577687038283953e-06,6.8662360995871675e-09
