Sig,Std Dev
5.574756862693426e-06,4.796955952851429e-09
6.1246304226059e-06,5.060815979048684e-09
5.3620878336102365e-06,4.80202333292833e-09
5.574873782363863e-06,4.549865246124127e-09
5.672453063381899e-06,4.836169955581332e-09
5.759465017877147e-06,5.12052281087123e-09
5.515855135482633e-06,4.7245912600038e-09
5.25406336660988e-06,4.374306706734234e-09
5.196660439667401e-06,4.551780056379864e-09
5.583790604723223e-06,5.021721716684588e-09
5.470621590305012e-06,4.9168147751366655e-09
5.8413585760742545e-06,4.9822658445621625e-09
5.738950646968504e-06,5.1110290175677234e-09
5.611193913363135e-06,4.904132152582875e-09
5.447787343191186e-06,4.647192063171764e-09
6.028155272005944e-06,5.415951260968162e-09
5.406502005781751e-06,4.7433552881384804e-09
5.558331616630077e-06,4.354010872687484e-09
5.799185302164518e-06,4.999845968649252e-09
5.576533051075063e-06,5.057086686750239e-09
5.855191961576352e-06,4.872114269373817e-09
5.965052151562891e-06,4.8372331717954204e-09
5.583455519292937e-06,5.1152555059542224e-09
6.5500378440566255e-06,6.051725689980878e-09
5.47246534731115e-06,5.082223699159973e-09
6.269846258978478e-06,5.370976492860963e-09
6.244586979472908e-06,4.996809234428386e-09
5.586201805368987e-06,4.803685968898215e-09
6.257589154591324e-06,5.1699521249029016e-09
6.455567311169512e-06,5.094989254098738e-09
6.44263725378465e-06,5.0249219131675245e-09
6.162464023258953e-06,5.5341376293781865e-09
5.944039148791479e-06,4.879092996601743e-09
6.65496122782642e-06,5.1724069947906496e-09
6.521773123817492e-06,4.9569669931158005e-09
6.615937356758546e-06,5.346872826197835e-09
6.122082059500248e-06,5.06101357853019e-09
6.036631326347055e-06,4.716086733653361e-09
6.156898902988924e-06,5.216722336542057e-09
5.811976052481619e-06,4.994535371065711e-09
6.1227284271933824e-06,5.09105488702648e-09
6.082819094530708e-06,5.004149247537898e-09
6.137218578423496e-06,4.949887084012191e-09
5.587146260119926e-06,5.097348575739721e-09
5.903121207456164e-06,5.0084115968918024e-09
5.657504130634457e-06,4.795572166561439e-09
6.2354342998189e-06,5.285511641310455e-09
6.046504232073431e-06,5.176566051524059e-09
5.966891831940146e-06,4.914471977726887e-09
5.9649775578002355e-06,5.3049813504376315e-09
5.494388441725279e-06,4.755332908339548e-09
5.849243773192604e-06,4.836753911966989e-09
5.934000997577941e-06,4.846105801156026e-09
5.152913224016486e-06,4.527508649826316e-09
5.8364682235151176e-06,5.087331237563902e-09
5.4303356120048e-06,4.782536948477706e-09
5.853147389576776e-06,5.2260734352518215e-09
5.93654791391841e-06,4.868866712447203e-09
5.536591865068798e-06,5.1095563803242534e-09
5.626108151226416e-06,4.93543025269848e-09
5.797944641156475e-06,4.774206543039008e-09
6.107510475485123e-06,5.1132251989237485e-09
5.937807133839648e-06,4.863594932299961e-09
5.512820834031468e-06,4.898901615302833e-09
6.187222835555893e-06,4.918783928409443e-09
5.761198703029746e-06,5.015954269156737e-09
6.291369889646328e-06,5.279567783075969e-09
5.573956670225931e-06,4.537356856529428e-09
5.461679951058372e-06,4.534633944076048e-09
5.61159878087709e-06,4.649888831494835e-09
5.551142620475786e-06,4.9398741917631906e-09
5.640656117079354e-06,5.062509484299537e-09
5.756350691427317e-06,4.905924480036661e-09
5.197716913094689e-06,4.5298489541467545e-09
5.238552450100387e-06,4.6673629939340335e-09
5.97401393476364e-06,5.1024983120251224e-09
5.770616048406786e-06,4.84565809107376e-09
5.761971260429989e-06,4.849211248710776e-09
5.3352519762211025e-06,4.263067855348695e-09
6.203205127345758e-06,4.9710331531220966e-09
5.878043097583321e-06,5.121558169845837e-09
5.68971044614063e-06,4.82105033343207e-09
5.106795948030693e-06,4.857396666118833e-09
5.682775900091773e-06,4.86755352930671e-09
5.545992602558704e-06,5.0411523300978236e-09
4.9368759611700584e-06,4.235883169013263e-09
5.3703962304436415e-06,4.349737653103082e-09
5.909004909939658e-06,4.962101613484471e-09
5.85300966977441e-06,4.759450958437232e-09
5.848519239613631e-06,5.282813659721414e-09
5.55422910031949e-06,4.782315728685438e-09
5.11275588778352e-06,4.419403921583224e-09
5.941113175566044e-06,4.691003121960122e-09
5.957040252428043e-06,5.155616916653241e-09
5.671202212890191e-06,4.701605711723244e-09
5.5778483854313285e-06,4.87585769712109e-09
5.568365946401341e-06,5.141585386678187e-09
5.961235438063898e-06,5.410598758416106e-09
6.094567155481619e-06,5.0133145792192015e-09
5.941847247041059e-06,4.703633461641514e-09
5.607251184586745e-06,4.777775593432499e-09
5.4037553592652435e-06,4.3535286970273296e-09
6.3287811628546905e-06,5.4300011530097116e-09
5.907565588630683e-06,5.234726854961545e-09
6.182330817183272e-06,5.4342220818907025e-09
5.824286050074027e-06,5.141082211194316e-09
6.2723336262132e-06,5.153143174678371e-09
5.699975850656172e-06,4.969675220463184e-09
5.832792991510165e-06,5.278469469940451e-09
5.449212185544202e-06,4.894315742050815e-09
6.0917645559781165e-06,5.397845150550658e-09
5.959942494916037e-06,5.372584529510404e-09
5.762505521928705e-06,4.947643830362226e-09
6.025550670269494e-06,5.014487930370673e-09
6.457698360540851e-06,5.7781236271022545e-09
5.866333005524932e-06,4.950098301713123e-09
5.701557158117726e-06,5.547083096586403e-09
6.155451669381053e-06,5.477939747162048e-09
6.103997473571429e-06,4.937321124189043e-09
5.824163284200457e-06,5.260193930049213e-09
6.130092600876282e-06,5.423726550786967e-09
5.818110451317724e-06,4.996905130070212e-09
5.967077968207621e-06,4.937378831992683e-09
5.9417953434516254e-06,5.0393084021327044e-09
5.827225864487577e-06,5.070198104210957e-09
5.758301843839852e-06,5.1612072741310924e-09
5.700661763272263e-06,4.982148220007696e-09
5.744065518106021e-06,5.168334642671033e-09
5.8637670307895835e-06,5.132493450480514e-09
6.016387881021167e-06,5.310756788050184e-09
5.499760836221166e-06,4.747139408823629e-09
5.546359977132093e-06,5.109481248187551e-09
5.965026710914423e-06,5.377901933761044e-09
6.201952276614697e-06,5.1483787837429214e-09
5.404447583422166e-06,5.03687603122387e-09
5.648484953858155e-06,4.8594165882868184e-09
5.7770747658531375e-06,5.2537182096850465e-09
5.60096229400121e-06,4.986488742667783e-09
5.741135183331172e-06,5.022986755485192e-09
6.0989711749795405e-06,5.415566092445606e-09
5.370210554619058e-06,5.024480814197377e-09
5.819032527344069e-06,5.758667156570509e-09
5.596861605702683e-06,4.377079825421837e-09
5.877351388606805e-06,4.844997369610903e-09
5.68822785657812e-06,5.256338394107273e-09
5.574317601238823e-06,5.077235221414572e-09
5.616772418853043e-06,4.753310303458729e-09
6.017297948212428e-06,4.818852870605291e-09
5.9961405088170345e-06,5.003991403719481e-09
5.6985821986125945e-06,4.676721879146592e-09
5.550340289455433e-06,4.867986092321249e-09
5.482477016086282e-06,4.90690641285538e-09
5.383140551358683e-06,4.704165709219466e-09
5.903638917496241e-06,4.861099030331416e-09
5.886845591359664e-06,4.790041824362246e-09
5.680836155719193e-06,4.71243445641891e-09
5.603538843606449e-06,4.82245675130693e-09
6.002424778549503e-06,4.773001163565871e-09
5.587326410125582e-06,4.712563904316866e-09
5.696765829804298e-06,4.686114861085216e-09
5.694700423035079e-06,5.110828333542771e-09
5.82630268050516e-06,4.950612694398921e-09
6.0639219526335735e-06,5.282169038456824e-09
6.0104649421826605e-06,5.327461387871892e-09
5.530488200220911e-06,4.863779421826273e-09
5.953285272621286e-06,5.0409611836494686e-09
5.774361824892785e-06,5.0689878354372885e-09
5.590943547296659e-06,4.625888360482081e-09
5.7010434864431995e-06,5.307249142529823e-09
5.660908875344122e-06,4.744585089341121e-09
6.062202045469097e-06,5.043769447476657e-09
5.457705029928573e-06,5.098401415488529e-09
5.881789923758636e-06,4.637096768601599e-09
5.991016077744382e-06,5.258043098367922e-09
6.11885592027584e-06,5.031998225994761e-09
6.607562287830853e-06,5.547094235192365e-09
6.443133981753123e-06,5.37808819622502e-09
6.328492912934807e-06,5.60460174349204e-09
6.195318116499617e-06,5.315481946782237e-09
6.283897303762157e-06,5.158444649998717e-09
5.934675400965652e-06,5.346042345372158e-09
6.40937769366366e-06,5.1574532671812345e-09
6.305528812278537e-06,5.219490478608648e-09
6.8297485111960775e-06,5.897070824810189e-09
6.477583417908563e-06,5.815965570949655e-09
6.4434467151329776e-06,6.092760315817219e-09
6.629071353670341e-06,5.409748854774779e-09
6.303853486316651e-06,5.291754560968268e-09
7.111158076144225e-06,5.77785194645088e-09
6.425058615958641e-06,5.812470934367725e-09
6.695712105223855e-06,5.585382739059574e-09
7.832347058206539e-06,5.960562259362382e-09
7.303367636156813e-06,6.251448934314555e-09
7.656455326994168e-06,5.563612105675639e-09
7.754218526006939e-06,5.816322144202647e-09
7.956430249224365e-06,6.512158866413763e-09
7.296095079341845e-06,5.977506878571642e-09
7.3348700697066495e-06,5.802819667568795e-09
7.81430651217325e-06,5.868297479364353e-09
