Sig,Std Dev
2.247927063468384e-05,7.491266178069633e-09
2.223383572991549e-05,7.542376889350647e-09
1.2936396338519563e-05,1.0044963691725674e-08
2.3571805219640567e-05,7.656690515740876e-09
2.3848064586633136e-05,7.2702741415649345e-09
2.5719367243797522e-05,7.695299603372366e-09
2.799617367410636e-05,7.231495880949848e-09
1.8450788281201742e-05,1.2695035819696183e-08
1.0684605222639833e-05,7.244907474605698e-09
1.2106938473497238e-05,8.140334611386357e-09
2.7142520866899747e-05,8.744794796642706e-09
7.563123254173116e-06,5.9995899282105216e-09
8.689629911202098e-06,6.879132959127671e-09
1.0657288614671011e-05,7.348991774448741e-09
2.762513855421466e-05,1.097384791599114e-08
2.712221938039429e-05,8.72916327568867e-09
3.3316924446285524e-05,7.562136660313011e-09
1.731589328325164e-05,8.862467667699815e-09
1.957372259928408e-05,8.827153133326856e-09
2.378706041974066e-05,9.9464802078823e-09
2.7532131973670538e-05,8.422614289562129e-09
3.486511011440217e-05,7.59867931393221e-09
3.4848712381818726e-05,7.776360917711385e-09
2.697009253577208e-05,8.406897443121944e-09
2.7347466913152182e-05,8.520186302885025e-09
2.618308061087094e-05,8.729738073616425e-09
3.0464124812777614e-05,9.843492552271684e-09
3.337147893097426e-05,8.262770565095487e-09
3.533181788514587e-05,8.304333681317127e-09
3.485209895921477e-05,7.4177081299339246e-09
3.276939313320796e-05,9.594673265991175e-09
3.435011027287432e-05,9.032075926516104e-09
3.330117874872179e-05,9.179363625351025e-09
3.424116890113532e-05,1.0312452786605064e-08
3.44456478883255e-05,9.496788104263219e-09
3.1682027164581605e-05,9.084953324268854e-09
2.7391838004091953e-05,8.85915427213712e-09
3.347549740044796e-05,1.005147415120015e-08
3.7145196040182146e-05,9.981332199683013e-09
3.595279520567801e-05,9.916837317233534e-09
3.597659446536996e-05,9.21700743773816e-09
2.7080444299270824e-05,7.763300465230394e-09
2.890245209545424e-05,9.718069484967824e-09
2.6825728927939603e-05,9.532578434606722e-09
2.4672601286211024e-05,8.175578662468626e-09
3.327373445931109e-05,8.986664576323267e-09
3.2197368538830486e-05,8.23918460075381e-09
2.197638363577543e-05,8.292963789642137e-09
2.216273712376429e-05,8.401741328766296e-09
1.9761889408745525e-05,7.3567975798272785e-09
2.0232057539664794e-05,8.941562644260705e-09
2.0438874078114395e-05,9.095816155818535e-09
1.7963382655121098e-05,6.968687923741201e-09
1.6395334815341943e-05,7.115612837744594e-09
1.5299449328646793e-05,7.265714218206237e-09
2.5259993419734895e-05,7.422556106861178e-09
2.4174089088453587e-05,7.956279463991968e-09
1.5430901667902566e-05,7.204581162897921e-09
1.547466988020578e-05,6.58614674377327e-09
1.530710378978907e-05,7.68296837905679e-09
1.6221923071972153e-05,1.0075412934533719e-08
2.325020431004079e-05,8.319002179234535e-09
1.376062806812726e-05,7.732522020674528e-09
1.620204880484428e-05,9.618958993883191e-09
1.6887159732151665e-05,1.1182698740954547e-08
1.3764066507676064e-05,7.934083197940775e-09
1.2728699386034384e-05,7.491656179814475e-09
1.4806281674065574e-05,7.606511495881998e-09
2.152808894344344e-05,8.36433798647032e-09
2.2969815503415773e-05,7.3210539870855266e-09
1.2676105768042855e-05,7.161961025396056e-09
1.3421040048583625e-05,8.322149394038468e-09
1.9675351229937028e-05,8.763007469446365e-09
1.4768333398260391e-05,7.625280947983772e-09
2.119047293169489e-05,7.375213920388534e-09
2.1415510805950378e-05,7.832117974350729e-09
2.3696771424505968e-05,7.118720262120625e-09
1.4971594752129051e-05,9.137198476276485e-09
1.1187684997432049e-05,6.897604255598768e-09
1.3227650031360072e-05,8.26946912717464e-09
2.230320828612435e-05,7.301763280486105e-09
2.2561050858925984e-05,7.975752902584472e-09
1.1518926269107651e-05,7.885718142250172e-09
1.1909339435635817e-05,6.675488483898172e-09
1.1337575273488524e-05,7.154312054550466e-09
1.0537073435130136e-05,7.117393548605387e-09
1.495960531256152e-05,1.0198317504577743e-08
2.1878262254636288e-05,8.690318048488346e-09
1.3012052261723773e-05,7.926540348311814e-09
2.217706867513715e-05,8.474600062093257e-09
1.8944023381579442e-05,9.807925976097157e-09
1.0607964908819063e-05,7.257985478334056e-09
1.527177501676492e-05,1.146031917656768e-08
1.883974967845063e-05,1.2517757777257834e-08
1.2860153105452802e-05,8.349851504043165e-09
2.5932533461013853e-05,7.273074453766483e-09
2.397346567849686e-05,8.187521306877696e-09
1.5948874061328592e-05,1.019171835681144e-08
1.011414013435337e-05,7.103120323017297e-09
1.1068869507075017e-05,7.657438496970998e-09
1.8700134882814577e-05,1.215034611495322e-08
1.5240943437739798e-05,9.998971930279643e-09
2.1714706516558042e-05,1.769073904529108e-08
2.0446372257256552e-05,1.5508012546449736e-08
1.123211578687256e-05,7.464013031447899e-09
1.0762416408858017e-05,7.24746645073529e-09
1.3605998319692655e-05,8.193238375244012e-09
